"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00001","","","","","","0","6","4","4","10","3","1","1","1","","","3","2","1","7","9","0","0.2","1.2","0.2","1.4","6","","0.033333333","0.033333333","1.5","0.6","0","0","0.05","0.02","0.3","0.12","0","14.28571429","40","","","0","0","0.666666667","1.666666667","4","10","","","4.666666667","11.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00010","","","","","","5","10","7","7","10","7","1","1","1","","","4","5","6","3","4","1","0.7","6.1","1.7","7.8","15","0.2","0.07","0.113333333","2.142857143","1.5","0.714285714","0.5","0.242857143","0.17","0.871428571","0.61","33.33333333","21.79487179","70","","","3.333333333","4.761904762","5.666666667","8.095238095","20.33333333","29.04761905","","","26","37.14285714"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00100","","","","","","2","9","9","9","10","5","1","1","1","","","4","6","2","5","8","0.8","0.6","2","1.4","3.4","11","0.4","0.066666667","0.127272727","1.222222222","1.1","0.222222222","0.2","0.155555556","0.14","0.222222222","0.2","18.18181818","41.17647059","90","","","2.666666667","2.962962963","4.666666667","5.185185185","6.666666667","7.407407407","","","11.33333333","12.59259259"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00101","","","","","","9","11","10","10","10","5","2","1","3","","6","6","9","7","4","4","4","1","9.4","5","14.4","20","0.444444444","0.090909091","0.25","2","2","0.9","0.9","0.5","0.5","0.94","0.94","45","34.72222222","100","","","13.33333333","13.33333333","16.66666667","16.66666667","31.33333333","31.33333333","","","48","48"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00102","","","","13.91","5.53","16","32","10","10","10","7","1","1","1","5","9","7","8","5","4","7","5.1","2","3.4","7.1","10.5","48","0.31875","0.0625","0.147916667","4.8","4.8","1.6","1.6","0.71","0.71","0.34","0.34","33.33333333","67.61904762","100","39.75557153","2.822645579","17","17","23.66666667","23.66666667","11.33333333","11.33333333","9.408818596","9.408818596","35","35"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00103","","","","","","","","10","10","10","6","","","","","","","","6","3","4","","","5","","","","","","","","","","","","","0.5","0.5","","","100","","","","","","","16.66666667","16.66666667","","","",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00104","","","","","","5","10","10","10","10","8","1","1","1","","","5","5","5","6","7","1.1","0.6","4","1.7","5.7","15","0.22","0.06","0.113333333","1.5","1.5","0.5","0.5","0.17","0.17","0.4","0.4","33.33333333","29.8245614","100","","","3.666666667","3.666666667","5.666666667","5.666666667","13.33333333","13.33333333","","","19","19"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00105","","","","","","4","4","10","10","10","9","1","1","1","","","3","4","6","1","5","0.4","0.3","5.5","0.7","6.2","8","0.1","0.075","0.0875","0.8","0.8","0.4","0.4","0.07","0.07","0.55","0.55","50","11.29032258","100","","","1.333333333","1.333333333","2.333333333","2.333333333","18.33333333","18.33333333","","","20.66666667","20.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00106","","","","","","0","2","9","9","10","7","1","1","1","","","2","2","2","3","8","0","0.1","0.9","0.1","1","2","","0.05","0.05","0.222222222","0.2","0","0","0.011111111","0.01","0.1","0.09","0","10","90","","","0","0","0.333333333","0.37037037","3","3.333333333","","","3.333333333","3.703703704"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00107","","","","","","0","0","2","2","10","0","","","","","","","","","1","","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.02","","0","20","","","0","0","0","0","0.666666667","3.333333333","","","0.666666667","3.333333333"
