"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00001","","","","3","0","1.691103","0.899253","50.3","0.279155","1.578887","1","23","23","22","22","30","30","5","5","2.601254","1","69.8031387","33.7972167","1","1","16.0443478","5","1","2","6.6","0.9","6.1","7.5","13.6","46","0.286956522","0.039130435","0.163043478","2.090909091","1.533333333","1.045454545","0.766666667","0.340909091","0.25","0.277272727","0.203333333","50","55.14705882","73.33333333","2.534791253","7.333333333","10","8.333333333","11.36363636","6.777777778","9.242424242","2.816434725","3.840592807","15.11111111","20.60606061"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00010","","","","3","0","1.25045","0.647406","50.53","0.464671","1.5773439","1","5","60","30","30","30","30","4","4","2.2620699","1","73.3828354","37.42331288","1","3","17.686655","7","3","3","3.2","9.4","3.6","12.6","16.2","65","0.64","0.156666667","0.193846154","2.166666667","2.166666667","0.166666667","0.166666667","0.42","0.42","0.12","0.12","7.692307692","77.77777778","100","4.715337423","3.555555556","3.555555556","14","14","4","4","5.239263803","5.239263803","18","18"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00011","","","","3","16.5248566","1.818693","1.064337","50.7","3.2833099","5.7782512","1","41","84","30","28","30","28","6","7","3.2273309","1","62.0126457","28.73767258","3","1","18.7195683","8","1","1","5.6","2.5","1.7","8.1","9.8","125","0.136585366","0.029761905","0.0648","4.464285714","4.166666667","1.464285714","1.366666667","0.289285714","0.27","0.060714286","0.056666667","32.8","82.65306122","93.33333333","2.327751479","6.222222222","6.666666667","9","9.642857143","1.888888889","2.023809524","2.586390532","2.771132713","10.88888889","11.66666667"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00012","","","","3","10.6451015","1.700153","0.936696","50.08","0.855727","2.3854949","1","74","113","30","30","30","30","4","7","2.1502321","3","57.1227646","27.59584665","1","3","30.7414322","6","1","1","8.56","3.5","2.7","12.06","14.76","187","0.115675676","0.030973451","0.064491979","6.233333333","6.233333333","2.466666667","2.466666667","0.402","0.402","0.09","0.09","39.57219251","81.70731707","100","3.328059106","9.511111111","9.511111111","13.4","13.4","3","3","3.697843451","3.697843451","16.4","16.4"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00013","","","","1","2.9654961","1.793624","0.978446","50.06","0.914994","2.202281","1","40","20","28","25","30","25","5","5","2.9158671","1","63.1597176","30.7630843","4","5","20.6022625","6","3","2","2.5","1.6","3.4","4.1","7.5","60","0.0625","0.08","0.068333333","2.4","2","1.6","1.333333333","0.164","0.136666667","0.136","0.113333333","66.66666667","54.66666667","83.33333333","1.261286456","2.777777778","3.333333333","4.555555556","5.466666667","3.777777778","4.533333333","1.401429396","1.681715275","8.333333333","10"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00014","","","","3","25.67939","1.574397","0.908307","50.08","3.2024779","5.668725","3","50","79","28","28","30","28","6","6","1.73439","1","53.3712654","24.08146965","4","3","29.4579582","7","2","1","7.4","3.7","1.3","11.1","12.4","129","0.148","0.046835443","0.086046512","4.607142857","4.3","1.785714286","1.666666667","0.396428571","0.37","0.046428571","0.043333333","38.75968992","89.51612903","93.33333333","2.673043131","8.222222222","8.80952381","12.33333333","13.21428571","1.444444444","1.547619048","2.970047924","3.182194204","13.77777778","14.76190476"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00015","","","","1","0","1.379778","0.863864","50.09","0.298523","2.0809259","1","69","38","30","30","30","30","5","5","2.294647","3","72.279335","30.56498303","2","3","20.2577076","8","1","1","14","2.08","3.2","16.08","19.28","107","0.202898551","0.054736842","0.150280374","3.566666667","3.566666667","2.3","2.3","0.536","0.536","0.106666667","0.106666667","64.48598131","83.40248963","100","4.914849271","15.55555556","15.55555556","17.86666667","17.86666667","3.555555556","3.555555556","5.460943635","5.460943635","21.42222222","21.42222222"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00016","","","","3","0","1.2583539","0.683834","50.09","0.820492","2.0970321","1","50","53","29","27","30","27","4","4","2.0737691","3","69.544548","34.57776003","3","1","21.9229298","7","1","1","12.3","2.9","3.4","15.2","18.6","103","0.246","0.054716981","0.147572816","3.814814815","3.433333333","1.851851852","1.666666667","0.562962963","0.506666667","0.125925926","0.113333333","48.54368932","81.72043011","90","5.255819525","13.66666667","15.18518519","16.88888889","18.7654321","3.777777778","4.197530864","5.839799472","6.48866608","20.66666667","22.96296296"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00017","","","","1","0","1.336742","0.802233","50.11","0.747123","2.5668211","1","47","60","27","27","30","27","3","5","1.883589","1","68.1688614","31.35102774","2","3","23.2689915","8","1","1","9","2.6","4.34","11.6","15.94","107","0.191489362","0.043333333","0.108411215","3.962962963","3.566666667","1.740740741","1.566666667","0.42962963","0.386666667","0.160740741","0.144666667","43.92523364","72.77289837","90","3.636719218","10","11.11111111","12.88888889","14.32098765","4.822222222","5.358024691","4.040799131","4.489776812","17.71111111","19.67901235"
"","","GHP2017BWK-AT01","","","","","","","","","GHP2017BWK-AT01-00018","","","","1","18.5335922","1.464588","0.768175","50.2","3.948153","6.4575481","1","50","37","28","26","30","26","6","5","1.726513","1","60.1171341","29.88047809","6","1","21.8688068","7","1","1","10.3","1.63","6.36","11.93","18.29","87","0.206","0.044054054","0.137126437","3.346153846","2.9","1.923076923","1.666666667","0.458846154","0.397666667","0.244615385","0.212","57.47126437","65.22689995","86.66666667","3.564741036","11.44444444","13.20512821","13.25555556","15.29487179","7.066666667","8.153846154","3.960823373","4.570180816","20.32222222","23.44871795"
