"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00001","","","","1","14.6","47.2","5","17","48","28","18","30","18","8","5","5","6","2","8","1","3","2.4","5.2","8.5","7.6","16.1","65","0.141176471","0.108333333","0.116923077","3.611111111","2.166666667","0.944444444","0.566666667","0.422222222","0.253333333","0.472222222","0.283333333","26.15384615","47.20496894","60","30.93220339","2.350847458","2.666666667","4.444444444","8.444444444","14.07407407","9.444444444","15.74074074","2.612052731","4.353421218","17.88888889","29.81481481"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00010","","","","1","14","40.3","5","5","26","28","20","30","15","8","3","6","4","2","5","2","2","0.6","1.3","4.4","1.9","6.3","31","0.12","0.05","0.061290323","1.55","1.033333333","0.25","0.166666667","0.095","0.063333333","0.22","0.146666667","16.12903226","30.15873016","66.66666667","34.73945409","0.660049628","0.666666667","1","2.111111111","3.166666667","4.888888889","7.333333333","0.733388475","1.100082713","7","10.5"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00011","","","","1","14.1","47.8","6","8","66","25","16","30","15","8","5","7","7","4","7","1","1","1.6","6.2","5.5","7.8","13.3","74","0.2","0.093939394","0.105405405","4.625","2.466666667","0.5","0.266666667","0.4875","0.26","0.34375","0.183333333","10.81081081","58.64661654","53.33333333","29.49790795","2.30083682","1.777777778","3.333333333","8.666666667","16.25","6.111111111","11.45833333","2.556485356","4.793410042","14.77777778","27.70833333"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00012","","","","2","17.1","50","6","4","12","22","18","30","12","8","5","7","7","2","5","2","2","0.7","2","4.2","2.7","6.9","16","0.175","0.166666667","0.16875","0.888888889","0.533333333","0.222222222","0.133333333","0.15","0.09","0.233333333","0.14","25","39.13043478","60","34.2","0.9234","0.777777778","1.296296296","3","5","4.666666667","7.777777778","1.026","1.71","7.666666667","12.77777778"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00013","","","","1","","","4","5","12","19","12","30","8","","9","2","5","1","6","3","3","0.5","0.7","5.7","1.2","6.9","17","0.1","0.058333333","0.070588235","1.416666667","0.566666667","0.416666667","0.166666667","0.1","0.04","0.475","0.19","29.41176471","17.39130435","40","","","0.555555556","1.388888889","1.333333333","3.333333333","6.333333333","15.83333333","","","7.666666667","19.16666667"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00014","","","","2","21.9","50.2","5","15","22","30","19","30","13","4","4","3","5","2","8","1","1","3.2","1.3","10.5","4.5","15","37","0.213333333","0.059090909","0.121621622","1.947368421","1.233333333","0.789473684","0.5","0.236842105","0.15","0.552631579","0.35","40.54054054","30","63.33333333","43.62549801","1.96314741","3.555555556","5.614035088","5","7.894736842","11.66666667","18.42105263","2.1812749","3.444118264","16.66666667","26.31578947"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00015","","","","1","","","5","0","10","25","17","30","4","","","1","2","1","7","1","1","0","3","10.3","3","13.3","10","","0.3","0.3","0.588235294","0.333333333","0","0","0.176470588","0.1","0.605882353","0.343333333","0","22.55639098","56.66666667","","","0","0","3.333333333","5.882352941","11.44444444","20.19607843","","","14.77777778","26.07843137"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00016","","","","1","","","5","5","21","27","18","30","8","","","5","4","2","8","2","1","0.3","0.8","7.4","1.1","8.5","26","0.06","0.038095238","0.042307692","1.444444444","0.866666667","0.277777778","0.166666667","0.061111111","0.036666667","0.411111111","0.246666667","19.23076923","12.94117647","60","","","0.333333333","0.555555556","1.222222222","2.037037037","8.222222222","13.7037037","","","9.444444444","15.74074074"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00017","","","","2","","","4","12","31","30","19","30","16","","","4","6","2","6","3","3","2.1","2.2","4.3","4.3","8.6","43","0.175","0.070967742","0.1","2.263157895","1.433333333","0.631578947","0.4","0.226315789","0.143333333","0.226315789","0.143333333","27.90697674","50","63.33333333","","","2.333333333","3.684210526","4.777777778","7.543859649","4.777777778","7.543859649","","","9.555555556","15.0877193"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00018","","","","2","","","5","5","7","22","15","30","6","","","4","5","1","5","3","2","1","0.4","1.5","1.4","2.9","12","0.2","0.057142857","0.116666667","0.8","0.4","0.333333333","0.166666667","0.093333333","0.046666667","0.1","0.05","41.66666667","48.27586207","50","","","1.111111111","2.222222222","1.555555556","3.111111111","1.666666667","3.333333333","","","3.222222222","6.444444444"
