"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00001","","","","2","32.42222222","15","53.73543523","1","30","30","19","30","19","1","3","50","15","3","60","3.157894737","15.68","13.5","2.18","13.5","17.42222222","29.18","0.45","0.072666667","0.261333333","2","1.578947368","1","0.825263158","0.522666667","0.710526316","0.45","63.33333333","23.68421053","27.50877193","23.68421053","51.19298246"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00010","","","","3","15.04444444","6.288888889","58.19793205","3","34","66","23","30","23","3","1","34","6.288888889","7","100","4.347826087","7.88","5.66","2.22","5.66","8.755555556","13.54","0.166470588","0.033636364","0.0788","3.333333333","1.47826087","1.133333333","0.342608696","0.262666667","0.246086957","0.188666667","76.66666667","8.202898551","11.42028986","8.202898551","19.62318841"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00011","","","","1","18.62222222","8.555555556","54.05727924","1","32","40","19","30","19","1","3","44.44444444","8.555555556","3","72","3.789473684","9.06","7.7","1.36","7.7","10.06666667","16.76","0.240625","0.034","0.125833333","2.4","1.684210526","1.066666667","0.476842105","0.302","0.405263158","0.256666667","63.33333333","13.50877193","15.89473684","13.50877193","29.40350877"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00012","","","","5","4.755555556","1.111111111","76.63551402","1","0","72","30","30","30","3","1","0","0","7","72","2.4","3.28","0","3.28","1","3.644444444","4.28","","0.045555556","0.045555556","2.4","0","0","0.109333333","0.109333333","0.033333333","0.033333333","100","0","3.644444444","1.111111111","4.755555556"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00013","","","","3","22.42222222","9.822222222","56.19425173","3","52","68","22","30","22","1","3","43.33333333","9.822222222","1","120","5.454545455","11.34","8.84","2.5","8.84","12.6","20.18","0.17","0.036764706","0.0945","4","2.363636364","1.733333333","0.515454545","0.378","0.401818182","0.294666667","73.33333333","13.39393939","17.18181818","13.39393939","30.57575758"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00014","","","","1","37.82222222","17.28888889","54.28907168","1","72","72","26","30","26","1","5","50","17.28888889","3","144","5.538461538","18.48","15.56","2.92","15.56","20.53333333","34.04","0.216111111","0.040555556","0.128333333","4.8","2.769230769","2.4","0.710769231","0.616","0.598461538","0.518666667","86.66666667","19.94871795","23.69230769","19.94871795","43.64102564"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00015","","","","1","20.8","6.2","70.19230769","1","66","67","28","30","28","1","1","49.62406015","11","5","133","4.75","13.14","9.9","3.24","5.58","14.6","18.72","0.15","0.048358209","0.098796992","4.433333333","2.357142857","2.2","0.469285714","0.438","0.199285714","0.186","93.33333333","11.78571429","15.64285714","6.642857143","22.28571429"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00016","","","","3","18.51111111","5.933333333","67.94717887","1","52","25","21","30","21","3","1","67.53246753","11.73333333","3","77","3.666666667","11.32","10.56","0.76","5.34","12.57777778","16.66","0.203076923","0.0304","0.147012987","2.566666667","2.476190476","1.733333333","0.539047619","0.377333333","0.254285714","0.178","70","16.76190476","17.96825397","8.476190476","26.44444444"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00017","","","","1","42.95555556","20.85555556","51.44852561","1","73","20","24","30","24","1","5","78.49462366","20.85555556","3","93","3.875","19.89","18.77","1.12","18.77","22.1","38.66","0.257123288","0.056","0.213870968","3.1","3.041666667","2.433333333","0.82875","0.663","0.782083333","0.625666667","80","26.06944444","27.625","26.06944444","53.69444444"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00018","","","","1","22.55555556","10.04444444","55.4679803","1","48","58","28","30","28","1","3","45.28301887","10.04444444","5","106","3.785714286","11.26","9.04","2.22","9.04","12.51111111","20.3","0.188333333","0.038275862","0.106226415","3.533333333","1.714285714","1.6","0.402142857","0.375333333","0.322857143","0.301333333","93.33333333","10.76190476","13.4047619","10.76190476","24.16666667"
