"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00019","","","","5","14.11111111","3.377777778","1.387693","4.9277582","76.06299213","12.4735909","5","50","61","29","29","30","29","5","48.6205025","22.09671027","3","45.04504505","5","8","23.4891205","111","3.827586207","9.66","5","1","2","7.2","2.46","3.04","10.73333333","12.7","0.144","0.040327869","0.087027027","3.7","1.724137931","1.666666667","0.333103448","0.322","0.104827586","0.101333333","96.66666667","2.134542212","8.275862069","11.10344828","3.494252874","2.371713569","2.453496795","14.59770115"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00002","","","","5","7.122222222","0.755555556","1.49081","2.6461749","89.39157566","2.696136","3","37","50","30","27","30","27","1","55.2715912","45.8035004","1","42.52873563","5","4.633333333","16.0280151","87","3.222222222","5.73","4","1","1","4.17","1.56","0.68","6.366666667","6.41","0.112702703","0.0312","0.065862069","2.9","1.37037037","1.233333333","0.212222222","0.191","0.025185185","0.022666667","90","2.624540573","5.148148148","7.074074074","0.839506173","2.916156192","3.240173547","7.913580247"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00020","","","","3","7.866666667","1.977777778","1.796043","2.4093039","74.85875706","0","5","24","62","28","26","30","26","5","65.3330383","28.04399057","1","27.90697674","5","3.533333333","14.3566132","86","3.307692308","5.3","3","1","2","3.18","2.12","1.78","5.888888889","7.08","0.1325","0.034193548","0.061627907","2.866666667","0.923076923","0.8","0.203846154","0.176666667","0.068461538","0.059333333","86.66666667","1.4863315","4.076923077","6.794871795","2.282051282","1.651479445","1.905553205","9.076923077"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00021","","","","1","8.288888889","1.622222222","1.9989851","5.878531","80.42895442","4.9139819","1","30","56","30","28","30","25","5","47.3496437","18.10667191","1","34.88372093","5","4.355555556","23.5445328","86","3.071428571","6","3","1","2","3.92","2.08","1.46","6.666666667","7.46","0.130666667","0.037142857","0.069767442","2.866666667","1.071428571","1","0.214285714","0.2","0.052142857","0.048666667","93.33333333","1.086400315","4.666666667","7.142857143","1.738095238","1.207111461","1.293333708","8.880952381"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00022","","","","1","11.28888889","2.066666667","0.452967","1.351252","81.69291339","14.1361141","1","35","44","30","25","30","25","1","63.7058601","27.28722344","1","44.30379747","5","6.733333333","16.1482391","79","3.16","8.3","4","1","2","6.06","2.24","1.86","9.222222222","10.16","0.173142857","0.050909091","0.105063291","2.633333333","1.4","1.166666667","0.332","0.276666667","0.0744","0.062","83.33333333","2.264839546","8.08","11.06666667","2.48","2.516488384","3.019786061","13.54666667"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00023","","","","1","8.466666667","1.4","0.690283","1.545171","83.46456693","14.9464512","1","28","60","30","29","30","29","1","62.5644493","31.8236233","1","31.81818182","5","4.222222222","17.0101776","88","3.034482759","6.36","","1","2","3.8","2.56","1.26","7.066666667","7.62","0.135714286","0.042666667","0.072272727","2.933333333","0.965517241","0.933333333","0.219310345","0.212","0.043448276","0.042","96.66666667","2.023982442","4.367816092","7.310344828","1.448275862","2.24886938","2.3264166","8.75862069"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00024","","","","3","6.333333333","2.888888889","2.058552","5.8764639","54.38596491","10.6421013","3","17","41","24","20","30","20","3","45.490757","17.15464728","1","29.31034483","5","2.177777778","23.1909561","58","2.9","3.1","3","1","2","1.96","1.14","2.6","3.444444444","5.7","0.115294118","0.027804878","0.053448276","1.933333333","0.85","0.566666667","0.155","0.103333333","0.13","0.086666667","66.66666667","0.531794066","3.266666667","5.166666667","4.333333333","0.590882295","0.886323443","9.5"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00025","","","","3","23.26666667","9.466666667","1.210243","1.767468","59.31232092","0","1","32","93","28","28","30","28","1","68.7223053","27.73506801","1","25.6","3","9.977777778","13.0258102","125","4.464285714","12.42","6","1","1","8.98","3.44","8.52","13.8","20.94","0.280625","0.036989247","0.09936","4.166666667","1.142857143","1.066666667","0.443571429","0.414","0.304285714","0.284","93.33333333","3.444695447","10.69047619","14.78571429","10.14285714","3.827439385","4.100827913","24.92857143"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00026","","","","3","10.68888889","1.8","2.4244311","4.907413","83.16008316","12.3643742","1","39","111","30","30","30","30","1","47.049015","19.06948882","3","26","3","5.666666667","20.7174988","150","5","8","4","1","1","5.1","2.9","1.62","8.888888889","9.62","0.130769231","0.026126126","0.053333333","5","1.3","1.3","0.266666667","0.266666667","0.054","0.054","100","1.525559106","5.666666667","8.888888889","1.8","1.695065673","1.695065673","10.68888889"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00027","","","","3","6.244444444","2","1.465185","2.853581","67.97153025","20.5111771","1","27","43","30","26","30","24","5","54.5030289","21.54576003","3","38.57142857","5","2.955555556","18.4554672","70","2.692307692","3.82","4","1","1","2.66","1.16","1.8","4.244444444","5.62","0.098518519","0.026976744","0.054571429","2.333333333","1.038461538","0.9","0.146923077","0.127333333","0.069230769","0.06","86.66666667","0.823048033","3.41025641","4.897435897","2.307692308","0.914497815","1.055189786","7.205128205"
