"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00001","","","","2","20.88","1.8","0.82","13.92","2","50.82","2.92","3.65","1","58","70","30","30","30","28","8","6","2.82","1","58.95","2","27.39079103","6","8","13.34","2","1","11.4","6.3","16.2","17.7","33.9","128","0.196551724","0.09","0.13828125","4.266666667","4.266666667","1.933333333","1.933333333","0.59","0.59","0.54","0.54","45.3125","52.21238938","100","4.848170012","12.66666667","12.66666667","19.66666667","19.66666667","18","18","5.386855569","5.386855569","37.66666667","37.66666667"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00010","","","","1","0","1.61","0.89","16.49","2","50.65","1.78","2.29","1","9","29","30","30","30","16","1","8","2.22","1","66.09","3","32.55676209","5","4","9.09","4","3","1.6","1.7","20","3.3","23.3","38","0.177777778","0.05862069","0.086842105","1.266666667","1.266666667","0.3","0.3","0.11","0.11","0.666666667","0.666666667","23.68421053","14.16309013","100","1.074373149","1.777777778","1.777777778","3.666666667","3.666666667","22.22222222","22.22222222","1.193747943","1.193747943","25.88888889","25.88888889"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00011","","","","3","0","1.54","0.81","17.25","2","50.86","1.7","2.57","1","36","30","28","28","30","15","5","3","2.51","3","68.98","2","33.9166339","5","6","7.98","4","2","9.2","2.3","22.2","11.5","33.7","66","0.255555556","0.076666667","0.174242424","2.357142857","2.2","1.285714286","1.2","0.410714286","0.383333333","0.792857143","0.74","54.54545455","34.12462908","93.33333333","3.900412898","10.22222222","10.95238095","12.77777778","13.69047619","24.66666667","26.42857143","4.333792109","4.643348688","37.44444444","40.11904762"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00012","","","","1","19.93","1.9","0.77","13.11","2","50.48","5.26","7.17","1","58","118","30","30","30","30","8","3","2.54","1","60.72","2","25.97068146","8","8","7.51","4","3","17.5","7.8","25.2","25.3","50.5","176","0.301724138","0.066101695","0.14375","5.866666667","5.866666667","1.933333333","1.933333333","0.843333333","0.843333333","0.84","0.84","32.95454545","50.0990099","100","6.570582409","19.44444444","19.44444444","28.11111111","28.11111111","28","28","7.300647121","7.300647121","56.11111111","56.11111111"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00013","","","","2","0","1.59","0.79","16.09","3","50.95","2.55","3.42","1","61","61","26","26","30","26","4","6","2.11","3","66.07","2","31.57998037","5","9","7.62","3","1","19.6","3.5","20.4","23.1","43.5","122","0.321311475","0.057377049","0.189344262","4.692307692","4.066666667","2.346153846","2.033333333","0.888461538","0.77","0.784615385","0.68","50","53.10344828","86.66666667","7.294975466","21.77777778","25.12820513","25.66666667","29.61538462","22.66666667","26.15384615","8.105528296","9.352532649","48.33333333","55.76923077"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00014","","","","2","24.07","1.98","0.95","12.69","2","50.44","2.95","4.19","1","66","93","30","30","30","30","8","6","3.38","2","56.36","3","25.15860428","7","9","14.44","3","1","27.4","6","28","33.4","61.4","159","0.415151515","0.064516129","0.210062893","5.3","5.3","2.2","2.2","1.113333333","1.113333333","0.933333333","0.933333333","41.50943396","54.39739414","100","8.40297383","30.44444444","30.44444444","37.11111111","37.11111111","31.11111111","31.11111111","9.336637589","9.336637589","68.22222222","68.22222222"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00015","","","","3","33.22","2.46","1.38","10.45","3","50.06","5.09","7.91","1","42","180","21","21","30","18","8","6","3.33","4","46.9","3","20.87495006","5","9","20.59","4","3","14.6","7","18","21.6","39.6","222","0.347619048","0.038888889","0.097297297","10.57142857","7.4","2","1.4","1.028571429","0.72","0.857142857","0.6","18.91891892","54.54545455","70","4.508989213","16.22222222","23.17460317","24","34.28571429","20","28.57142857","5.009988014","7.157125735","44","62.85714286"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00016","","","","1","0","1.65","0.9","13.14","2","40.26","2.25","3.21","1","2","29","29","29","30","3","5","3","3.33","1","65.83","3","32.63785395","5","4","7.4","3","1","0.3","0.8","6.4","1.1","7.5","31","0.15","0.027586207","0.035483871","1.068965517","1.033333333","0.068965517","0.066666667","0.037931034","0.036666667","0.220689655","0.213333333","6.451612903","14.66666667","96.66666667","0.359016393","0.333333333","0.344827586","1.222222222","1.264367816","7.111111111","7.356321839","0.398907104","0.412662521","8.333333333","8.620689655"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00017","","","","1","0","1.83","0.8","17.55","3","50.43","2.02","3.06","1","28","88","30","30","30","28","9","9","3.89","1","62.28","3","34.80071386","5","6","10.3","3","3","8.1","4.1","21.2","12.2","33.4","116","0.289285714","0.046590909","0.105172414","3.866666667","3.866666667","0.933333333","0.933333333","0.406666667","0.406666667","0.706666667","0.706666667","24.13793103","36.52694611","100","4.245687091","9","9","13.55555556","13.55555556","23.55555556","23.55555556","4.717430101","4.717430101","37.11111111","37.11111111"
"","","GHP2014TON-AT04","","","","","","","","","GHP2014TON-AT04-00018","","","","1","0","1.65","0.75","15.93","3","50.7","3.12","4.18","1","25","46","25","25","30","23","4","6","2.29","3","63.52","2","31.42011834","5","7","10.22","4","3","7.3","3.5","12.4","10.8","23.2","71","0.292","0.076086957","0.152112676","2.84","2.366666667","1","0.833333333","0.432","0.36","0.496","0.413333333","35.21126761","46.55172414","83.33333333","3.393372781","8.111111111","9.733333333","12","14.4","13.77777778","16.53333333","3.770414201","4.524497041","25.77777778","30.93333333"
