"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00001","","","","1","0","1.63","1.06","18.28","50.17","0.39","1.08","1","69","30","43","43","45","41","1","8","4.54","2","69.88","36.4361172","5","9","6.36","9","3","3","22.8","1.8","45","24.6","69.6","99","0.330434783","0.06","0.248484848","2.302325581","2.2","1.604651163","1.533333333","0.572093023","0.546666667","1.046511628","1","69.6969697","35.34482759","95.55555556","8.963284832","16.88888889","17.6744186","18.22222222","19.06976744","33.33333333","34.88372093","6.639470246","6.948282815","51.55555556","53.95348837"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00010","","","","1","0","1.64","1.04","19.17","50.46","0.75","1.74","2","54","24","43","43","45","39","5","9","4.2","2","69.12","37.99048751","4","6","4.98","8","3","3","13.5","2","24.5","15.5","40","78","0.25","0.083333333","0.198717949","1.813953488","1.733333333","1.255813953","1.2","0.360465116","0.344444444","0.569767442","0.544444444","69.23076923","38.75","95.55555556","5.888525565","10","10.46511628","11.48148148","12.01550388","18.14814815","18.99224806","4.361870789","4.5647485","29.62962963","31.00775194"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00011","","","","1","0","1.66","1.03","18.95","50.43","0.76","1.79","1","33","17","22","22","45","20","5","3","5.02","2","68.24","37.57683918","6","9","6.79","7","6","6","11.5","1","14","12.5","26.5","50","0.348484848","0.058823529","0.25","2.272727273","1.111111111","1.5","0.733333333","0.568181818","0.277777778","0.636363636","0.311111111","66","47.16981132","48.88888889","4.697104898","8.518518519","17.42424242","9.259259259","18.93939394","10.37037037","21.21212121","3.479336961","7.116825603","19.62962963","40.15151515"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00012","","","","1","0","1.54","0.92","17.79","50.93","1.04","1.92","1","150","60","45","45","45","45","5","8","4.67","1","69.72","34.93029649","6","8","5.62","7","3","3","54.4","3.3","22","57.7","79.7","210","0.362666667","0.055","0.274761905","4.666666667","4.666666667","3.333333333","3.333333333","1.282222222","1.282222222","0.488888889","0.488888889","71.42857143","72.39648683","100","20.15478107","40.2962963","40.2962963","42.74074074","42.74074074","16.2962963","16.2962963","14.92946746","14.92946746","59.03703704","59.03703704"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00013","","","","1","0","1.48","0.93","19.65","50.66","1.26","2.48","1","80","53","38","38","45","38","5","3","4.15","3","69.94","38.78799842","6","8","4.95","9","3","3","19.7","3.8","42","23.5","65.5","133","0.24625","0.071698113","0.176691729","3.5","2.955555556","2.105263158","1.777777778","0.618421053","0.522222222","1.105263158","0.933333333","60.15037594","35.8778626","84.44444444","9.115179629","14.59259259","17.28070175","17.40740741","20.61403509","31.11111111","36.84210526","6.75198491","7.995771604","48.51851852","57.45614035"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00014","","","","1","0","1.6","0.92","18.86","50.08","1.21","2.35","1","55","32","43","43","45","43","5","9","3.77","1","68.4","37.65974441","4","7","6.82","9","3","3","15.3","1.9","23","17.2","40.2","87","0.278181818","0.059375","0.197701149","2.023255814","1.933333333","1.279069767","1.222222222","0.4","0.382222222","0.534883721","0.511111111","63.2183908","42.78606965","95.55555556","6.477476038","11.33333333","11.86046512","12.74074074","13.33333333","17.03703704","17.82945736","4.798130399","5.021299255","29.77777778","31.1627907"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00015","","","","1","0","1.57","0.97","16.83","50.06","1.09","1.89","1","120","62","44","44","45","44","6","3","2.82","2","67.54","33.61965641","7","8","6.87","9","1","1","33.4","3.2","23","36.6","59.6","182","0.278333333","0.051612903","0.201098901","4.136363636","4.044444444","2.727272727","2.666666667","0.831818182","0.813333333","0.522727273","0.511111111","65.93406593","61.40939597","97.77777778","12.30479425","24.74074074","25.3030303","27.11111111","27.72727273","17.03703704","17.42424242","9.114662405","9.321813823","44.14814815","45.15151515"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00016","","","","2","","2.91","1.81","10.23","50.35","2.86","4.76","2","100","75","38","38","45","38","8","6","6.42","4","49.51","20.31777557","4","9","18.53","7","3","5","43.4","4.8","18","48.2","66.2","175","0.434","0.064","0.275428571","4.605263158","3.888888889","2.631578947","2.222222222","1.268421053","1.071111111","0.473684211","0.4","57.14285714","72.80966767","84.44444444","9.793167825","32.14814815","38.07017544","35.7037037","42.28070175","13.33333333","15.78947368","7.254198389","8.590498092","49.03703704","58.07017544"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00017","","","","1","0","1.35","0.72","18.18","50.1","2.46","3.43","1","82","9","44","44","45","44","1","7","3.17","2","65.8","36.28742515","5","9","6.85","8","3","3","43.4","0.5","14.5","43.9","58.4","91","0.529268293","0.055555556","0.482417582","2.068181818","2.022222222","1.863636364","1.822222222","0.997727273","0.975555556","0.329545455","0.322222222","90.10989011","75.17123288","97.77777778","15.93017964","32.14814815","32.87878788","32.51851852","33.25757576","10.74074074","10.98484848","11.80013307","12.06831791","43.25925926","44.24242424"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00018","","","","1","0","1.4","0.96","21.27","50.75","0.49","1.28","1","58","56","38","38","45","37","3","7","4.05","1","72","41.91133005","5","7","4.03","9","6","6","19.5","3","29.5","22.5","52","114","0.336206897","0.053571429","0.197368421","3","2.533333333","1.526315789","1.288888889","0.592105263","0.5","0.776315789","0.655555556","50.87719298","43.26923077","84.44444444","9.430049261","14.44444444","17.10526316","16.66666667","19.73684211","21.85185185","25.87719298","6.985221675","8.271973036","38.51851852","45.61403509"
