"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00019","","","","1","19","1.57","2.47","0","3","41","44","26","21","30","20","1","61.1","5","1","15.53","1","8","1","15.24","2.76","14.86","18","32.86","85","0.371707317","0.062727273","0.211764706","4.047619048","2.833333333","1.952380952","1.366666667","0.857142857","0.6","0.707619048","0.495333333","48.23529412","54.7778454","70","16.93333333","24.19047619","20","28.57142857","16.51111111","23.58730159","36.51111111","52.15873016"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00002","","","","1","16.15","1.71","3.5","10.25","3","91","66","30","26","30","26","1","48.76","5","1","19.79","1","8","1","23.31","3.68","6.08","26.99","33.07","157","0.256153846","0.055757576","0.171910828","6.038461538","5.233333333","3.5","3.033333333","1.038076923","0.899666667","0.233846154","0.202666667","57.96178344","81.61475658","86.66666667","25.9","29.88461538","29.98888889","34.6025641","6.755555556","7.794871795","36.74444444","42.3974359"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00020","","","","1","20.45","0.32","1.83","22.05","3","67","43","30","28","30","28","1","57.93","4","1","16.64","1","7","1","22.23","3.02","28.24","25.25","53.49","110","0.331791045","0.070232558","0.229545455","3.928571429","3.666666667","2.392857143","2.233333333","0.901785714","0.841666667","1.008571429","0.941333333","60.90909091","47.20508506","93.33333333","24.7","26.46428571","28.05555556","30.05952381","31.37777778","33.61904762","59.43333333","63.67857143"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00021","","","","3","20.39","1.86","3.43","17.03","5","43","21","28","25","30","24","1","52.76","7","1","15.36","1","8","1","15.82","0.64","12.16","16.46","28.62","64","0.367906977","0.03047619","0.2571875","2.56","2.133333333","1.72","1.433333333","0.6584","0.548666667","0.4864","0.405333333","67.1875","57.51222921","83.33333333","17.57777778","21.09333333","18.28888889","21.94666667","13.51111111","16.21333333","31.8","38.16"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00022","","","","3","18.28","1.45","2.18","0.36","3","89","42","28","27","30","27","1","62.52","5","5","14.46","1","7","1","26.26","1.72","19.2","27.98","47.18","131","0.29505618","0.040952381","0.213587786","4.851851852","4.366666667","3.296296296","2.966666667","1.036296296","0.932666667","0.711111111","0.64","67.9389313","59.30479017","90","29.17777778","32.41975309","31.08888889","34.54320988","21.33333333","23.7037037","52.42222222","58.24691358"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00023","","","","3","20.26","0.94","2.28","18","3","45","31","30","22","30","22","3","57.22","6","1","16.57","5","6","2","6.58","1.22","18.83","7.8","26.63","76","0.146222222","0.039354839","0.102631579","3.454545455","2.533333333","2.045454545","1.5","0.354545455","0.26","0.855909091","0.627666667","59.21052632","29.29027413","73.33333333","7.311111111","9.96969697","8.666666667","11.81818182","20.92222222","28.53030303","29.58888889","40.34848485"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00024","","","","5","16.98","1.73","3.43","10.73","3","101","27","27","27","30","27","1","50.52","6","1","18.11","1","8","1","30.1","1.44","24.32","31.54","55.86","128","0.298019802","0.053333333","0.24640625","4.740740741","4.266666667","3.740740741","3.366666667","1.168148148","1.051333333","0.900740741","0.810666667","78.90625","56.46258503","90","33.44444444","37.16049383","35.04444444","38.9382716","27.02222222","30.02469136","62.06666667","68.96296296"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00025","","","","3","18.25","1.08","2.22","1.9","3","53","32","24","23","30","23","1","59.46","3","1","16.9","1","8","1","16.72","1.96","22.14","18.68","40.82","85","0.315471698","0.06125","0.219764706","3.695652174","2.833333333","2.304347826","1.766666667","0.812173913","0.622666667","0.962608696","0.738","62.35294118","45.76188143","76.66666667","18.57777778","24.23188406","20.75555556","27.07246377","24.6","32.08695652","45.35555556","59.15942029"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00026","","","","5","17.69","2.49","4.93","13.27","3","49","32","18","17","30","16","1","49.21","6","1","17.73","3","7","1","13.36","1.04","12.62","14.4","27.02","81","0.272653061","0.0325","0.177777778","4.764705882","2.7","2.882352941","1.633333333","0.847058824","0.48","0.742352941","0.420666667","60.49382716","53.2938564","56.66666667","14.84444444","26.19607843","16","28.23529412","14.02222222","24.74509804","30.02222222","52.98039216"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00027","","","","1","20.88","0.79","2.6","30.9","3","53","42","26","25","30","25","1","52.29","6","1","16.63","1","8","2","15.1","1.98","13.32","17.08","30.4","95","0.28490566","0.047142857","0.179789474","3.8","3.166666667","2.12","1.766666667","0.6832","0.569333333","0.5328","0.444","55.78947368","56.18421053","83.33333333","16.77777778","20.13333333","18.97777778","22.77333333","14.8","17.76","33.77777778","40.53333333"
