"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00001","","","","30","72","30","29","34","29","1","6","5","4","2","4","3.8","3.3","2.4","7.1","9.5","102","0.126666667","0.045833333","0.069607843","3.517241379","3","1.034482759","0.882352941","0.244827586","0.208823529","0.082758621","0.070588235","29.41176471","74.73684211","85.29411765","3.725490196","4.367816092","6.960784314","8.16091954","2.352941176","2.75862069","9.31372549","10.91954023"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00002","","","","50","40","34","30","34","30","2","7","6","4","2","5","7.5","1.15","3.8","8.65","12.45","90","0.15","0.02875","0.096111111","3","2.647058824","1.666666667","1.470588235","0.288333333","0.254411765","0.126666667","0.111764706","55.55555556","69.47791165","88.23529412","7.352941176","8.333333333","8.480392157","9.611111111","3.725490196","4.222222222","12.20588235","13.83333333"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00003","","","","0","0","33","30","34","0","","","","7","2","3","0","0","3.9","0","3.9","0","","","","0","0","0","0","0","0","0.13","0.114705882","","0","88.23529412","0","0","0","0","3.823529412","4.333333333","3.823529412","4.333333333"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00004","","","","0","0","34","30","34","0","","","","7","3","3","0","0","19","0","19","0","","","","0","0","0","0","0","0","0.633333333","0.558823529","","0","88.23529412","0","0","0","0","18.62745098","21.11111111","18.62745098","21.11111111"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00005","","","","57","42","28","27","34","27","","7","8","6","1","2","13.45","3.45","13.2","16.9","30.1","99","0.235964912","0.082142857","0.170707071","3.666666667","2.911764706","2.111111111","1.676470588","0.625925926","0.497058824","0.488888889","0.388235294","57.57575758","56.1461794","79.41176471","13.18627451","16.60493827","16.56862745","20.86419753","12.94117647","16.2962963","29.50980392","37.16049383"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00006","","","","27","42","30","28","34","26","2","6","6","5","1","2","4.38","2.85","2.9","7.23","10.13","69","0.162222222","0.067857143","0.104782609","2.464285714","2.029411765","0.964285714","0.794117647","0.258214286","0.212647059","0.103571429","0.085294118","39.13043478","71.3721619","82.35294118","4.294117647","5.214285714","7.088235294","8.607142857","2.843137255","3.452380952","9.931372549","12.05952381"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00007","","","","31","40","34","27","34","27","2","6","7","5","2","3","6.65","1.75","9.1","8.4","17.5","71","0.214516129","0.04375","0.118309859","2.62962963","2.088235294","1.148148148","0.911764706","0.311111111","0.247058824","0.337037037","0.267647059","43.66197183","48","79.41176471","6.519607843","8.209876543","8.235294118","10.37037037","8.921568627","11.2345679","17.15686275","21.60493827"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00008","","","","12","60","31","28","34","28","1","6","5","5","1","5","2.1","3.4","2.4","5.5","7.9","72","0.175","0.056666667","0.076388889","2.571428571","2.117647059","0.428571429","0.352941176","0.196428571","0.161764706","0.085714286","0.070588235","16.66666667","69.62025316","82.35294118","2.058823529","2.5","5.392156863","6.547619048","2.352941176","2.857142857","7.745098039","9.404761905"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00009","","","","44","106","33","27","34","27","1","6","7","6","1","2","7.7","4.4","2","12.1","14.1","150","0.175","0.041509434","0.080666667","5.555555556","4.411764706","1.62962963","1.294117647","0.448148148","0.355882353","0.074074074","0.058823529","29.33333333","85.81560284","79.41176471","7.549019608","9.50617284","11.8627451","14.9382716","1.960784314","2.469135802","13.82352941","17.40740741"
"","","GHP2015NYK-ST01","","","","","","","","","GHP2015NYK-ST01-00010","","","","41","79","31","27","34","27","1","7","8","6","2","3","8.2","4.1","3.7","12.3","16","120","0.2","0.051898734","0.1025","4.444444444","3.529411765","1.518518519","1.205882353","0.455555556","0.361764706","0.137037037","0.108823529","34.16666667","76.875","79.41176471","8.039215686","10.12345679","12.05882353","15.18518519","3.62745098","4.567901235","15.68627451","19.75308642"
