"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00001","","","","1","0","1.456883","0.761003","0.079666","0.980839","2.039515","2.459918","20.6042633","1","30","26","26","93","44","4","8","2.546618","1","58.5157433","72.4280701","35.18481913","4","3","18.3650818","14.3816004","7","21.3","2.3","25.3","23.6","48.9","137","0.229032258","0.052272727","0.172262774","5.269230769","4.566666667","3.576923077","3.1","0.907692308","0.786666667","0.973076923","0.843333333","67.88321168","48.26175869","86.66666667","8.303617315","23.66666667","27.30769231","26.22222222","30.25641026","28.11111111","32.43589744","9.226241461","10.64566322","54.33333333","62.69230769"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00010","","","","1","10.6664658","1.525522","0.839521","0.539812","0.88055","2.59409","1.819774","11.7412548","1","30","30","30","43","47","6","2","2.0614951","1","58.1650963","71.7265701","34.97429814","4","5","16.3581924","12.6803083","8","5.2","1.5","9.2","6.7","15.9","90","0.120930233","0.031914894","0.074444444","3","3","1.433333333","1.433333333","0.223333333","0.223333333","0.306666667","0.306666667","47.77777778","42.13836478","100","2.343277975","5.777777778","5.777777778","7.444444444","7.444444444","10.22222222","10.22222222","2.603642195","2.603642195","17.66666667","17.66666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00100","","","","1","0","1.666099","0.820537","0.325418","1.472277","2.4646299","2.966455","15.2383766","1","30","20","20","50","12","4","2","2.3208101","1","59.0485611","72.2643127","44.66174416","2","1","19.7362061","12.9637737","7","8.7","0.5","12.7","9.2","21.9","62","0.174","0.041666667","0.148387097","3.1","2.066666667","2.5","1.666666667","0.46","0.306666667","0.635","0.423333333","80.64516129","42.00913242","66.66666667","4.108880463","9.666666667","14.5","10.22222222","15.33333333","14.11111111","21.16666667","4.565422736","6.848134105","24.33333333","36.5"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00101","","","","1","","","","","","","","","1","30","4","4","14","8","","","","1","","","","5","3","","","6","3.4","0.3","8.4","3.7","12.1","22","0.242857143","0.0375","0.168181818","5.5","0.733333333","3.5","0.466666667","0.925","0.123333333","2.1","0.28","63.63636364","30.5785124","13.33333333","","3.777777778","28.33333333","4.111111111","30.83333333","9.333333333","70","","","13.44444444","100.8333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00102","","","","1","8.5497246","2.0868061","1.043855","0.47928","2.6793439","2.125082","4.5200839","15.9182339","1","30","22","22","51","8","4","2","2.555372","1","56.0795784","62.6400948","35.12815418","3","3","19.6939087","15.1959829","7","9.5","0.3","12.5","9.8","22.3","59","0.18627451","0.0375","0.166101695","2.681818182","1.966666667","2.318181818","1.7","0.445454545","0.326666667","0.568181818","0.416666667","86.44067797","43.94618834","73.33333333","3.44255911","10.55555556","14.39393939","10.88888889","14.84848485","13.88888889","18.93939394","3.825065677","5.215998651","24.77777778","33.78787879"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00103","","","","1","2.4725056","1.813246","0.691364","0","1.0200861","1.465577","2.6281469","8.2505569","3","30","21","21","50","10","3","8","1.435427","1","64.9795227","72.5961151","45.17474186","3","3","17.3685989","15.7348785","7","7.6","0.3","11.6","7.9","19.5","60","0.152","0.03","0.131666667","2.857142857","2","2.380952381","1.666666667","0.376190476","0.263333333","0.552380952","0.386666667","83.33333333","40.51282051","70","3.568804607","8.444444444","12.06349206","8.777777778","12.53968254","12.88888889","18.41269841","3.965338452","5.664769217","21.66666667","30.95238095"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00104","","","","1","35.0098953","1.966851","0.906515","1.765942","6.9037809","4.8110542","10.5275173","5.873219","1","30","30","30","142","50","7","6","1.269712","1","51.4725304","56.2820358","25.68316832","1","1","21.6433105","14.2502403","7","29.7","1.8","32.7","31.5","64.2","192","0.20915493","0.036","0.1640625","6.4","6.4","4.733333333","4.733333333","1.05","1.05","1.09","1.09","73.95833333","49.06542056","100","8.090198021","33","33","35","35","36.33333333","36.33333333","8.989108912","8.989108912","71.33333333","71.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00105","","","","1","22.7045555","2.0922239","0.850341","0.825005","6.4292402","4.8093491","9.5775719","18.7805672","1","30","20","20","52","14","6","6","1.94253","1","47.3924294","57.1878738","27.67910597","4","3","24.9496002","12.2091579","6","11","0.5","16","11.5","27.5","66","0.211538462","0.035714286","0.174242424","3.3","2.2","2.6","1.733333333","0.575","0.383333333","0.8","0.533333333","78.78787879","41.81818182","66.66666667","3.183097187","12.22222222","18.33333333","12.77777778","19.16666667","17.77777778","26.66666667","3.536774652","5.305161978","30.55555556","45.83333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00106","","","","3","0","2.2733181","1.232584","0.001886","0.404566","1.954278","2.3755839","6.7631798","1","30","18","18","35","7","3","8","3.308176","1","64.9281235","65.170929","35.6604522","5","3","16.9612656","14.9898949","4","4.7","0.3","8.7","5","13.7","42","0.134285714","0.042857143","0.119047619","2.333333333","1.4","1.944444444","1.166666667","0.277777778","0.166666667","0.483333333","0.29","83.33333333","36.49635036","60","1.78302261","5.222222222","8.703703704","5.555555556","9.259259259","9.666666667","16.11111111","1.981136233","3.301893722","15.22222222","25.37037037"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00107","","","","3","0","1.569337","0.818268","0.419842","2.3185911","2.177042","4.086978","9.8438072","3","30","19","19","43","7","4","6","2.0531499","1","63.5099525","70.5912552","38.09996033","3","1","16.3138123","13.0651169","5","14.6","0.4","19.6","15","34.6","50","0.339534884","0.057142857","0.3","2.631578947","1.666666667","2.263157895","1.433333333","0.789473684","0.5","1.031578947","0.653333333","86","43.35260116","63.33333333","5.71499405","16.22222222","25.61403509","16.66666667","26.31578947","21.77777778","34.38596491","6.349993388","10.02630535","38.44444444","60.70175439"
