"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00001","","","","44","24","34","30","34","30","2","7","6","8","2","1","11.38","0.9","6","12.28","18.28","68","0.258636364","0.0375","0.180588235","2.266666667","2","1.466666667","1.294117647","0.409333333","0.361176471","0.2","0.176470588","64.70588235","67.17724289","88.23529412","11.15686275","12.64444444","12.03921569","13.64444444","5.882352941","6.666666667","17.92156863","20.31111111"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00002","","","","34","64","34","28","34","28","2","6","6","8","1","1","6.6","5.2","6.5","11.8","18.3","98","0.194117647","0.08125","0.120408163","3.5","2.882352941","1.214285714","1","0.421428571","0.347058824","0.232142857","0.191176471","34.69387755","64.48087432","82.35294118","6.470588235","7.857142857","11.56862745","14.04761905","6.37254902","7.738095238","17.94117647","21.78571429"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00003","","","","14","62","27","25","34","25","2","5","6","5","2","2","2.45","1.6","3.45","4.05","7.5","76","0.175","0.025806452","0.053289474","3.04","2.235294118","0.56","0.411764706","0.162","0.119117647","0.138","0.101470588","18.42105263","54","73.52941176","2.401960784","3.266666667","3.970588235","5.4","3.382352941","4.6","7.352941176","10"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00004","","","","25","49","34","27","34","26","2","7","5","6","3","4","3.85","1.85","3.25","5.7","8.95","74","0.154","0.037755102","0.077027027","2.740740741","2.176470588","0.925925926","0.735294118","0.211111111","0.167647059","0.12037037","0.095588235","33.78378378","63.68715084","79.41176471","3.774509804","4.75308642","5.588235294","7.037037037","3.18627451","4.012345679","8.774509804","11.04938272"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00005","","","","32","57","32","24","34","24","2","6","5","7","1","1","5.3","3.3","3.55","8.6","12.15","89","0.165625","0.057894737","0.096629213","3.708333333","2.617647059","1.333333333","0.941176471","0.358333333","0.252941176","0.147916667","0.104411765","35.95505618","70.781893","70.58823529","5.196078431","7.361111111","8.431372549","11.94444444","3.480392157","4.930555556","11.91176471","16.875"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00006","","","","21","53","32","27","34","25","1","8","5","6","2","4","4.1","2.4","2.55","6.5","9.05","74","0.195238095","0.045283019","0.087837838","2.740740741","2.176470588","0.777777778","0.617647059","0.240740741","0.191176471","0.094444444","0.075","28.37837838","71.82320442","79.41176471","4.019607843","5.061728395","6.37254902","8.024691358","2.5","3.148148148","8.87254902","11.17283951"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00007","","","","10","39","34","24","34","21","1","7","5","4","3","5","2.2","1.15","1.65","3.35","5","49","0.22","0.029487179","0.068367347","2.041666667","1.441176471","0.416666667","0.294117647","0.139583333","0.098529412","0.06875","0.048529412","20.40816327","67","70.58823529","2.156862745","3.055555556","3.284313725","4.652777778","1.617647059","2.291666667","4.901960784","6.944444444"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00008","","","","38","28","34","30","34","30","1","7","6","8","1","1","10.3","1.6","5.5","11.9","17.4","66","0.271052632","0.057142857","0.18030303","2.2","1.941176471","1.266666667","1.117647059","0.396666667","0.35","0.183333333","0.161764706","57.57575758","68.3908046","88.23529412","10.09803922","11.44444444","11.66666667","13.22222222","5.392156863","6.111111111","17.05882353","19.33333333"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00009","","","","28","85","34","29","34","29","3","7","5","7","3","3","3.85","4.3","4.65","8.15","12.8","113","0.1375","0.050588235","0.072123894","3.896551724","3.323529412","0.965517241","0.823529412","0.281034483","0.239705882","0.160344828","0.136764706","24.77876106","63.671875","85.29411765","3.774509804","4.425287356","7.990196078","9.367816092","4.558823529","5.344827586","12.54901961","14.71264368"
"","","GHP2015WAG-ST02","","","","","","","","","GHP2015WAG-ST02-00010","","","","38","55","32","23","34","23","3","6","6","8","2","1","6.95","4.5","7.45","11.45","18.9","93","0.182894737","0.081818182","0.12311828","4.043478261","2.735294118","1.652173913","1.117647059","0.497826087","0.336764706","0.323913043","0.219117647","40.86021505","60.58201058","67.64705882","6.81372549","10.07246377","11.2254902","16.5942029","7.303921569","10.79710145","18.52941176","27.39130435"
