"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00001","","","","30","8","7","21","21","38","16","4.1","0.8","4.2","3","4","5","4","5","4.9","9.1","54","0.107894737","0.05","0.090740741","2.571428571","1.8","1.80952381","1.266666667","0.233333333","0.163333333","0.2","0.14","70.37037037","53.84615385","70","4.555555556","6.507936508","5.444444444","7.777777778","4.666666667","6.666666667","10.11111111","14.44444444"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00002","","","","30","4","8","20","13","17","6","1.2","0.3","29.8","2","4","4","3","5","1.5","31.3","23","0.070588235","0.05","0.065217391","1.15","0.766666667","0.85","0.566666667","0.075","0.05","1.49","0.993333333","73.91304348","4.792332268","66.66666667","1.333333333","2","1.666666667","2.5","33.11111111","49.66666667","34.77777778","52.16666667"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00003","","","","30","4","7","18","18","65","26","10.1","0.8","12.3","4","4","3","4","5","10.9","23.2","91","0.155384615","0.030769231","0.11978022","5.055555556","3.033333333","3.611111111","2.166666667","0.605555556","0.363333333","0.683333333","0.41","71.42857143","46.98275862","60","11.22222222","18.7037037","12.11111111","20.18518519","13.66666667","22.77777778","25.77777778","42.96296296"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00004","","","","30","4","7","20","15","39","27","3.2","0.6","23.7","2","4","4","3","5","3.8","27.5","66","0.082051282","0.022222222","0.057575758","3.3","2.2","1.95","1.3","0.19","0.126666667","1.185","0.79","59.09090909","13.81818182","66.66666667","3.555555556","5.333333333","4.222222222","6.333333333","26.33333333","39.5","30.55555556","45.83333333"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00005","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00006","","","","30","4","8","19","0","0","0","0","0","6.4","","","","","","0","6.4","0","","","","0","0","0","0","0","0","0.336842105","0.213333333","","0","63.33333333","0","0","0","0","7.111111111","11.22807018","7.111111111","11.22807018"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00007","","","","30","5","8","19","15","9","32","1.2","0.6","12.6","2","2","5","4","5","1.8","14.4","41","0.133333333","0.01875","0.043902439","2.157894737","1.366666667","0.473684211","0.3","0.094736842","0.06","0.663157895","0.42","21.95121951","12.5","63.33333333","1.333333333","2.105263158","2","3.157894737","14","22.10526316","16","25.26315789"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00008","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00009","","","","30","5","7","24","20","31","11","4.3","0.6","7.4","2","4","4","3","5","4.9","12.3","42","0.138709677","0.054545455","0.116666667","1.75","1.4","1.291666667","1.033333333","0.204166667","0.163333333","0.308333333","0.246666667","73.80952381","39.83739837","80","4.777777778","5.972222222","5.444444444","6.805555556","8.222222222","10.27777778","13.66666667","17.08333333"
"","","GHP2010OHW-AT01","","","","","","","","","GHP2010OHW-AT01-00010","","","","30","8","4","18","14","22","3","2.4","","1.3","2","3","4","3","5","","","25","0.109090909","","","1.388888889","0.833333333","1.222222222","0.733333333","","","0.072222222","0.043333333","88","","60","2.666666667","4.444444444","","","1.444444444","2.407407407","",""
