"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00001","","","","1","21.8","49.7","1","10","9","8","6","2","11","1","2","2","6","2","2","0.5","0.7","5.4","1.2","6.6","13","0.25","0.063636364","0.092307692","1.625","1.3","0.25","0.2","0.15","0.12","0.675","0.54","15.38461538","18.18181818","80","43.86317907","0.526358149","1.666666667","2.083333333","4","5","18","22.5","1.754527163","2.193158954","22","27.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00010","","","","2","","","1","10","9","9","2","0","5","1","2","2","6","4","1","0","0.9","8.4","0.9","9.3","5","","0.18","0.18","0.555555556","0.5","0","0","0.1","0.09","0.933333333","0.84","0","9.677419355","90","","","0","0","3","3.333333333","28","31.11111111","","","31","34.44444444"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00100","","","","","","","","10","10","10","0","0","0","","","","8","1","1","0","0","7.45","0","7.45","0","","","","0","0","0","0","0","0","0.745","0.745","","0","100","","","0","0","0","0","24.83333333","24.83333333","","","24.83333333","24.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00101","","","","2","","","1","10","10","10","6","8","6","1","4","5","7","3","1","1","0.36","3.65","1.36","5.01","14","0.125","0.06","0.097142857","1.4","1.4","0.8","0.8","0.136","0.136","0.365","0.365","57.14285714","27.14570858","100","","","3.333333333","3.333333333","4.533333333","4.533333333","12.16666667","12.16666667","","","16.7","16.7"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00102","","","","2","","","1","10","10","10","2","2","1","1","2","3","7","1","1","0.2","0.2","2.3","0.4","2.7","3","0.1","0.2","0.133333333","0.3","0.3","0.2","0.2","0.04","0.04","0.23","0.23","66.66666667","14.81481481","100","","","0.666666667","0.666666667","1.333333333","1.333333333","7.666666667","7.666666667","","","9","9"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00103","","","","","","","","10","10","10","0","0","0","","","","8","1","1","0","0","10.55","0","10.55","0","","","","0","0","0","0","0","0","1.055","1.055","","0","100","","","0","0","0","0","35.16666667","35.16666667","","","35.16666667","35.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00104","","","","2","","","1","10","10","10","4","2","8","1","3","3","6","2","1","0.2","0.3","2.2","0.5","2.7","10","0.1","0.0375","0.05","1","1","0.2","0.2","0.05","0.05","0.22","0.22","20","18.51851852","100","","","0.666666667","0.666666667","1.666666667","1.666666667","7.333333333","7.333333333","","","9","9"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00105","","","","2","","","1","10","10","10","6","6","9","1","3","4","5","1","1","0.7","0.5","2.55","1.2","3.75","15","0.116666667","0.055555556","0.08","1.5","1.5","0.6","0.6","0.12","0.12","0.255","0.255","40","32","100","","","2.333333333","2.333333333","4","4","8.5","8.5","","","12.5","12.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00106","","","","2","","","1","10","10","10","10","2","33","1","3","4","7","2","1","0.3","1.2","4.05","1.5","5.55","35","0.15","0.036363636","0.042857143","3.5","3.5","0.2","0.2","0.15","0.15","0.405","0.405","5.714285714","27.02702703","100","","","1","1","5","5","13.5","13.5","","","18.5","18.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00107","","","","1","","","1","10","10","10","8","7","14","1","4","5","5","1","2","0.9","0.7","2.25","1.6","3.85","21","0.128571429","0.05","0.076190476","2.1","2.1","0.7","0.7","0.16","0.16","0.225","0.225","33.33333333","41.55844156","100","","","3","3","5.333333333","5.333333333","7.5","7.5","","","12.83333333","12.83333333"
