"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00108","","","","1","","","","3","10","10","10","6","0","12","3","","5","4","7","3","4","0","0.6","2.3","0.6","2.9","12","","0.05","0.05","1.2","1.2","0","0","0.06","0.06","0.23","0.23","0","20.68965517","100","0","0","2","2","7.666666667","7.666666667","9.666666667","9.666666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00109","","","","1","3","","","3","10","10","10","10","24","30","3","","7","8","7","1","4","4.6","1.1","11","5.7","16.7","54","0.191666667","0.036666667","0.105555556","5.4","5.4","2.4","2.4","0.57","0.57","1.1","1.1","44.44444444","34.13173653","100","15.33333333","15.33333333","19","19","36.66666667","36.66666667","55.66666667","55.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00011","","","","1","","1.015756011","1.574092031","3","10","10","10","2","0","4","2","74.58099365","4","3","7","4","5","0","0.2","8","0.2","8.2","4","","0.05","0.05","0.4","0.4","0","0","0.02","0.02","0.8","0.8","0","2.43902439","100","0","0","0.666666667","0.666666667","26.66666667","26.66666667","27.33333333","27.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00110","","","","1","","1.67177999","3.271774054","3","10","10","10","8","0","22","2","72.91733551","3","3","6","1","5","0","0.6","5.6","0.6","6.2","22","","0.027272727","0.027272727","2.2","2.2","0","0","0.06","0.06","0.56","0.56","0","9.677419355","100","0","0","2","2","18.66666667","18.66666667","20.66666667","20.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00111","","","","1","2","","","4","10","10","10","10","18","10","3","","5","6","6","5","6","4.5","0.5","3.3","5","8.3","28","0.25","0.05","0.178571429","2.8","2.8","1.8","1.8","0.5","0.5","0.33","0.33","64.28571429","60.24096386","100","15","15","16.66666667","16.66666667","11","11","27.66666667","27.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00112","","","","1","","1.114591956","1.939084053","3","10","10","10","7","2","16","3","73.50540161","5","4","6","1","5","0.4","0.5","16.5","0.9","17.4","18","0.2","0.03125","0.05","1.8","1.8","0.2","0.2","0.09","0.09","1.65","1.65","11.11111111","5.172413793","100","1.333333333","1.333333333","3","3","55","55","58","58"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00113","","","","2","3","","","4","10","10","9","7","7","4","4","","6","7","6","4","4","3.1","0.3","13.5","3.4","16.9","11","0.442857143","0.075","0.309090909","1.222222222","1.1","0.777777778","0.7","0.377777778","0.34","1.5","1.35","63.63636364","20.1183432","90","10.33333333","11.48148148","11.33333333","12.59259259","45","50","56.33333333","62.59259259"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00114","","","","2","2","1.321771026","2.801290989","3","10","10","10","9","15","6","3","71.99740601","5","5","4","5","7","2","0.4","3.3","2.4","5.7","21","0.133333333","0.066666667","0.114285714","2.1","2.1","1.5","1.5","0.24","0.24","0.33","0.33","71.42857143","42.10526316","100","6.666666667","6.666666667","8","8","11","11","19","19"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00115","","","","3","4","1.310438991","2.826380968","5","10","9","9","8","21","10","5","72.24609375","6","8","6","4","6","7.4","0.6","3.4","8","11.4","31","0.352380952","0.06","0.258064516","3.444444444","3.1","2.333333333","2.1","0.888888889","0.8","0.377777778","0.34","67.74193548","70.1754386","90","24.66666667","27.40740741","26.66666667","29.62962963","11.33333333","12.59259259","38","42.22222222"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00116","","","","2","3","4.658983231","7.069424152","4","10","8","6","5","6","8","4","48.27703857","7","6","6","3","7","1.7","0.5","3.8","2.2","6","14","0.283333333","0.0625","0.157142857","2.333333333","1.4","1","0.6","0.366666667","0.22","0.633333333","0.38","42.85714286","36.66666667","60","5.666666667","9.444444444","7.333333333","12.22222222","12.66666667","21.11111111","20","33.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00117","","","","1","3","1.193421006","2.787908077","3","10","10","10","10","15","2","3","66.00127411","7","8","5","3","6","5","0.1","6.5","5.1","11.6","17","0.333333333","0.05","0.3","1.7","1.7","1.5","1.5","0.51","0.51","0.65","0.65","88.23529412","43.96551724","100","16.66666667","16.66666667","17","17","21.66666667","21.66666667","38.66666667","38.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00118","","","","1","","2.705265999","4.33530283","3","10","10","9","7","0","14","3","73.6611557","3","3","6","3","6","0","0.6","7","0.6","7.6","14","","0.042857143","0.042857143","1.555555556","1.4","0","0","0.066666667","0.06","0.777777778","0.7","0","7.894736842","90","0","0","2","2.222222222","23.33333333","25.92592593","25.33333333","28.14814815"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00119","","","","","","","","3","10","10","5","4","0","","","","","","6","4","6","0","","1.4","","","","","","","","","0","0","","","0.28","0.14","","","50","0","0","","","4.666666667","9.333333333","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00012","","","","1","2","","","4","10","10","8","6","6","5","3","","5","4","3","5","6","0.8","0.2","1","1","2","11","0.133333333","0.04","0.090909091","1.375","1.1","0.75","0.6","0.125","0.1","0.125","0.1","54.54545455","50","80","2.666666667","3.333333333","3.333333333","4.166666667","3.333333333","4.166666667","6.666666667","8.333333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00120","","","","1","2","","","3","10","10","10","8","6","5","3","","5","4","6","3","5","1.3","0.3","3.3","1.6","4.9","11","0.216666667","0.06","0.145454545","1.1","1.1","0.6","0.6","0.16","0.16","0.33","0.33","54.54545455","32.65306122","100","4.333333333","4.333333333","5.333333333","5.333333333","11","11","16.33333333","16.33333333"
