"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00026","","","","1","","","","3","10","9","9","8","13","11","4","","6","5","6","4","5","1.7","0.7","3.4","2.4","5.8","24","0.130769231","0.063636364","0.1","2.666666667","2.4","1.444444444","1.3","0.266666667","0.24","0.377777778","0.34","54.16666667","41.37931034","90","5.666666667","6.296296296","8","8.888888889","11.33333333","12.59259259","19.33333333","21.48148148"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00027","","","","","","","","3","10","10","10","9","0","11","","","","","5","6","6","0","0.4","4","0.4","4.4","11","","0.036363636","0.036363636","1.1","1.1","0","0","0.04","0.04","0.4","0.4","0","9.090909091","100","0","0","1.333333333","1.333333333","13.33333333","13.33333333","14.66666667","14.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00028","","","","1","","","","3","10","10","10","10","16","11","4","","4","5","6","1","6","5","0.5","4.8","5.5","10.3","27","0.3125","0.045454545","0.203703704","2.7","2.7","1.6","1.6","0.55","0.55","0.48","0.48","59.25925926","53.39805825","100","16.66666667","16.66666667","18.33333333","18.33333333","16","16","34.33333333","34.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00029","","","","3","2","","","3","10","10","10","9","16","7","4","","6","5","3","6","7","4","0.5","2.6","4.5","7.1","23","0.25","0.071428571","0.195652174","2.3","2.3","1.6","1.6","0.45","0.45","0.26","0.26","69.56521739","63.38028169","100","13.33333333","13.33333333","15","15","8.666666667","8.666666667","23.66666667","23.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00003","","","","1","2","","","3","10","10","6","6","6","2","2","","5","4","6","3","5","1.5","0.1","5.6","1.6","7.2","8","0.25","0.05","0.2","1.333333333","0.8","1","0.6","0.266666667","0.16","0.933333333","0.56","75","22.22222222","60","5","8.333333333","5.333333333","8.888888889","18.66666667","31.11111111","24","40"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00030","","","","1","3","1.111495972","2.115036011","4","10","10","10","10","18","5","4","75.32066345","5","7","7","4","3","4.6","0.3","2.4","4.9","7.3","23","0.255555556","0.06","0.213043478","2.3","2.3","1.8","1.8","0.49","0.49","0.24","0.24","78.26086957","67.12328767","100","15.33333333","15.33333333","16.33333333","16.33333333","8","8","24.33333333","24.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00031","","","","1","2","1.616122961","2.733959913","3","10","10","10","10","13","18","2","72.20574951","5","4","6","3","5","1.5","0.7","7.1","2.2","9.3","31","0.115384615","0.038888889","0.070967742","3.1","3.1","1.3","1.3","0.22","0.22","0.71","0.71","41.93548387","23.65591398","100","5","5","7.333333333","7.333333333","23.66666667","23.66666667","31","31"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00032","","","","1","4","1.885138035","3.459853888","3","10","10","10","9","6","13","2","73.37135315","6","5","6","3","5","0.9","0.4","2.3","1.3","3.6","19","0.15","0.030769231","0.068421053","1.9","1.9","0.6","0.6","0.13","0.13","0.23","0.23","31.57894737","36.11111111","100","3","3","4.333333333","4.333333333","7.666666667","7.666666667","12","12"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00033","","","","1","","0.968308985","2.464138985","3","10","10","10","10","9","26","3","71.76703644","5","4","7","1","4","0.7","1","6.1","1.7","7.8","35","0.077777778","0.038461538","0.048571429","3.5","3.5","0.9","0.9","0.17","0.17","0.61","0.61","25.71428571","21.79487179","100","2.333333333","2.333333333","5.666666667","5.666666667","20.33333333","20.33333333","26","26"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00034","","","","1","","","","3","10","8","6","2","0","9","2","","3","3","6","5","4","0","0.3","6.2","0.3","6.5","9","","0.033333333","0.033333333","1.5","0.9","0","0","0.05","0.03","1.033333333","0.62","0","4.615384615","60","0","0","1","1.666666667","20.66666667","34.44444444","21.66666667","36.11111111"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00035","","","","1","","","","3","10","10","9","5","4","8","3","","5","4","6","4","5","0.7","0.4","5.3","1.1","6.4","12","0.175","0.05","0.091666667","1.333333333","1.2","0.444444444","0.4","0.122222222","0.11","0.588888889","0.53","33.33333333","17.1875","90","2.333333333","2.592592593","3.666666667","4.074074074","17.66666667","19.62962963","21.33333333","23.7037037"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00036","","","","3","2","","","4","10","10","10","10","12","7","4","","6","5","5","6","6","2.2","0.4","4","2.6","6.6","19","0.183333333","0.057142857","0.136842105","1.9","1.9","1.2","1.2","0.26","0.26","0.4","0.4","63.15789474","39.39393939","100","7.333333333","7.333333333","8.666666667","8.666666667","13.33333333","13.33333333","22","22"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00037","","","","2","","1.788581014","3.424890041","4","10","9","8","8","15","7","3","72.16530609","5","6","6","5","4","3.6","0.4","5.1","4","9.1","22","0.24","0.057142857","0.181818182","2.75","2.2","1.875","1.5","0.5","0.4","0.6375","0.51","68.18181818","43.95604396","80","12","15","13.33333333","16.66666667","17","21.25","30.33333333","37.91666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00038","","","","1","","","","3","10","10","10","3","0","7","2","","3","3","6","1","4","0","0.4","10.3","0.4","10.7","7","","0.057142857","0.057142857","0.7","0.7","0","0","0.04","0.04","1.03","1.03","0","3.738317757","100","0","0","1.333333333","1.333333333","34.33333333","34.33333333","35.66666667","35.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00039","","","","1","","","","3","10","8","5","3","0","8","2","","4","3","3","1","6","0","0.3","0.7","0.3","1","8","","0.0375","0.0375","1.6","0.8","0","0","0.06","0.03","0.14","0.07","0","30","50","0","0","1","2","2.333333333","4.666666667","3.333333333","6.666666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00004","","","","1","3","0.749575973","1.817862034","2","10","10","9","9","11","13","2","71.88603973","5","5","5","3","6","1.8","0.8","4.5","2.6","7.1","24","0.163636364","0.061538462","0.108333333","2.666666667","2.4","1.222222222","1.1","0.288888889","0.26","0.5","0.45","45.83333333","36.61971831","90","6","6.666666667","8.666666667","9.62962963","15","16.66666667","23.66666667","26.2962963"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00040","","","","1","","","","4","10","10","9","8","6","20","3","","5","4","5","4","6","1.1","0.7","3.7","1.8","5.5","26","0.183333333","0.035","0.069230769","2.888888889","2.6","0.666666667","0.6","0.2","0.18","0.411111111","0.37","23.07692308","32.72727273","90","3.666666667","4.074074074","6","6.666666667","12.33333333","13.7037037","18.33333333","20.37037037"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00041","","","","3","","","","4","10","10","10","10","12","3","3","","6","5","3","6","6","1.7","0.2","1.3","1.9","3.2","15","0.141666667","0.066666667","0.126666667","1.5","1.5","1.2","1.2","0.19","0.19","0.13","0.13","80","59.375","100","5.666666667","5.666666667","6.333333333","6.333333333","4.333333333","4.333333333","10.66666667","10.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00042","","","","1","2","0.817197978","2.042525053","3","10","10","9","9","11","15","3","73.25045776","6","6","5","3","5","1.9","0.8","3.6","2.7","6.3","26","0.172727273","0.053333333","0.103846154","2.888888889","2.6","1.222222222","1.1","0.3","0.27","0.4","0.36","42.30769231","42.85714286","90","6.333333333","7.037037037","9","10","12","13.33333333","21","23.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00043","","","","1","","2.097790003","2.993580103","3","10","10","9","4","4","4","2","68.58478546","5","5","6","3","3","0.7","0.2","5.1","0.9","6","8","0.175","0.05","0.1125","0.888888889","0.8","0.444444444","0.4","0.1","0.09","0.566666667","0.51","50","15","90","2.333333333","2.592592593","3","3.333333333","17","18.88888889","20","22.22222222"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00044","","","","3","3","","","4","10","10","10","10","14","4","4","","7","7","5","3","6","3.2","0.3","5.6","3.5","9.1","18","0.228571429","0.075","0.194444444","1.8","1.8","1.4","1.4","0.35","0.35","0.56","0.56","77.77777778","38.46153846","100","10.66666667","10.66666667","11.66666667","11.66666667","18.66666667","18.66666667","30.33333333","30.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00045","","","","1","","1.485466957","3.020621061","3","10","10","10","4","0","4","1","65.58963776","3","3","4","8","7","0","0.3","2.9","0.3","3.2","4","","0.075","0.075","0.4","0.4","0","0","0.03","0.03","0.29","0.29","0","9.375","100","0","0","1","1","9.666666667","9.666666667","10.66666667","10.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00046","","","","1","2","","","3","10","10","9","9","13","9","3","","6","6","4","7","7","2.1","0.3","1.3","2.4","3.7","22","0.161538462","0.033333333","0.109090909","2.444444444","2.2","1.444444444","1.3","0.266666667","0.24","0.144444444","0.13","59.09090909","64.86486486","90","7","7.777777778","8","8.888888889","4.333333333","4.814814815","12.33333333","13.7037037"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00047","","","","1","4","0.91259402","2.012204885","3","10","10","10","10","11","19","3","75.0562439","5","5","5","5","5","1.4","0.9","4.5","2.3","6.8","30","0.127272727","0.047368421","0.076666667","3","3","1.1","1.1","0.23","0.23","0.45","0.45","36.66666667","33.82352941","100","4.666666667","4.666666667","7.666666667","7.666666667","15","15","22.66666667","22.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00048","","","","1","","1.382961988","3.146576881","4","10","10","10","10","9","7","4","73.84622955","6","8","7","1","4","3.2","0.6","6.2","3.8","10","16","0.355555556","0.085714286","0.2375","1.6","1.6","0.9","0.9","0.38","0.38","0.62","0.62","56.25","38","100","10.66666667","10.66666667","12.66666667","12.66666667","20.66666667","20.66666667","33.33333333","33.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00049","","","","1","","","","3","10","10","10","7","6","6","3","","6","6","6","1","4","1","0.3","13.5","1.3","14.8","12","0.166666667","0.05","0.108333333","1.2","1.2","0.6","0.6","0.13","0.13","1.35","1.35","50","8.783783784","100","3.333333333","3.333333333","4.333333333","4.333333333","45","45","49.33333333","49.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00005","","","","1","2","1.53629601","2.997677088","3","10","10","10","10","17","20","3","71.66324615","6","5","6","3","6","3.2","0.8","4.8","4","8.8","37","0.188235294","0.04","0.108108108","3.7","3.7","1.7","1.7","0.4","0.4","0.48","0.48","45.94594595","45.45454545","100","10.66666667","10.66666667","13.33333333","13.33333333","16","16","29.33333333","29.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00050","","","","3","","","","4","10","10","10","9","9","11","4","","5","4","6","3","5","1.9","0.7","8.7","2.6","11.3","20","0.211111111","0.063636364","0.13","2","2","0.9","0.9","0.26","0.26","0.87","0.87","45","23.00884956","100","6.333333333","6.333333333","8.666666667","8.666666667","29","29","37.66666667","37.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00051","","","","2","3","","","3","10","3","3","3","16","6","3","","6","6","7","1","4","2.9","0.4","11.2","3.3","14.5","22","0.18125","0.066666667","0.15","7.333333333","2.2","5.333333333","1.6","1.1","0.33","3.733333333","1.12","72.72727273","22.75862069","30","9.666666667","32.22222222","11","36.66666667","37.33333333","124.4444444","48.33333333","161.1111111"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00052","","","","1","","7.177840233","9.485614777","3","10","10","10","10","3","30","3","60.03296661","4","4","7","3","6","0.4","1.1","8.7","1.5","10.2","33","0.133333333","0.036666667","0.045454545","3.3","3.3","0.3","0.3","0.15","0.15","0.87","0.87","9.090909091","14.70588235","100","1.333333333","1.333333333","5","5","29","29","34","34"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00053","","","","1","","","","3","10","10","10","1","0","3","2","","3","3","5","3","5","0","0.2","8.3","0.2","8.5","3","","0.066666667","0.066666667","0.3","0.3","0","0","0.02","0.02","0.83","0.83","0","2.352941176","100","0","0","0.666666667","0.666666667","27.66666667","27.66666667","28.33333333","28.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00054","","","","1","","","","3","10","10","10","6","2","12","3","","3","3","6","1","6","0.3","0.4","4.3","0.7","5","14","0.15","0.033333333","0.05","1.4","1.4","0.2","0.2","0.07","0.07","0.43","0.43","14.28571429","14","100","1","1","2.333333333","2.333333333","14.33333333","14.33333333","16.66666667","16.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00055","","","","1","","","","3","10","8","7","4","0","","3","","6","5","5","3","6","0","","2.4","","","","","","","","","0","0","","","0.342857143","0.24","","","70","0","0","","","8","11.42857143","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00056","","","","1","3","","","3","10","10","10","9","12","10","3","","6","6","6","1","6","2.2","0.5","5","2.7","7.7","22","0.183333333","0.05","0.122727273","2.2","2.2","1.2","1.2","0.27","0.27","0.5","0.5","54.54545455","35.06493506","100","7.333333333","7.333333333","9","9","16.66666667","16.66666667","25.66666667","25.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00057","","","","1","2","1.972067952","3.531575918","3","10","10","10","6","6","10","3","72.3183136","5","4","5","5","6","0.9","0.3","2.3","1.2","3.5","16","0.15","0.03","0.075","1.6","1.6","0.6","0.6","0.12","0.12","0.23","0.23","37.5","34.28571429","100","3","3","4","4","7.666666667","7.666666667","11.66666667","11.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00058","","","","1","2","1.650768042","3.028789997","3","10","10","10","8","10","14","4","73.89296722","5","5","6","3","6","1.6","0.7","3.6","2.3","5.9","24","0.16","0.05","0.095833333","2.4","2.4","1","1","0.23","0.23","0.36","0.36","41.66666667","38.98305085","100","5.333333333","5.333333333","7.666666667","7.666666667","12","12","19.66666667","19.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00059","","","","2","3","1.850659013","2.884407997","4","10","10","9","9","17","8","4","73.57048798","6","5","6","1","4","2.9","0.4","1.6","3.3","4.9","25","0.170588235","0.05","0.132","2.777777778","2.5","1.888888889","1.7","0.366666667","0.33","0.177777778","0.16","68","67.34693878","90","9.666666667","10.74074074","11","12.22222222","5.333333333","5.925925926","16.33333333","18.14814815"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00006","","","","2","","1.034873962","2.489787102","3","10","10","9","9","14","19","3","70.666008","6","6","6","1","6","3.1","0.5","5.6","3.6","9.2","33","0.221428571","0.026315789","0.109090909","3.666666667","3.3","1.555555556","1.4","0.4","0.36","0.622222222","0.56","42.42424242","39.13043478","90","10.33333333","11.48148148","12","13.33333333","18.66666667","20.74074074","30.66666667","34.07407407"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00060","","","","1","3","0.994919002","1.745911956","4","10","10","9","6","7","3","4","67.32656097","7","8","6","1","5","2.4","0.3","3.1","2.7","5.8","10","0.342857143","0.1","0.27","1.111111111","1","0.777777778","0.7","0.3","0.27","0.344444444","0.31","70","46.55172414","90","8","8.888888889","9","10","10.33333333","11.48148148","19.33333333","21.48148148"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00061","","","","1","2","1.453843951","2.576123953","3","10","10","10","7","11","5","3","73.75508118","5","5","7","1","3","2.1","0.3","5.2","2.4","7.6","16","0.190909091","0.06","0.15","1.6","1.6","1.1","1.1","0.24","0.24","0.52","0.52","68.75","31.57894737","100","7","7","8","8","17.33333333","17.33333333","25.33333333","25.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00062","","","","1","2","1.770858049","3.377424002","3","10","10","10","9","5","20","1","69.72911072","4","3","4","1","6","0.6","0.6","4.3","1.2","5.5","25","0.12","0.03","0.048","2.5","2.5","0.5","0.5","0.12","0.12","0.43","0.43","20","21.81818182","100","2","2","4","4","14.33333333","14.33333333","18.33333333","18.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00063","","","","3","4","1.380962968","2.069168091","4","10","10","10","10","16","19","4","72.1346283","6","7","6","4","6","3.4","1.2","3.3","4.6","7.9","35","0.2125","0.063157895","0.131428571","3.5","3.5","1.6","1.6","0.46","0.46","0.33","0.33","45.71428571","58.2278481","100","11.33333333","11.33333333","15.33333333","15.33333333","11","11","26.33333333","26.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00064","","","","1","3","4.38774395","6.644639015","3","10","9","8","7","7","9","3","48.20226669","7","8","6","1","5","3","0.5","5.3","3.5","8.8","16","0.428571429","0.055555556","0.21875","2","1.6","0.875","0.7","0.4375","0.35","0.6625","0.53","43.75","39.77272727","80","10","12.5","11.66666667","14.58333333","17.66666667","22.08333333","29.33333333","36.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00065","","","","1","","1.277641058","2.456413984","3","10","10","10","8","10","8","3","68.94546509","5","5","6","1","6","1.5","0.4","4.4","1.9","6.3","18","0.15","0.05","0.105555556","1.8","1.8","1","1","0.19","0.19","0.44","0.44","55.55555556","30.15873016","100","5","5","6.333333333","6.333333333","14.66666667","14.66666667","21","21"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00066","","","","1","","","","3","10","10","10","8","5","10","3","","5","4","6","1","5","0.8","0.6","3.4","1.4","4.8","15","0.16","0.06","0.093333333","1.5","1.5","0.5","0.5","0.14","0.14","0.34","0.34","33.33333333","29.16666667","100","2.666666667","2.666666667","4.666666667","4.666666667","11.33333333","11.33333333","16","16"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00067","","","","1","3","","","3","10","10","8","8","23","42","4","","4","3","7","3","4","3.5","1.7","10.9","5.2","16.1","65","0.152173913","0.04047619","0.08","8.125","6.5","2.875","2.3","0.65","0.52","1.3625","1.09","35.38461538","32.29813665","80","11.66666667","14.58333333","17.33333333","21.66666667","36.33333333","45.41666667","53.66666667","67.08333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00068","","","","1","2","5.876636982","7.838178158","3","10","10","9","9","9","4","3","62.79997253","6","6","6","1","5","2","0.4","10.5","2.4","12.9","13","0.222222222","0.1","0.184615385","1.444444444","1.3","1","0.9","0.266666667","0.24","1.166666667","1.05","69.23076923","18.60465116","90","6.666666667","7.407407407","8","8.888888889","35","38.88888889","43","47.77777778"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00069","","","","1","","1.627892971","2.639322042","4","10","10","8","3","0","","3","68.57094574","2","2","7","1","6","0","","16.7","","","","","","","","","0","0","","","2.0875","1.67","","","80","0","0","","","55.66666667","69.58333333","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00007","","","","","","","","4","10","10","10","4","0","21","","","","","7","3","4","0","0.7","13.4","0.7","14.1","21","","0.033333333","0.033333333","2.1","2.1","0","0","0.07","0.07","1.34","1.34","0","4.964539007","100","0","0","2.333333333","2.333333333","44.66666667","44.66666667","47","47"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00070","","","","3","2","","","4","10","10","8","8","16","16","5","","7","7","6","3","6","4","0.8","7.3","4.8","12.1","32","0.25","0.05","0.15","4","3.2","2","1.6","0.6","0.48","0.9125","0.73","50","39.66942149","80","13.33333333","16.66666667","16","20","24.33333333","30.41666667","40.33333333","50.41666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00071","","","","1","2","1.652394056","3.022953033","3","10","10","9","9","14","24","3","74.04325867","5","4","6","5","6","1.8","0.9","7.6","2.7","10.3","38","0.128571429","0.0375","0.071052632","4.222222222","3.8","1.555555556","1.4","0.3","0.27","0.844444444","0.76","36.84210526","26.21359223","90","6","6.666666667","9","10","25.33333333","28.14814815","34.33333333","38.14814815"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00072","","","","1","2","1.519014955","3.353843927","3","10","10","9","7","12","9","3","72.49912262","7","6","6","4","6","2.3","0.4","5","2.7","7.7","21","0.191666667","0.044444444","0.128571429","2.333333333","2.1","1.333333333","1.2","0.3","0.27","0.555555556","0.5","57.14285714","35.06493506","90","7.666666667","8.518518519","9","10","16.66666667","18.51851852","25.66666667","28.51851852"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00073","","","","1","","1.588232994","3.106482983","3","10","10","9","1","0","2","3","74.38651276","3","3","3","6","7","0","0.1","1.5","0.1","1.6","2","","0.05","0.05","0.222222222","0.2","0","0","0.011111111","0.01","0.166666667","0.15","0","6.25","90","0","0","0.333333333","0.37037037","5","5.555555556","5.333333333","5.925925926"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00074","","","","","","","","","10","10","9","0","0","0","","","","","6","4","5","0","0","9.3","0","9.3","0","","","","0","0","0","0","0","0","1.033333333","0.93","","0","90","0","0","0","0","31","34.44444444","31","34.44444444"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00075","","","","1","","","","3","10","10","9","5","5","5","3","","2","2","6","1","6","0.5","0.2","2.2","0.7","2.9","10","0.1","0.04","0.07","1.111111111","1","0.555555556","0.5","0.077777778","0.07","0.244444444","0.22","50","24.13793103","90","1.666666667","1.851851852","2.333333333","2.592592593","7.333333333","8.148148148","9.666666667","10.74074074"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00076","","","","1","4","","","3","10","10","10","10","17","30","3","","6","6","6","4","6","2.5","1","4.6","3.5","8.1","47","0.147058824","0.033333333","0.074468085","4.7","4.7","1.7","1.7","0.35","0.35","0.46","0.46","36.17021277","43.20987654","100","8.333333333","8.333333333","11.66666667","11.66666667","15.33333333","15.33333333","27","27"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00077","","","","1","","1.219468951","2.806627035","4","10","10","10","10","13","17","3","74.00574493","6","7","6","4","6","2.6","0.7","5.3","3.3","8.6","30","0.2","0.041176471","0.11","3","3","1.3","1.3","0.33","0.33","0.53","0.53","43.33333333","38.37209302","100","8.666666667","8.666666667","11","11","17.66666667","17.66666667","28.66666667","28.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00078","","","","1","","","","4","10","5","5","5","9","2","4","","6","6","4","5","6","1.8","0.1","5.6","1.9","7.5","11","0.2","0.05","0.172727273","2.2","1.1","1.8","0.9","0.38","0.19","1.12","0.56","81.81818182","25.33333333","50","6","12","6.333333333","12.66666667","18.66666667","37.33333333","25","50"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00079","","","","1","","","","3","10","10","10","8","9","3","4","","5","5","7","1","5","1.5","0.2","5.5","1.7","7.2","12","0.166666667","0.066666667","0.141666667","1.2","1.2","0.9","0.9","0.17","0.17","0.55","0.55","75","23.61111111","100","5","5","5.666666667","5.666666667","18.33333333","18.33333333","24","24"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00008","","","","1","3","","","3","10","9","9","5","8","5","3","","5","5","6","3","4","1.2","0.2","4.4","1.4","5.8","13","0.15","0.04","0.107692308","1.444444444","1.3","0.888888889","0.8","0.155555556","0.14","0.488888889","0.44","61.53846154","24.13793103","90","4","4.444444444","4.666666667","5.185185185","14.66666667","16.2962963","19.33333333","21.48148148"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00080","","","","2","2","","","4","10","10","7","6","8","3","3","","6","6","4","5","7","2.1","0.1","7.7","2.2","9.9","11","0.2625","0.033333333","0.2","1.571428571","1.1","1.142857143","0.8","0.314285714","0.22","1.1","0.77","72.72727273","22.22222222","70","7","10","7.333333333","10.47619048","25.66666667","36.66666667","33","47.14285714"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00081","","","","1","","0.679917991","1.666622996","3","10","9","8","2","0","4","3","76.54714203","3","3","7","4","6","0","0.2","6.7","0.2","6.9","4","","0.05","0.05","0.5","0.4","0","0","0.025","0.02","0.8375","0.67","0","2.898550725","80","0","0","0.666666667","0.833333333","22.33333333","27.91666667","23","28.75"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00082","","","","1","3","","","3","10","9","9","9","8","9","3","","5","4","5","2","6","1.2","0.9","5.5","2.1","7.6","17","0.15","0.1","0.123529412","1.888888889","1.7","0.888888889","0.8","0.233333333","0.21","0.611111111","0.55","47.05882353","27.63157895","90","4","4.444444444","7","7.777777778","18.33333333","20.37037037","25.33333333","28.14814815"
