"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00001","","","","1","22","50.2","0","1.575204","4","13","13","34","29","34","14","1","1","73.4668121","5","7","7","3","3","2.5","0.6","22","3.1","25.1","26","0.192307692","0.046153846","0.119230769","0.896551724","0.764705882","0.448275862","0.382352941","0.106896552","0.091176471","0.75862069","0.647058824","50","12.35059761","85.29411765","43.8247012","1.358565737","2.450980392","2.873563218","3.039215686","3.563218391","21.56862745","25.28735632","1.331927193","1.561569813","24.60784314","28.85057471"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00010","","","","1","21.6","50.7","1.4771529","3.3881819","1","24","22","34","29","34","25","3","2","70.5253372","5","7","6","4","4","8.2","1.8","24","10","34","46","0.341666667","0.081818182","0.217391304","1.586206897","1.352941176","0.827586207","0.705882353","0.344827586","0.294117647","0.827586207","0.705882353","52.17391304","29.41176471","85.29411765","42.6035503","4.26035503","8.039215686","9.425287356","9.803921569","11.49425287","23.52941176","27.5862069","4.176818656","4.896959804","33.33333333","39.08045977"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00011","","","","1","23","51","0.101198","1.703038","2","13","20","34","30","34","15","1","2","71.4710922","5","4","6","1","1","2","0.8","16.5","2.8","19.3","33","0.153846154","0.04","0.084848485","1.1","0.970588235","0.433333333","0.382352941","0.093333333","0.082352941","0.55","0.485294118","39.39393939","14.50777202","88.23529412","45.09803922","1.262745098","1.960784314","2.222222222","2.745098039","3.111111111","16.17647059","18.33333333","1.23798539","1.403050109","18.92156863","21.44444444"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00012","","","","1","21.8","50.2","0.028242","1.81854","3","21","40","33","25","34","25","5","3","72.7457886","5","7","5","4","5","4.6","2.2","14","6.8","20.8","61","0.219047619","0.055","0.11147541","2.44","1.794117647","0.84","0.617647059","0.272","0.2","0.56","0.411764706","34.42622951","32.69230769","73.52941176","43.42629482","2.952988048","4.509803922","6.133333333","6.666666667","9.066666667","13.7254902","18.66666667","2.895086321","3.937317397","20.39215686","27.73333333"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00013","","","","1","21.3","50.9","1.389343","3.5142219","3","10","46","34","30","34","30","5","2","72.306366","5","4","6","1","1","1.2","2.4","27","3.6","30.6","56","0.12","0.052173913","0.064285714","1.866666667","1.647058824","0.333333333","0.294117647","0.12","0.105882353","0.9","0.794117647","17.85714286","11.76470588","88.23529412","41.84675835","1.506483301","1.176470588","1.333333333","3.529411765","4","26.47058824","30","1.476944412","1.673870334","30","34"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00014","","","","1","","","","","4","19","14","34","30","34","16","","2","","5","5","4","5","5","2.3","0.8","15","3.1","18.1","33","0.121052632","0.057142857","0.093939394","1.1","0.970588235","0.633333333","0.558823529","0.103333333","0.091176471","0.5","0.441176471","57.57575758","17.12707182","88.23529412","","","2.254901961","2.555555556","3.039215686","3.444444444","14.70588235","16.66666667","","","17.74509804","20.11111111"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00015","","","","2","20.6","50.7","2.0453","4.2185349","3","27","15","33","26","34","23","3","2","65.756897","5","6","4","5","5","6","1","17","7","24","42","0.222222222","0.066666667","0.166666667","1.615384615","1.235294118","1.038461538","0.794117647","0.269230769","0.205882353","0.653846154","0.5","64.28571429","29.16666667","76.47058824","40.63116371","2.84418146","5.882352941","7.692307692","6.862745098","8.974358974","16.66666667","21.79487179","2.788413196","3.646386487","23.52941176","30.76923077"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00016","","","","1","20.6","50.5","2.1183779","3.9963751","1","11","32","34","30","34","26","5","2","73.2273331","4","5","5","1","1","1.6","1.7","22.5","3.3","25.8","43","0.145454545","0.053125","0.076744186","1.433333333","1.264705882","0.366666667","0.323529412","0.11","0.097058824","0.75","0.661764706","25.58139535","12.79069767","88.23529412","40.79207921","1.346138614","1.568627451","1.777777778","3.235294118","3.666666667","22.05882353","25","1.319743739","1.495709571","25.29411765","28.66666667"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00017","","","","2","23.2","50.9","0.956657","3.0777719","4","14","16","34","23","34","22","5","3","71.701683","5","5","4","5","5","2.5","1.6","14","4.1","18.1","30","0.178571429","0.1","0.136666667","1.304347826","0.882352941","0.608695652","0.411764706","0.17826087","0.120588235","0.608695652","0.411764706","46.66666667","22.6519337","67.64705882","45.57956778","1.868762279","2.450980392","3.623188406","4.019607843","5.942028986","13.7254902","20.28985507","1.832119881","2.708351129","17.74509804","26.23188406"
"","","GHP2013DVG-AT01","","","","","","","","","GHP2013DVG-AT01-00018","","","","1","","","","","2","12","12","34","29","34","17","","1","","6","5","3","4","5","1.6","0.6","8.5","2.2","10.7","24","0.133333333","0.05","0.091666667","0.827586207","0.705882353","0.413793103","0.352941176","0.075862069","0.064705882","0.293103448","0.25","50","20.56074766","85.29411765","","","1.568627451","1.83908046","2.156862745","2.528735632","8.333333333","9.770114943","","","10.49019608","12.29885057"
