"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00019","","","","","","","","","","","5","1","10","10","3","2","1","2","","","4","","9","","3","5","","6","6","3","0.2","0.1","3","0.3","3.3","3","0.2","0.05","0.1","1","0.333333333","0.1","1","33.33333333","9.090909091","","2.222222222","3.333333333","33.33333333","","36.66666667","0.3","0.1","0.03","0.3","30","0.666666667","1","10","","11"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00002","","","","0","2.1723781","0.4954414","50.56","19.54","3.3884506","0","5","5","10","10","10","10","25","5","3","3","6","58.4071693","7","38.6471519","3","3","5.1058912","7","1","3","12.1","0.5","15","12.6","27.6","30","0.484","0.1","0.42","3","2.5","1.26","1.5","83.33333333","45.65217391","4.869541139","40.33333333","42","50","16.2318038","92","3","2.5","1.26","1.5","100","40.33333333","42","50","16.2318038","92"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00020","","","","","2.8394804","0.8037143","50.83","14","6.0409441","","5","5","10","10","7","7","10","3","7","6","6","41.8444824","7","27.54278969","3","3","10.6536436","6","3","3","3","0.2","4","3.2","7.2","13","0.3","0.066666667","0.246153846","1.857142857","1.428571429","0.457142857","0.571428571","76.92307692","44.44444444","0.88136927","14.28571429","15.23809524","19.04761905","4.196996524","34.28571429","1.3","1","0.32","0.4","70","10","10.66666667","13.33333333","2.937897567","24"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00021","","","","0","2.2104921","0.8510947","50.52","16.7","2.4693546","0","5","5","10","8","5","4","4","","3","3","5","57.589241","7","33.05621536","3","5","4.7862501","6","6","3","1","","1.5","","","","0.25","","","","0.8","","0.3","","","","6.666666667","","10","","","","0.4","","0.15","50","3.333333333","","5","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00022","","","","","","","","","","","5","3","10","10","8","5","2","3","","","5","","6","","3","5","","5","3","3","0.3","0.1","7","0.4","7.4","5","0.15","0.033333333","0.08","0.625","0.25","0.05","0.875","40","5.405405405","","1.25","1.666666667","29.16666667","","30.83333333","0.5","0.2","0.04","0.7","80","1","1.333333333","23.33333333","","24.66666667"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00023","","","","2.4855785","2.6840925","0.5614347","50.21","17.48","3.4708967","0","5","3","10","5","5","4","6","1","5","5","5","50.9657822","6","34.81378212","3","5","5.97997","5","4","3","0.5","0.1","2.5","0.6","3.1","7","0.083333333","0.1","0.085714286","1.4","1.2","0.12","0.5","85.71428571","19.35483871","0.208882693","3.333333333","4","16.66666667","1.392551285","20.66666667","0.7","0.6","0.06","0.25","50","1.666666667","2","8.333333333","0.696275642","10.33333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00024","","","","0","2.0214081","0.454823","50.54","21.86","2.4600382","0","5","3","10","10","8","6","4","6","2","8","4","61.2010498","9","43.25286901","3","5","3.2760947","7","3","3","0.8","0.3","6.5","1.1","7.6","10","0.2","0.05","0.11","1.25","0.5","0.1375","0.8125","40","14.47368421","0.475781559","3.333333333","4.583333333","27.08333333","1.982423163","31.66666667","1","0.4","0.11","0.65","80","2.666666667","3.666666667","21.66666667","1.585938531","25.33333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00025","","","","0","2.4047713","0.5304761","50.07","21.26","2.7715797","0","5","5","10","10","8","7","9","","2","8","5","58.614254","7","42.46055522","3","5","4.0953774","6","1","3","2.9","","5.5","","","","0.322222222","","","","1.125","","0.6875","","","","12.08333333","","22.91666667","","","","0.9","","0.55","80","9.666666667","","18.33333333","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00026","","","","0","2.1072488","0.5065641","50.14","19.5","2.3903332","0","5","3","10","10","3","2","14","2","5","2","5","58.5127525","8","38.89110491","5","7","4.5271158","5","1","3","4.2","0.1","20","4.3","24.3","16","0.3","0.05","0.26875","5.333333333","4.666666667","1.433333333","6.666666667","87.5","17.69547325","1.672317511","46.66666667","47.77777778","222.2222222","18.58130568","270","1.6","1.4","0.43","2","30","14","14.33333333","66.66666667","5.574391703","81"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00003","","","","0","2.1471224","0.5686231","50","21.53","2.5504313","0","5","1","10","10","7","4","2","7","2","8","4","60.3840141","14","43.06","3","5","6.7722168","8","3","3","0.4","0.3","9.5","0.7","10.2","9","0.2","0.042857143","0.077777778","1.285714286","0.285714286","0.1","1.357142857","22.22222222","6.862745098","0.30142","1.904761905","3.333333333","45.23809524","1.435333333","48.57142857","0.9","0.2","0.07","0.95","70","1.333333333","2.333333333","31.66666667","1.004733333","34"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00004","","","","0","2.1104512","0.4223719","50.41","22.49","3.410634","0","5","5","10","10","10","10","24","12","3","5","5","59.9584885","8","44.61416386","3","5","3.1460929","6","1","3","4","0.5","5.5","4.5","10","36","0.166666667","0.041666667","0.125","3.6","2.4","0.45","0.55","66.66666667","45","2.007637374","13.33333333","15","18.33333333","6.692124578","33.33333333","3.6","2.4","0.45","0.55","100","13.33333333","15","18.33333333","6.692124578","33.33333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00005","","","","","2.6600695","0.7087154","50.38","13.19","7.1811705","","5","5","10","10","10","10","24","10","7","6","6","40.8061256","6","26.18102422","3","3","8.3237906","5","3","3","5.5","0.5","3","6","9","34","0.229166667","0.05","0.176470588","3.4","2.4","0.6","0.3","70.58823529","66.66666667","1.570861453","18.33333333","20","10","5.236204843","30","3.4","2.4","0.6","0.3","100","18.33333333","20","10","5.236204843","30"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00006","","","","8.4858627","2.2209189","0.2094054","50.21","18.19","4.6088638","0.0122404","5","5","10","10","9","9","21","8","6","7","5","54.9339752","5","36.22784306","3","3","3.2115159","6","1","3","6.1","0.5","12","6.6","18.6","29","0.29047619","0.0625","0.227586207","3.222222222","2.333333333","0.733333333","1.333333333","72.4137931","35.48387097","2.391037642","22.59259259","24.44444444","44.44444444","8.85569497","68.88888889","2.9","2.1","0.66","1.2","90","20.33333333","22","40","7.970125473","62"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00007","","","","","","","","","","","5","1","10","8","5","3","","","","","5","","8","","5","7","","6","4","3","","","1","","","","","","","","","","0.2","","","","","","6.666666667","","","","","","0.1","50","","","3.333333333","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00008","","","","0","2.0066757","0.3945866","50.1","21.23","3.1060457","0","5","5","10","10","10","10","22","5","3","8","6","59.5455894","7","42.3752495","5","3","2.1111016","6","3","1","17.1","0.6","13","17.7","30.7","27","0.777272727","0.12","0.655555556","2.7","2.2","1.77","1.3","81.48148148","57.65472313","7.500419162","57","59","43.33333333","25.00139721","102.3333333","2.7","2.2","1.77","1.3","100","57","59","43.33333333","25.00139721","102.3333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00009","","","","0","2.312546","0.4931369","50.19","18.24","2.8837013","0","3","3","10","9","8","6","9","3","5","5","4","57.5812759","7","36.34190078","3","5","5.7820587","6","4","1","2","0.2","4.5","2.2","6.7","12","0.222222222","0.066666667","0.183333333","1.5","1.125","0.275","0.5625","75","32.8358209","0.799521817","8.333333333","9.166666667","18.75","3.331340905","27.91666667","1.2","0.9","0.22","0.45","80","6.666666667","7.333333333","15","2.665072724","22.33333333"
