"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00001","","","","2","10.53333333","4","62.02531646","16","18","11","20","11","2","3","47.05882353","5.233333333","3","34","3.090909091","3.92","5","2","3.14","0.78","2.4","6.533333333","6.32","0.19625","0.043333333","0.115294118","1.7","1.454545455","0.8","0.356363636","0.196","0.218181818","0.12","55","9.515151515","11.87878788","7.272727273","19.15151515"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00010","","","","2","13.83333333","4.2","69.63855422","19","40","13","20","13","2","3","32.20338983","6.566666667","3","59","4.538461538","5.78","5","1","3.94","1.84","2.52","9.633333333","8.3","0.207368421","0.046","0.097966102","2.95","1.461538462","0.95","0.444615385","0.289","0.193846154","0.126","65","10.1025641","14.82051282","6.461538462","21.28205128"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00011","","","","2","16","5.8","63.75","19","34","12","20","12","3","4","35.8490566","7.833333333","2","53","4.416666667","6.12","5","3","4.7","1.42","3.48","10.2","9.6","0.247368421","0.041764706","0.115471698","2.65","1.583333333","0.95","0.51","0.306","0.29","0.174","60","13.05555556","17","9.666666667","26.66666667"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00012","","","","1","18.06666667","5.8","67.89667897","37","27","14","20","14","1","2","57.8125","10.83333333","3","64","4.571428571","7.36","8","1","6.5","0.86","3.48","12.26666667","10.84","0.175675676","0.031851852","0.115","3.2","2.642857143","1.85","0.525714286","0.368","0.248571429","0.174","70","15.47619048","17.52380952","8.285714286","25.80952381"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00013","","","","1","16.7","4.933333333","70.45908184","29","25","19","20","19","1","1","53.7037037","9.8","2","54","2.842105263","7.06","7","1","5.88","1.18","2.96","11.76666667","10.02","0.202758621","0.0472","0.130740741","2.7","1.526315789","1.45","0.371578947","0.353","0.155789474","0.148","95","10.31578947","12.38596491","5.192982456","17.57894737"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00014","","","","3","17.1","4.233333333","75.24366472","33","26","13","20","13","4","2","55.93220339","11.26666667","2","59","4.538461538","7.72","6","2","6.76","0.96","2.54","12.86666667","10.26","0.204848485","0.036923077","0.130847458","2.95","2.538461538","1.65","0.593846154","0.386","0.195384615","0.127","65","17.33333333","19.79487179","6.512820513","26.30769231"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00015","","","","2","20","5.566666667","72.16666667","30","30","17","20","17","1","1","50","12.13333333","2","60","3.529411765","8.66","7","2","7.28","1.38","3.34","14.43333333","12","0.242666667","0.046","0.144333333","3","1.764705882","1.5","0.509411765","0.433","0.196470588","0.167","85","14.2745098","16.98039216","6.549019608","23.52941176"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00016","","","","2","19.16666667","3.833333333","80","36","22","19","20","19","1","4","62.06896552","13.66666667","2","58","3.052631579","9.2","6","1","8.2","1","2.3","15.33333333","11.5","0.227777778","0.045454545","0.15862069","2.9","1.894736842","1.8","0.484210526","0.46","0.121052632","0.115","95","14.38596491","16.14035088","4.035087719","20.1754386"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00002","","","","1","23.26666667","4.5","80.65902579","44","33","18","20","18","3","2","57.14285714","16.4","2","77","4.277777778","11.26","6","1","9.84","1.42","2.7","18.76666667","13.96","0.223636364","0.043030303","0.146233766","3.85","2.444444444","2.2","0.625555556","0.563","0.15","0.135","90","18.22222222","20.85185185","5","25.85185185"
"","","GHP2018NYK-FT02","","","","","","","","","GHP2018NYK-FT02-00003","","","","2","14.83333333","2.9","80.4494382","26","38","15","20","15","3","2","40.625","9.266666667","3","64","4.266666667","7.16","4","3","5.56","1.6","1.74","11.93333333","8.9","0.213846154","0.042105263","0.111875","3.2","1.733333333","1.3","0.477333333","0.358","0.116","0.087","75","12.35555556","15.91111111","3.866666667","19.77777778"
