"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00001","","","","1","10.7488832","9.88","50.14","4.2469497","12.01","1","33","4","14","10","14","10","7","8","","4","43.76194","6","7","6.92","7","3","3","9.2","2.7","4","11.9","15.9","37","0.278787879","0.675","0.321621622","3.7","2.642857143","3.3","2.357142857","1.19","0.85","0.4","0.285714286","89.18918919","74.8427673","71.42857143","19.70482649","2.344874352","21.9047619","30.66666667","28.33333333","39.66666667","9.523809524","13.33333333","5.583034171","7.816247839","37.85714286","53"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00002","","","","3","14.4236479","10.97","50.13","1.6763759","8.275919","1","18","10","14","10","14","10","6","6","1.0110114","3","51.9800186","5","7","8.68","4","4","4","4.9","0.8","5","5.7","10.7","28","0.272222222","0.08","0.203571429","2.8","2","1.8","1.285714286","0.57","0.407142857","0.5","0.357142857","64.28571429","53.27102804","71.42857143","21.88310393","1.247336924","11.66666667","16.33333333","13.57142857","19","11.9047619","16.66666667","2.969849819","4.157789747","25.47619048","35.66666667"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00003","","","","1","11.7761059","16.55","50.66","2.5315852","0.5683552","1","24","14","14","10","14","10","2","2","0.5044612","1","71.0044479","5","7","","9","3","4","7.5","1","7","8.5","15.5","38","0.3125","0.071428571","0.223684211","3.8","2.714285714","2.4","1.714285714","0.85","0.607142857","0.7","0.5","63.15789474","54.83870968","71.42857143","32.66877221","2.776845638","17.85714286","25","20.23809524","28.33333333","16.66666667","23.33333333","6.611537232","9.256152125","36.9047619","51.66666667"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00004","","","","4","","","","3.6807632","","1","3","22","14","8","14","7","","","1.1448734","3","","4","6","","3","7","7","0.9","1.3","2.5","2.2","4.7","25","0.3","0.059090909","0.088","3.125","1.785714286","0.375","0.214285714","0.275","0.157142857","0.3125","0.178571429","12","46.80851064","57.14285714","","","2.142857143","3.75","5.238095238","9.166666667","5.952380952","10.41666667","","","11.19047619","19.58333333"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00005","","","","4","","","","0.931922","","1","24","17","14","10","14","10","","","","3","","6","7","","6","4","6","5.2","1.1","2","6.3","8.3","41","0.216666667","0.064705882","0.153658537","4.1","2.928571429","2.4","1.714285714","0.63","0.45","0.2","0.142857143","58.53658537","75.90361446","71.42857143","","","12.38095238","17.33333333","15","21","4.761904762","6.666666667","","","19.76190476","27.66666667"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00006","","","","2","","","","2.0445087","","1","16","19","14","10","14","10","","","","5","","6","7","","5","3","4","5","1.8","2","6.8","8.8","35","0.3125","0.094736842","0.194285714","3.5","2.5","1.6","1.142857143","0.68","0.485714286","0.2","0.142857143","45.71428571","77.27272727","71.42857143","","","11.9047619","16.66666667","16.19047619","22.66666667","4.761904762","6.666666667","","","20.95238095","29.33333333"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00007","","","","2","7.7864466","16.74","50","0.3136429","2.1650987","1","26","44","14","9","14","9","3","6","","4","68.8043442","6","5","1.4414151","6","5","5","5.4","2.6","4","8","12","70","0.207692308","0.059090909","0.114285714","7.777777778","5","2.888888889","1.857142857","0.888888889","0.571428571","0.444444444","0.285714286","37.14285714","66.66666667","64.28571429","33.48","2.6784","12.85714286","20","19.04761905","29.62962963","9.523809524","14.81481481","6.377142857","9.92","28.57142857","44.44444444"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00008","","","","2","","","","","","1","0","22","14","7","14","7","","","","4","","5","2","","3","3","4","0","1.3","2","1.3","3.3","22","","0.059090909","0.059090909","3.142857143","1.571428571","0","0","0.185714286","0.092857143","0.285714286","0.142857143","0","39.39393939","50","","","0","0","3.095238095","6.19047619","4.761904762","9.523809524","","","7.857142857","15.71428571"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00009","","","","2","7.9771447","20.06","50.15","1.1931925","0.2781429","1","22","22","14","10","14","10","1","9","","3","69.6027527","5","6","","6","3","4","4.7","1.5","2.5","6.2","8.7","44","0.213636364","0.068181818","0.140909091","4.4","3.142857143","2.2","1.571428571","0.62","0.442857143","0.25","0.178571429","50","71.26436782","71.42857143","40","2.48","11.19047619","15.66666667","14.76190476","20.66666667","5.952380952","8.333333333","5.904761905","8.266666667","20.71428571","29"
"","","GHP2012KMD-PT01","","","","","","","","","GHP2012KMD-PT01-00010","","","","4","9.8349876","16.79","50.67","3.4262607","1.3986009","1","6","21","14","9","14","8","1","4","0.6685368","4","71.8268356","4","3","0.1647365","4","5","5","0.8","0.9","2","1.7","3.7","27","0.133333333","0.042857143","0.062962963","3","1.928571429","0.666666667","0.428571429","0.188888889","0.121428571","0.222222222","0.142857143","22.22222222","45.94594595","64.28571429","33.1359779","0.563311624","1.904761905","2.962962963","4.047619048","6.296296296","4.761904762","7.407407407","1.341218153","2.086339349","8.80952381","13.7037037"
