"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00001","","","","3","0","1.68","0.76","19.58","50.45","5.41","7.27","1","9","49","34","29","34","26","5","5","3.31","3","62.22","3","38.81070367","5","3","5.14","6","1","1","2.3","3.3","58","0.111111111","0.046938776","0.056896552","2","1.705882353","0.310344828","0.264705882","0.113793103","0.097058824","15.51724138","85.29411765","1.280753221","0.980392157","1.149425287","3.235294118","3.793103448","1.255640413","1.472130139"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00010","","","","4","16.22","2","0.86","14.92","50.78","5.41","6.99","1","10","73","29","26","34","26","8","3","3.82","5","57.43","3","29.38164632","5","4","8.93","6","2","1","3.5","4.5","83","0.1","0.047945205","0.054216867","3.192307692","2.441176471","0.384615385","0.294117647","0.173076923","0.132352941","12.04819277","76.47058824","1.322174084","0.980392157","1.282051282","4.411764706","5.769230769","1.296249102","1.69509498"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00011","","","","3","0","1.97","1.16","19.86","50.79","1.03","1.71","1","2","15","30","21","34","6","","","4.42","1","68.73","","39.10218547","5","4","5.95","8","2","0.4","0.5","0.9","17","0.2","0.033333333","0.052941176","0.80952381","0.5","0.095238095","0.058823529","0.042857143","0.026470588","11.76470588","61.76470588","0.351919669","0.392156863","0.634920635","0.882352941","1.428571429","0.345019284","0.55860265"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00012","","","","3","45.56","1.72","0.72","21.03","50.16","3.96","5.49","1","4","12","26","20","34","10","9","9","3.27","3","63.37","2","41.92583732","4","3","5.53","6","2","0.5","0.6","1.1","16","0.125","0.05","0.06875","0.8","0.470588235","0.2","0.117647059","0.055","0.032352941","25","58.82352941","0.461184211","0.490196078","0.833333333","1.078431373","1.833333333","0.452141383","0.768640351"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00013","","","","4","30.16","2.74","1.52","11.82","50.43","6.03","8.39","1","11","96","32","29","34","29","8","6","5.31","6","44.43","3","23.43842951","6","5","18.19","6","1","1.3","8.3","9.6","107","0.118181818","0.086458333","0.089719626","3.689655172","3.147058824","0.379310345","0.323529412","0.331034483","0.282352941","10.28037383","85.29411765","2.250089233","1.274509804","1.494252874","9.411764706","11.03448276","2.205969836","2.586309463"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00014","","","","3","16","2.22","1.18","15.25","50.45","1.93","2.92","1","4","71","34","25","34","25","8","6","4.22","2","55.7","2","30.22794846","5","3","16.6","7","2","0.6","2.6","3.2","75","0.15","0.036619718","0.042666667","3","2.205882353","0.16","0.117647059","0.128","0.094117647","5.333333333","73.52941176","0.967294351","0.588235294","0.8","3.137254902","4.266666667","0.948327795","1.289725801"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00015","","","","3","15.18","2.41","1.2","16.16","50.23","2.04","2.5","1","10","47","31","25","34","25","8","6","6.9","4","55.31","2","32.17200876","6","6","15.69","7","2","1.9","3.3","5.2","57","0.19","0.070212766","0.09122807","2.28","1.676470588","0.4","0.294117647","0.208","0.152941176","17.54385965","73.52941176","1.672944456","1.862745098","2.533333333","5.098039216","6.933333333","1.640141623","2.230592607"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00016","","","","3","27.38","2.64","1.36","12.79","50.65","6.29","9.44","1","5","56","24","23","34","22","8","6","5.07","6","49.8","3","25.25172754","5","5","12.55","7","2","0.3","3.1","3.4","61","0.06","0.055357143","0.055737705","2.652173913","1.794117647","0.217391304","0.147058824","0.147826087","0.1","8.196721311","67.64705882","0.858558736","0.294117647","0.434782609","3.333333333","4.927536232","0.841724251","1.244288024"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00017","","","","3","","","","","","","","1","0","10","32","21","34","18","","","","1","","","","3","2","","8","2","0","0.3","0.3","10","","0.03","0.03","0.476190476","0.294117647","0","0","0.014285714","0.008823529","0","61.76470588","","0","0","0.294117647","0.476190476","",""
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00018","","","","2","15.88","2.2","0.98","14.49","50.3","5.72","7.31","1","7","46","27","24","34","21","8","3","4.42","5","56.62","3","28.80715706","5","4","7.89","7","2","0.7","2","2.7","53","0.1","0.043478261","0.050943396","2.208333333","1.558823529","0.291666667","0.205882353","0.1125","0.079411765","13.20754717","70.58823529","0.777793241","0.68627451","0.972222222","2.647058824","3.75","0.762542393","1.08026839"
