"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00001","","","","2","17.4","50","2.99","4.66","2","25","69","34","29","34","27","2","64.55","6","5","8","3","4","5.6","4.3","4.4","9.9","14.3","94","0.224","0.062318841","0.105319149","3.24137931","2.764705882","0.862068966","0.735294118","0.34137931","0.291176471","0.151724138","0.129411765","26.59574468","69.23076923","85.29411765","34.8","3.4452","5.490196078","6.436781609","9.705882353","11.37931034","4.31372549","5.057471264","3.377647059","3.96","14.01960784","16.43678161"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00010","","","","2","19.7","50","1.9","3.2","1","32","41","34","28","34","26","1","69.98","5","7","4","7","7","8.5","2.7","20.4","11.2","31.6","73","0.265625","0.065853659","0.153424658","2.607142857","2.147058824","1.142857143","0.941176471","0.4","0.329411765","0.728571429","0.6","43.83561644","35.44303797","82.35294118","39.4","4.4128","8.333333333","10.11904762","10.98039216","13.33333333","20","24.28571429","4.32627451","5.253333333","30.98039216","37.61904762"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00011","","","","2","22.9","50","0.62","1.19","1","23","17","34","27","34","25","2","75.11","5","5","9","3","4","4.9","1.9","5.6","6.8","12.4","40","0.213043478","0.111764706","0.17","1.481481481","1.176470588","0.851851852","0.676470588","0.251851852","0.2","0.207407407","0.164705882","57.5","54.83870968","79.41176471","45.8","3.1144","4.803921569","6.049382716","6.666666667","8.395061728","5.490196078","6.913580247","3.053333333","3.844938272","12.15686275","15.30864198"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00012","","","","2","17.9","50","1.41","2.35","2","35","34","34","27","34","26","2","67.49","8","8","8","5","5","15","3","18","18","36","69","0.428571429","0.088235294","0.260869565","2.555555556","2.029411765","1.296296296","1.029411765","0.666666667","0.529411765","0.666666667","0.529411765","50.72463768","50","79.41176471","35.8","6.444","14.70588235","18.51851852","17.64705882","22.22222222","17.64705882","22.22222222","6.317647059","7.955555556","35.29411765","44.44444444"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00013","","","","2","16.9","50","0.95","1.9","1","34","76","34","30","34","29","1","70.35","5","5","7","7","7","8.7","5.9","16.4","14.6","31","110","0.255882353","0.077631579","0.132727273","3.666666667","3.235294118","1.133333333","1","0.486666667","0.429411765","0.546666667","0.482352941","30.90909091","47.09677419","88.23529412","33.8","4.9348","8.529411765","9.666666667","14.31372549","16.22222222","16.07843137","18.22222222","4.838039216","5.483111111","30.39215686","34.44444444"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00014","","","","2","16.9","50","2.65","3.75","1","9","21","25","20","34","15","1","65.92","6","4","8","5","4","2","1.5","2.8","3.5","6.3","30","0.222222222","0.071428571","0.116666667","1.5","0.882352941","0.45","0.264705882","0.175","0.102941176","0.14","0.082352941","30","55.55555556","58.82352941","33.8","1.183","1.960784314","3.333333333","3.431372549","5.833333333","2.745098039","4.666666667","1.159803922","1.971666667","6.176470588","10.5"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00015","","","","2","10.7","50","4.05","7.23","2","42","26","34","28","34","26","3","44.96","5","8","7","4","5","16.8","1.6","9.8","18.4","28.2","68","0.4","0.061538462","0.270588235","2.428571429","2","1.5","1.235294118","0.657142857","0.541176471","0.35","0.288235294","61.76470588","65.24822695","82.35294118","21.4","3.9376","16.47058824","20","18.03921569","21.9047619","9.607843137","11.66666667","3.860392157","4.687619048","27.64705882","33.57142857"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00016","","","","2","","","","","1","0","24","34","27","34","9","1","","4","2","8","4","5","0","1.3","28","1.3","29.3","24","","0.054166667","0.054166667","0.888888889","0.705882353","0","0","0.048148148","0.038235294","1.037037037","0.823529412","0","4.436860068","79.41176471","","","0","0","1.274509804","1.604938272","27.45098039","34.56790123","","","28.7254902","36.17283951"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00017","","","","2","18.5","50","","","2","30","33","34","29","34","29","1","70.26","4","6","7","7","7","9.7","3","8","12.7","20.7","63","0.323333333","0.090909091","0.201587302","2.172413793","1.852941176","1.034482759","0.882352941","0.437931034","0.373529412","0.275862069","0.235294118","47.61904762","61.352657","85.29411765","37","4.699","9.509803922","11.14942529","12.45098039","14.59770115","7.843137255","9.195402299","4.606862745","5.401149425","20.29411765","23.79310345"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00018","","","","2","16.2","50","3.53","4.84","2","38","26","34","24","34","22","2","62.66","6","3","8","3","4","14.6","1.8","11.2","16.4","27.6","64","0.384210526","0.069230769","0.25625","2.666666667","1.882352941","1.583333333","1.117647059","0.683333333","0.482352941","0.466666667","0.329411765","59.375","59.42028986","70.58823529","32.4","5.3136","14.31372549","20.27777778","16.07843137","22.77777778","10.98039216","15.55555556","5.209411765","7.38","27.05882353","38.33333333"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00019","","","","2","20.9","50","","","1","27","70","34","30","34","28","1","","5","4","7","5","5","6.3","4.2","23","10.5","33.5","97","0.233333333","0.06","0.108247423","3.233333333","2.852941176","0.9","0.794117647","0.35","0.308823529","0.766666667","0.676470588","27.83505155","31.34328358","88.23529412","41.8","4.389","6.176470588","7","10.29411765","11.66666667","22.54901961","25.55555556","4.302941176","4.876666667","32.84313725","37.22222222"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00002","","","","1","19","50","2.37","3.81","2","29","69","30","30","34","20","2","72.34","5","6","8","5","4","7.6","5.7","23.4","13.3","36.7","98","0.262068966","0.082608696","0.135714286","3.266666667","2.882352941","0.966666667","0.852941176","0.443333333","0.391176471","0.78","0.688235294","29.59183673","36.23978202","88.23529412","38","5.054","7.450980392","8.444444444","13.03921569","14.77777778","22.94117647","26","4.954901961","5.615555556","35.98039216","40.77777778"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00020","","","","2","23.5","50","0.65","1.17","1","26","16","34","29","34","29","1","75.76","6","7","7","3","5","6.2","1.2","5.6","7.4","13","42","0.238461538","0.075","0.176190476","1.448275862","1.235294118","0.896551724","0.764705882","0.255172414","0.217647059","0.193103448","0.164705882","61.9047619","56.92307692","85.29411765","47","3.478","6.078431373","7.126436782","7.254901961","8.505747126","5.490196078","6.436781609","3.409803922","3.997701149","12.74509804","14.94252874"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00021","","","","2","20.5","50","1.5","2.67","1","27","66","34","27","34","25","1","69.39","6","7","4","7","7","9.3","4.3","22","13.6","35.6","93","0.344444444","0.065151515","0.146236559","3.444444444","2.735294118","1","0.794117647","0.503703704","0.4","0.814814815","0.647058824","29.03225806","38.20224719","79.41176471","41","5.576","9.117647059","11.48148148","13.33333333","16.79012346","21.56862745","27.16049383","5.466666667","6.883950617","34.90196078","43.95061728"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00022","","","","2","17.1","50","","","1","42","44","34","29","34","29","1","","6","7","4","5","5","11.5","3.3","9.6","14.8","24.4","86","0.273809524","0.075","0.172093023","2.965517241","2.529411765","1.448275862","1.235294118","0.510344828","0.435294118","0.331034483","0.282352941","48.8372093","60.6557377","85.29411765","34.2","5.0616","11.2745098","13.2183908","14.50980392","17.01149425","9.411764706","11.03448276","4.962352941","5.817931034","23.92156863","28.04597701"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00023","","","","2","17.18","50","3.18","4.68","2","23","22","34","26","34","23","1","64.74","6","5","5","5","4","5","0.9","4","5.9","9.9","45","0.217391304","0.040909091","0.131111111","1.730769231","1.323529412","0.884615385","0.676470588","0.226923077","0.173529412","0.153846154","0.117647059","51.11111111","59.5959596","76.47058824","34.36","2.02724","4.901960784","6.41025641","5.784313725","7.564102564","3.921568627","5.128205128","1.987490196","2.599025641","9.705882353","12.69230769"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00024","","","","2","20.12","50","2.4","3.48","2","19","56","34","30","34","28","2","71.34","6","6","6","3","5","6.2","2.1","23.4","8.3","31.7","75","0.326315789","0.0375","0.110666667","2.5","2.205882353","0.633333333","0.558823529","0.276666667","0.244117647","0.78","0.688235294","25.33333333","26.1829653","88.23529412","40.24","3.33992","6.078431373","6.888888889","8.137254902","9.222222222","22.94117647","26","3.274431373","3.711022222","31.07843137","35.22222222"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00025","","","","2","19.12","50","1.01","1.98","2","37","60","34","21","34","14","2","68.54","6","5","6","5","6","8.7","3.9","8.2","12.6","20.8","97","0.235135135","0.065","0.129896907","4.619047619","2.852941176","1.761904762","1.088235294","0.6","0.370588235","0.39047619","0.241176471","38.1443299","60.57692308","61.76470588","38.24","4.81824","8.529411765","13.80952381","12.35294118","20","8.039215686","13.01587302","4.723764706","7.648","20.39215686","33.01587302"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00026","","","","2","18.06","50","0.96","2.03","1","26","16","34","29","34","29","1","70.56","6","7","5","5","7","6.2","1.2","5.6","7.4","13","42","0.238461538","0.075","0.176190476","1.448275862","1.235294118","0.896551724","0.764705882","0.255172414","0.217647059","0.193103448","0.164705882","61.9047619","56.92307692","85.29411765","36.12","2.67288","6.078431373","7.126436782","7.254901961","8.505747126","5.490196078","6.436781609","2.620470588","3.072275862","12.74509804","14.94252874"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00027","","","","1","20.87","50","1.07","1.91","2","27","38","34","28","34","26","2","70.25","5","6","9","3","5","5.7","2.2","21.4","7.9","29.3","65","0.211111111","0.057894737","0.121538462","2.321428571","1.911764706","0.964285714","0.794117647","0.282142857","0.232352941","0.764285714","0.629411765","41.53846154","26.96245734","82.35294118","41.74","3.29746","5.588235294","6.785714286","7.745098039","9.404761905","20.98039216","25.47619048","3.232803922","3.925547619","28.7254902","34.88095238"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00028","","","","1","16.59","50","1.96","2.63","2","26","16","34","29","34","29","2","66","6","8","6","8","8","6.2","1.2","9.6","7.4","17","42","0.238461538","0.075","0.176190476","1.448275862","1.235294118","0.896551724","0.764705882","0.255172414","0.217647059","0.331034483","0.282352941","61.9047619","43.52941176","85.29411765","33.18","2.45532","6.078431373","7.126436782","7.254901961","8.505747126","9.411764706","11.03448276","2.407176471","2.822206897","16.66666667","19.54022989"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00029","","","","2","","","","","2","35","48","34","30","34","29","2","","5","7","8","4","4","10.2","3.5","15","13.7","28.7","83","0.291428571","0.072916667","0.165060241","2.766666667","2.441176471","1.166666667","1.029411765","0.456666667","0.402941176","0.5","0.441176471","42.1686747","47.73519164","88.23529412","","","10","11.33333333","13.43137255","15.22222222","14.70588235","16.66666667","","","28.1372549","31.88888889"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00003","","","","2","18.4","50","1.2","2.21","2","18","31","34","30","34","28","2","68.82","5","4","6","9","6","4.2","2.4","8.2","6.6","14.8","49","0.233333333","0.077419355","0.134693878","1.633333333","1.441176471","0.6","0.529411765","0.22","0.194117647","0.273333333","0.241176471","36.73469388","44.59459459","88.23529412","36.8","2.4288","4.117647059","4.666666667","6.470588235","7.333333333","8.039215686","9.111111111","2.381176471","2.698666667","14.50980392","16.44444444"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00030","","","","2","19.75","50","1.04","2.03","2","12","11","34","23","34","15","2","70.39","6","6","8","6","6","2.3","1.1","10","3.4","13.4","23","0.191666667","0.1","0.147826087","1","0.676470588","0.52173913","0.352941176","0.147826087","0.1","0.434782609","0.294117647","52.17391304","25.37313433","67.64705882","39.5","1.343","2.254901961","3.333333333","3.333333333","4.927536232","9.803921569","14.49275362","1.316666667","1.946376812","13.1372549","19.42028986"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00031","","","","2","20.75","50","1.66","2.97","1","28","38","34","23","34","23","1","69.02","6","7","6","7","7","6.7","2.2","14.8","8.9","23.7","66","0.239285714","0.057894737","0.134848485","2.869565217","1.941176471","1.217391304","0.823529412","0.386956522","0.261764706","0.643478261","0.435294118","42.42424242","37.55274262","67.64705882","41.5","3.6935","6.568627451","9.710144928","8.725490196","12.89855072","14.50980392","21.44927536","3.621078431","5.352898551","23.23529412","34.34782609"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00032","","","","2","17.12","50","1.17","2.49","2","35","28","34","29","34","27","2","68.02","5","7","6","1","4","9.3","2.6","7.4","11.9","19.3","63","0.265714286","0.092857143","0.188888889","2.172413793","1.852941176","1.206896552","1.029411765","0.410344828","0.35","0.255172414","0.217647059","55.55555556","61.65803109","85.29411765","34.24","4.07456","9.117647059","10.68965517","11.66666667","13.67816092","7.254901961","8.505747126","3.994666667","4.683402299","18.92156863","22.18390805"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00033","","","","2","18.37","50","1.31","2.26","1","19","31","34","27","34","24","2","67.3","6","7","6","6","7","4.6","2.3","8","6.9","14.9","50","0.242105263","0.074193548","0.138","1.851851852","1.470588235","0.703703704","0.558823529","0.255555556","0.202941176","0.296296296","0.235294118","38","46.30872483","79.41176471","36.74","2.53506","4.509803922","5.679012346","6.764705882","8.518518519","7.843137255","9.87654321","2.485352941","3.129703704","14.60784314","18.39506173"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00034","","","","2","17.63","50","2.48","3.94","1","14","21","34","27","34","19","2","65.67","6","8","9","5","5","6.9","1.7","8","8.6","16.6","35","0.492857143","0.080952381","0.245714286","1.296296296","1.029411765","0.518518519","0.411764706","0.318518519","0.252941176","0.296296296","0.235294118","40","51.80722892","79.41176471","35.26","3.03236","6.764705882","8.518518519","8.431372549","10.61728395","7.843137255","9.87654321","2.972901961","3.743654321","16.2745098","20.49382716"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00035","","","","2","18.41","50","0.95","1.72","2","21","25","34","29","34","26","2","70","6","6","8","4","4","5.1","2.5","11","7.6","18.6","46","0.242857143","0.1","0.165217391","1.586206897","1.352941176","0.724137931","0.617647059","0.262068966","0.223529412","0.379310345","0.323529412","45.65217391","40.86021505","85.29411765","36.82","2.79832","5","5.862068966","7.450980392","8.735632184","10.78431373","12.64367816","2.74345098","3.21645977","18.23529412","21.37931034"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00036","","","","2","22.25","50","0.83","1.62","2","12","19","34","26","34","20","2","73.92","5","4","6","4","5","2.6","1.4","5.2","4","9.2","31","0.216666667","0.073684211","0.129032258","1.192307692","0.911764706","0.461538462","0.352941176","0.153846154","0.117647059","0.2","0.152941176","38.70967742","43.47826087","76.47058824","44.5","1.78","2.549019608","3.333333333","3.921568627","5.128205128","5.098039216","6.666666667","1.745098039","2.282051282","9.019607843","11.79487179"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00037","","","","3","16.3","50","1.71","2.72","2","35","42","34","27","34","25","2","67.7","6","7","8","4","4","15.4","3","12.6","18.4","31","77","0.44","0.071428571","0.238961039","2.851851852","2.264705882","1.296296296","1.029411765","0.681481481","0.541176471","0.466666667","0.370588235","45.45454545","59.35483871","79.41176471","32.6","5.9984","15.09803922","19.01234568","18.03921569","22.71604938","12.35294118","15.55555556","5.880784314","7.405432099","30.39215686","38.27160494"
"","","GHP2011FMS-AT01","","","","","","","","","GHP2011FMS-AT01-00038","","","","2","21.71","50","0","0.83","1","20","38","34","30","34","23","1","72.9","6","5","6","8","8","2.7","2.2","21.2","4.9","26.1","58","0.135","0.057894737","0.084482759","1.933333333","1.705882353","0.666666667","0.588235294","0.163333333","0.144117647","0.706666667","0.623529412","34.48275862","18.77394636","88.23529412","43.42","2.12758","2.647058824","3","4.803921569","5.444444444","20.78431373","23.55555556","2.085862745","2.363977778","25.58823529","29"
