"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00001","","","","4","12.9","4.066666667","68.4754522","29","32","18","20","18","4","3","47.54098361","6.766666667","3","61","3.388888889","5.3","6","3","4.06","1.24","2.44","8.833333333","7.74","0.14","0.03875","0.086885246","3.05","1.611111111","1.45","0.294444444","0.265","0.135555556","0.122","90","7.518518519","9.814814815","4.518518519","14.33333333"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00010","","","","3","0.5","0.3","40","1","0","1","20","1","2","2","100","0.2","5","1","1","0.12","6","1","0.12","0","0.18","0.2","0.3","0.12","","0.12","0.05","1","0.05","0.12","0.006","0.18","0.009","5","4","4","6","10"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00011","","","","4","0.85","0.333333333","60.78431373","1","2","3","20","3","1","3","33.33333333","0.35","5","3","1","0.31","4","4","0.21","0.1","0.2","0.516666667","0.51","0.21","0.05","0.103333333","0.15","0.333333333","0.05","0.103333333","0.0155","0.066666667","0.01","15","2.333333333","3.444444444","2.222222222","5.666666667"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00012","","","","2","11.93333333","4.633333333","61.17318436","20","18","14","20","14","3","2","52.63157895","5.966666667","2","38","2.714285714","4.38","6","2","3.58","0.8","2.78","7.3","7.16","0.179","0.044444444","0.115263158","1.9","1.428571429","1","0.312857143","0.219","0.198571429","0.139","70","8.523809524","10.42857143","6.619047619","17.04761905"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00013","","","","3","23.5","8.3","64.68085106","31","29","17","20","17","3","3","51.66666667","13.2","2","60","3.529411765","9.12","7","1","7.92","1.2","4.98","15.2","14.1","0.255483871","0.04137931","0.152","3","1.823529412","1.55","0.536470588","0.456","0.292941176","0.249","85","15.52941176","17.88235294","9.764705882","27.64705882"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00014","","","","3","25.63333333","5.233333333","79.58387516","28","17","20","20","20","3","2","62.22222222","19.16666667","2","45","2.25","12.24","6","2","11.5","0.74","3.14","20.4","15.38","0.410714286","0.043529412","0.272","2.25","1.4","1.4","0.612","0.612","0.157","0.157","100","19.16666667","20.4","5.233333333","25.63333333"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00015","","","","2","19.33333333","3.633333333","81.20689655","47","36","20","20","20","2","3","56.62650602","13.1","3","83","4.15","9.42","7","2","7.86","1.56","2.18","15.7","11.6","0.167234043","0.043333333","0.113493976","4.15","2.35","2.35","0.471","0.471","0.109","0.109","100","13.1","15.7","3.633333333","19.33333333"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00016","","","","1","15.66666667","1.8","88.5106383","48","56","19","20","19","1","3","46.15384615","10.33333333","4","104","5.473684211","8.32","7","1","6.2","2.12","1.08","13.86666667","9.4","0.129166667","0.037857143","0.08","5.2","2.526315789","2.4","0.437894737","0.416","0.056842105","0.054","95","10.87719298","14.59649123","1.894736842","16.49122807"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00017","","","","4","10.53333333","3.166666667","69.93670886","18","29","12","20","12","2","4","38.29787234","5.566666667","3","47","3.916666667","4.42","6","2","3.34","1.08","1.9","7.366666667","6.32","0.185555556","0.037241379","0.094042553","2.35","1.5","0.9","0.368333333","0.221","0.158333333","0.095","60","9.277777778","12.27777778","5.277777778","17.55555556"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00018","","","","3","9.4","2.866666667","69.5035461","21","24","14","20","14","3","3","46.66666667","4.766666667","4","45","3.214285714","3.92","6","4","2.86","1.06","1.72","6.533333333","5.64","0.136190476","0.044166667","0.087111111","2.25","1.5","1.05","0.28","0.196","0.122857143","0.086","70","6.80952381","9.333333333","4.095238095","13.42857143"
