"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00019","","","","2","","","","","","","","1","4","6","10","14","3","","4","","","4","4","","7","4","0.5","0.1","3.4","0.6","4","10","0.125","0.016666667","0.06","1","0.714285714","0.4","0.285714286","0.06","0.042857143","0.34","0.242857143","40","15","71.42857143","","1.19047619","1.666666667","1.428571429","2","8.095238095","11.33333333","","","9.523809524","13.33333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00002","","","","1","0","1.33","1.05","18.38","50.63","0.83","2.42","1","10","12","10","14","8","2.71","1","70.91","36.3025874","5","7","10.03","8","2","3","0.8","2.8","3.8","6.6","22","0.3","0.066666667","0.172727273","2.2","1.571428571","1","0.714285714","0.38","0.271428571","0.28","0.2","45.45454545","57.57575758","71.42857143","1.379498321","7.142857143","10","9.047619048","12.66666667","6.666666667","9.333333333","3.284519812","4.598327737","15.71428571","22"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00020","","","","5","5.45","1.77","1.08","15.71","50.85","3.42","6.01","3","7","11","10","14","10","3.07","1","63.33","30.89478859","5","6","10.51","7","4","2","0.7","2.5","2.7","5.2","18","0.285714286","0.063636364","0.15","1.8","1.285714286","0.7","0.5","0.27","0.192857143","0.25","0.178571429","38.88888889","51.92307692","71.42857143","0.834159292","4.761904762","6.666666667","6.428571429","9","5.952380952","8.333333333","1.986093552","2.780530973","12.38095238","17.33333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00003","","","","4","0","1.58","1.15","18","50.29","1.01","2.83","2","3","4","10","14","6","3.87","3","68.45","35.79240406","2","3","10.17","7","2","0.1","0.5","4.1","0.6","4.7","7","0.033333333","0.125","0.085714286","0.7","0.5","0.3","0.214285714","0.06","0.042857143","0.41","0.292857143","42.85714286","12.76595745","71.42857143","0.214754424","0.238095238","0.333333333","1.428571429","2","9.761904762","13.66666667","0.511320058","0.715848081","11.19047619","15.66666667"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00004","","","","2","","","","","","","","2","12","23","10","14","10","","4","","","6","7","","6","4","2.1","1.1","2.6","3.2","5.8","35","0.175","0.047826087","0.091428571","3.5","2.5","1.2","0.857142857","0.32","0.228571429","0.26","0.185714286","34.28571429","55.17241379","71.42857143","","5","7","7.619047619","10.66666667","6.19047619","8.666666667","","","13.80952381","19.33333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00005","","","","4","17.8","1.69","0.79","12.87","50.77","6.46","9.64","4","10","19","10","14","10","2.57","4","56.48","25.34961591","3","7","13.47","5","4","2.6","2.1","3.6","4.7","8.3","29","0.26","0.110526316","0.162068966","2.9","2.071428571","1","0.714285714","0.47","0.335714286","0.36","0.257142857","34.48275862","56.62650602","71.42857143","1.191431948","6.19047619","8.666666667","11.19047619","15.66666667","8.571428571","12","2.836742733","3.971439827","19.76190476","27.66666667"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00006","","","","3","2.37","1.58","1.06","16.96","50.51","2.17","4.63","2","6","25","9","14","8","1.86","3","67.39","33.5775094","4","6","12.5","2","9","1.1","1.1","2.8","2.2","5","31","0.183333333","0.044","0.070967742","3.444444444","2.214285714","0.666666667","0.428571429","0.244444444","0.157142857","0.311111111","0.2","19.35483871","44","64.28571429","0.738705207","2.619047619","4.074074074","5.238095238","8.148148148","6.666666667","10.37037037","1.758821921","2.735945211","11.9047619","18.51851852"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00007","","","","5","4.98","1.7","0.98","17.46","50.53","2.32","4.45","3","10","17","10","14","9","3.26","5","65.53","34.55373046","3","6","12.43","7","7","1.9","1.5","4.4","3.4","7.8","27","0.19","0.088235294","0.125925926","2.7","1.928571429","1","0.714285714","0.34","0.242857143","0.44","0.314285714","37.03703704","43.58974359","71.42857143","1.174826836","4.523809524","6.333333333","8.095238095","11.33333333","10.47619048","14.66666667","2.797206751","3.916089452","18.57142857","26"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00008","","","","4","","","","","","","","3","6","27","10","14","10","","3","","","3","6","","6","5","1","3.5","1.8","4.5","6.3","33","0.166666667","0.12962963","0.136363636","3.3","2.357142857","0.6","0.428571429","0.45","0.321428571","0.18","0.128571429","18.18181818","71.42857143","71.42857143","","2.380952381","3.333333333","10.71428571","15","4.285714286","6","","","15","21"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00009","","","","3","1.34","1.59","0.94","15.98","50.28","1.77","3.54","2","18","15","10","14","10","2.81","2","67.94","31.78202068","5","5","11.13","5","3","2.4","1.2","1.6","3.6","5.2","33","0.133333333","0.08","0.109090909","3.3","2.357142857","1.8","1.285714286","0.36","0.257142857","0.16","0.114285714","54.54545455","69.23076923","71.42857143","1.144152745","5.714285714","8","8.571428571","12","3.80952381","5.333333333","2.724173202","3.813842482","12.38095238","17.33333333"
