"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00001","","","","3","0","","","","","","","","1","0","6","2","20","20","45","3","1","8","","2","","2","","3","3","","4","4","4","0","0.6","6","0.6","6.6","6","","0.1","0.1","0.3","0.133333333","0","0","0.03","0.013333333","0.3","0.133333333","0","9.090909091","44.44444444","","0","0","0.444444444","1","4.444444444","10","","","4.888888889","11"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00010","","","","4","0","","","","","","","","1","0","39","3","33","33","45","18","5","9","","4","","3","","4","3","","5","1","3","0","1.9","14","1.9","15.9","39","","0.048717949","0.048717949","1.181818182","0.866666667","0","0","0.057575758","0.042222222","0.424242424","0.311111111","0","11.94968553","73.33333333","","0","0","1.407407407","1.919191919","10.37037037","14.14141414","","","11.77777778","16.06060606"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00011","","","","3","0","1.78","1.09","18.23","3","50.16","1.36","2.18","1","19","50","4","35","35","45","26","5","7","3.34","3","65.58","3","36.34370016","3","4","6.8","7","4","3","7.8","2.4","17.5","10.2","27.7","69","0.410526316","0.048","0.147826087","1.971428571","1.533333333","0.542857143","0.422222222","0.291428571","0.226666667","0.5","0.388888889","27.53623188","36.82310469","77.77777778","3.707057416","5.777777778","7.428571429","7.555555556","9.714285714","12.96296296","16.66666667","2.745968456","3.530530873","20.51851852","26.38095238"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00012","","","","2","0","1.88","1.09","17.09","2","50.88","1.38","2.42","1","106","116","3","44","44","45","42","5","8","3.99","2","64.48","3","33.58883648","5","7","7.98","7","1","4","17.8","5.5","15.5","23.3","38.8","222","0.167924528","0.047413793","0.104954955","5.045454545","4.933333333","2.409090909","2.355555556","0.529545455","0.517777778","0.352272727","0.344444444","47.74774775","60.05154639","97.77777778","7.826198899","13.18518519","13.48484848","17.25925926","17.65151515","11.48148148","11.74242424","5.79718437","5.92893856","28.74074074","29.39393939"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00013","","","","3","","3.17","1.64","9.07","1","50.2","6.63","9.57","2","20","88","4","30","30","45","30","8","6","4.26","4","40.91","3","18.06772908","5","8","18.85","4","1","4","5.2","5.5","8.5","10.7","19.2","108","0.26","0.0625","0.099074074","3.6","2.4","0.666666667","0.444444444","0.356666667","0.237777778","0.283333333","0.188888889","18.51851852","55.72916667","66.66666667","1.933247012","3.851851852","5.777777778","7.925925926","11.88888889","6.296296296","9.444444444","1.432034824","2.148052236","14.22222222","21.33333333"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00014","","","","2","5.45","2.06","1.12","17.06","2","50.56","1.03","1.7","1","23","46","4","38","38","45","31","6","3","3.88","3","62.12","3","33.74208861","5","6","11.93","6","1","4","4.8","3.3","15","8.1","23.1","69","0.208695652","0.07173913","0.117391304","1.815789474","1.533333333","0.605263158","0.511111111","0.213157895","0.18","0.394736842","0.333333333","33.33333333","35.06493506","84.44444444","2.733109177","3.555555556","4.210526316","6","7.105263158","11.11111111","13.15789474","2.024525316","2.397464191","17.11111111","20.26315789"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00015","","","","2","0","2.06","1.32","20.6","2","50.75","0.43","1.52","1","10","40","2","38","38","45","23","3","8","5.09","3","65.48","3","40.591133","3","3","5.47","7","3","5","1.5","1.6","18.5","3.1","21.6","50","0.15","0.04","0.062","1.315789474","1.111111111","0.263157895","0.222222222","0.081578947","0.068888889","0.486842105","0.411111111","20","14.35185185","84.44444444","1.258325123","1.111111111","1.315789474","2.296296296","2.719298246","13.7037037","16.22807018","0.932092684","1.103793968","16","18.94736842"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00016","","","","4","0","1.78","0.99","19.99","2","50.65","1.36","2.34","1","18","36","4","35","35","45","31","3","8","3.64","2","65.75","2","39.46692991","5","7","6.53","4","3","3","5.3","2.1","7","7.4","14.4","54","0.294444444","0.058333333","0.137037037","1.542857143","1.2","0.514285714","0.4","0.211428571","0.164444444","0.2","0.155555556","33.33333333","51.38888889","77.77777778","2.920552813","3.925925926","5.047619048","5.481481481","7.047619048","5.185185185","6.666666667","2.163372454","2.78147887","10.66666667","13.71428571"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00017","","","","4","0","2.19","1.3","20.5","2","50.73","0.11","1.03","1","15","36","3","33","33","45","23","1","8","6.46","2","67.02","2","40.4100138","5","7","6.58","6","3","4","3.6","2.2","17","5.8","22.8","51","0.24","0.061111111","0.11372549","1.545454545","1.133333333","0.454545455","0.333333333","0.175757576","0.128888889","0.515151515","0.377777778","29.41176471","25.43859649","73.33333333","2.3437808","2.666666667","3.636363636","4.296296296","5.858585859","12.59259259","17.17171717","1.736133926","2.367455354","16.88888889","23.03030303"
"","","GHP2014KPV-AT02","","","","","","","","","GHP2014KPV-AT02-00018","","","","6","0","1.92","1.07","21.35","3","50.74","0.81","1.74","1","4","13","2","40","40","45","6","5","9","3.93","2","67.74","3","42.0772566","3","2","7.48","3","1","3","0.4","0.4","10.5","0.8","11.3","17","0.1","0.030769231","0.047058824","0.425","0.377777778","0.1","0.088888889","0.02","0.017777778","0.2625","0.233333333","23.52941176","7.079646018","88.88888889","0.336618053","0.296296296","0.333333333","0.592592593","0.666666667","7.777777778","8.75","0.249346706","0.280515044","8.37037037","9.416666667"
