"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00001","","","","2","16","3","50","3.51","5.53","1","21","33","2","29","20","34","19","2","64.42","5","7","4","6","6.5","2.1","3.4","8.6","12","54","0.30952381","0.063636364","0.159259259","2.7","1.588235294","1.05","0.617647059","0.43","0.252941176","0.17","0.1","38.88888889","71.66666667","58.82352941","32","2.752","6.37254902","10.83333333","8.431372549","14.33333333","3.333333333","5.666666667","2.698039216","4.586666667","11.76470588","20"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00010","","","","2","15.3","2","50","1.08","2.74","1","31","25","3","30","24","34","20","2","60.36","4","4","5","4","5.9","1.5","5.2","7.4","12.6","56","0.190322581","0.06","0.132142857","2.333333333","1.647058824","1.291666667","0.911764706","0.308333333","0.217647059","0.216666667","0.152941176","55.35714286","58.73015873","70.58823529","30.6","2.2644","5.784313725","8.194444444","7.254901961","10.27777778","5.098039216","7.222222222","2.22","3.145","12.35294118","17.5"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00011","","","","2","22.5","3","50","1.8","3.73","1","24","15","2","30","22","34","18","1","64.92","6","5","5","6","5.4","3.9","7.4","9.3","16.7","39","0.225","0.26","0.238461538","1.772727273","1.147058824","1.090909091","0.705882353","0.422727273","0.273529412","0.336363636","0.217647059","61.53846154","55.68862275","64.70588235","45","4.185","5.294117647","8.181818182","9.117647059","14.09090909","7.254901961","11.21212121","4.102941176","6.340909091","16.37254902","25.3030303"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00012","","","","2","14.2","3","50","5.58","8.1","1","3","9","2","29","11","34","6","1","63.55","4","3","2","6","0.6","0.5","1.4","1.1","2.5","12","0.2","0.055555556","0.091666667","1.090909091","0.352941176","0.272727273","0.088235294","0.1","0.032352941","0.127272727","0.041176471","25","44","32.35294118","28.4","0.3124","0.588235294","1.818181818","1.078431373","3.333333333","1.37254902","4.242424242","0.30627451","0.946666667","2.450980392","7.575757576"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00013","","","","2","17.7","3","50","0.19","1.4","1","25","19","2","30","21","34","18","2","73.17","6","6","6","1","5.5","1.7","7","7.2","14.2","44","0.22","0.089473684","0.163636364","2.095238095","1.294117647","1.19047619","0.735294118","0.342857143","0.211764706","0.333333333","0.205882353","56.81818182","50.70422535","61.76470588","35.4","2.5488","5.392156863","8.73015873","7.058823529","11.42857143","6.862745098","11.11111111","2.498823529","4.045714286","13.92156863","22.53968254"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00014","","","","2","15.2","2","50","1.22","2.65","1","32","36","1","30","28","34","28","2","66.22","5","6","4","2","7.8","2.6","4.2","10.4","14.6","68","0.24375","0.072222222","0.152941176","2.428571429","2","1.142857143","0.941176471","0.371428571","0.305882353","0.15","0.123529412","47.05882353","71.23287671","82.35294118","30.4","3.1616","7.647058824","9.285714286","10.19607843","12.38095238","4.117647059","5","3.099607843","3.763809524","14.31372549","17.38095238"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00015","","","","1","16","3","50","2.31","4.23","1","50","15","2","30","27","34","27","1","69.54","6","5","5","5","6.9","1.4","4.2","8.3","12.5","65","0.138","0.093333333","0.127692308","2.407407407","1.911764706","1.851851852","1.470588235","0.307407407","0.244117647","0.155555556","0.123529412","76.92307692","66.4","79.41176471","32","2.656","6.764705882","8.518518519","8.137254902","10.24691358","4.117647059","5.185185185","2.603921569","3.279012346","12.25490196","15.43209877"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00016","","","","1","16.6","","50","1.05","2.52","1","33","20","","30","26","34","24","2","58.21","4","4","7","4","5.2","1.2","5","6.4","11.4","53","0.157575758","0.06","0.120754717","2.038461538","1.558823529","1.269230769","0.970588235","0.246153846","0.188235294","0.192307692","0.147058824","62.26415094","56.14035088","76.47058824","33.2","2.1248","5.098039216","6.666666667","6.274509804","8.205128205","4.901960784","6.41025641","2.083137255","2.724102564","11.17647059","14.61538462"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00017","","","","2","17","3","50","1.2","2.66","1","24","16","2","30","20","34","16","2","57.97","4","4","6","5","4.2","0.8","4.2","5","9.2","40","0.175","0.05","0.125","2","1.176470588","1.2","0.705882353","0.25","0.147058824","0.21","0.123529412","60","54.34782609","58.82352941","34","1.7","4.117647059","7","4.901960784","8.333333333","4.117647059","7","1.666666667","2.833333333","9.019607843","15.33333333"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00018","","","","2","","","","","","1","50","12","","30","29","34","28","2","","5","5","4","3","6.8","0.7","4.6","7.5","12.1","62","0.136","0.058333333","0.120967742","2.137931034","1.823529412","1.724137931","1.470588235","0.25862069","0.220588235","0.15862069","0.135294118","80.64516129","61.98347107","85.29411765","","","6.666666667","7.816091954","7.352941176","8.620689655","4.509803922","5.287356322","","","11.8627451","13.90804598"
