"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of vines samples measuring g|CO_331:0000255","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00010","","","","0.0081","23","57","34","29","34","29","6","4","4","4.6","2.2","6.8","80","0.2","0.038596491","0.085","2.75862069","2.352941176","0.793103448","0.676470588","0.234482759","0.2","28.75","85.29411765","4.509803922","5.287356322","6.666666667","7.816091954"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00011","","","","0.006","35","33","32","20","34","19","6","4","4","9.4","1.6","11","68","0.268571429","0.048484848","0.161764706","3.4","2","1.75","1.029411765","0.55","0.323529412","51.47058824","58.82352941","9.215686275","15.66666667","10.78431373","18.33333333"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00012","","","","0.0064","30","26","34","28","34","26","6","3","5","11.2","2","13.2","56","0.373333333","0.076923077","0.235714286","2","1.647058824","1.071428571","0.882352941","0.471428571","0.388235294","53.57142857","82.35294118","10.98039216","13.33333333","12.94117647","15.71428571"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00021","","","","0.0059","14","23","32","19","34","19","6","5","5","1.6","1.8","3.4","37","0.114285714","0.07826087","0.091891892","1.947368421","1.088235294","0.736842105","0.411764706","0.178947368","0.1","37.83783784","55.88235294","1.568627451","2.807017544","3.333333333","5.964912281"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00022","","","","0.0042","10","20","34","25","34","23","6","6","6","1.6","1.6","3.2","30","0.16","0.08","0.106666667","1.2","0.882352941","0.4","0.294117647","0.128","0.094117647","33.33333333","73.52941176","1.568627451","2.133333333","3.137254902","4.266666667"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00023","","","","0.0043","36","30","34","27","34","27","5","5","6","7.2","1.4","8.6","66","0.2","0.046666667","0.13030303","2.444444444","1.941176471","1.333333333","1.058823529","0.318518519","0.252941176","54.54545455","79.41176471","7.058823529","8.888888889","8.431372549","10.61728395"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00024","","","","0.0032","25","53","34","27","34","27","6","3","5","3.6","2.2","5.8","78","0.144","0.041509434","0.074358974","2.888888889","2.294117647","0.925925926","0.735294118","0.214814815","0.170588235","32.05128205","79.41176471","3.529411765","4.444444444","5.68627451","7.160493827"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00005","","","","0.0041","28","10","34","24","34","21","6","4","4","7.8","1.2","9","38","0.278571429","0.12","0.236842105","1.583333333","1.117647059","1.166666667","0.823529412","0.375","0.264705882","73.68421053","70.58823529","7.647058824","10.83333333","8.823529412","12.5"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00006","","","","0.008","18","35","33","22","34","19","6","5","4","4","1.2","5.2","53","0.222222222","0.034285714","0.098113208","2.409090909","1.558823529","0.818181818","0.529411765","0.236363636","0.152941176","33.96226415","64.70588235","3.921568627","6.060606061","5.098039216","7.878787879"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00007","","","","0.0054","29","22","30","15","34","15","6","5","3","4","0.4","4.4","51","0.137931034","0.018181818","0.08627451","3.4","1.5","1.933333333","0.852941176","0.293333333","0.129411765","56.8627451","44.11764706","3.921568627","8.888888889","4.31372549","9.777777778"
