"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00123","","","","3","3","3","2","1","0.48","0.08","3","4","0.56","3.56","3","0.24","0.08","0.186666667","1","0.666666667","0.186666667","1","66.66666667","15.73033708","5.333333333","6.222222222","33.33333333","39.55555556","1","0.666666667","0.186666667","1","100","5.333333333","6.222222222","33.33333333","39.55555556"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00124","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00125","","","","3","2","2","0","2","0","0.22","3.5","3","0.22","3.72","2","","0.11","0.11","1","0","0.11","1.75","0","5.913978495","0","3.666666667","58.33333333","62","0.666666667","0","0.073333333","1.166666667","66.66666667","0","2.444444444","38.88888889","41.33333333"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00126","","","","3","1","1","0","1","0","0.02","0.5","7","0.02","0.52","1","","0.02","0.02","1","0","0.02","0.5","0","3.846153846","0","0.666666667","16.66666667","17.33333333","0.333333333","0","0.006666667","0.166666667","33.33333333","0","0.222222222","5.555555556","5.777777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00127","","","","3","2","2","3","2","1.42","0.12","4.5","3","1.54","6.04","5","0.473333333","0.06","0.308","2.5","1.5","0.77","2.25","60","25.49668874","23.66666667","25.66666667","75","100.6666667","1.666666667","1","0.513333333","1.5","66.66666667","15.77777778","17.11111111","50","67.11111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00128","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00129","","","","3","3","3","9","1","3.04","0.01","2","3","3.05","5.05","10","0.337777778","0.01","0.305","3.333333333","3","1.016666667","0.666666667","90","60.3960396","33.77777778","33.88888889","22.22222222","56.11111111","3.333333333","3","1.016666667","0.666666667","100","33.77777778","33.88888889","22.22222222","56.11111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00130","","","","3","1","1","1","0","0.16","0","1","4","0.16","1.16","1","0.16","","0.16","1","1","0.16","1","100","13.79310345","5.333333333","5.333333333","33.33333333","38.66666667","0.333333333","0.333333333","0.053333333","0.333333333","33.33333333","1.777777778","1.777777778","11.11111111","12.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00131","","","","3","1","1","1","3","0.24","0.16","2.5","3","0.4","2.9","4","0.24","0.053333333","0.1","4","1","0.4","2.5","25","13.79310345","8","13.33333333","83.33333333","96.66666667","1.333333333","0.333333333","0.133333333","0.833333333","33.33333333","2.666666667","4.444444444","27.77777778","32.22222222"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00132","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00133","","","","3","3","3","5","1","1.14","0.04","2","5","1.18","3.18","6","0.228","0.04","0.196666667","2","1.666666667","0.393333333","0.666666667","83.33333333","37.10691824","12.66666667","13.11111111","22.22222222","35.33333333","2","1.666666667","0.393333333","0.666666667","100","12.66666667","13.11111111","22.22222222","35.33333333"
