"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00054","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00055","","","","3","0.405817","2.007616","27.2210655","56.5257607","18.4140472"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00056","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00057","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00058","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00059","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00006","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00060","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00061","","","","3","0.223785","1.9113899","28.3923264","54.5632439","20.9774017"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00062","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00063","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00064","","","","3","0.583744","2.231843","28.7447338","53.9455719","19.4742966"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00065","","","","3","0.611961","1.800046","25.4758968","57.5065575","16.15625"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00066","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00067","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00068","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00069","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00007","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00070","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00071","","","","3","0.467573","1.820593","21.7938843","58.1573601","15.4620361"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00072","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00073","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00074","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00075","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00076","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00077","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00078","","","","3","0.900301","3.254319","18.168848","53.0243416","17.4723053"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00079","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00008","","","","3","0.941488","2.0001941","22.2797146","59.7759361","13.5313797"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00080","","","","3","0.336563","2.56566","20.6196041","53.6568069","17.8780518"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00081","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00082","","","","3","0.670404","2.278183","26.6712646","55.5428734","20.0558701"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00083","","","","3","0","2.8872111","23.5791416","55.6328735","15.1268005"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00009","","","","3","","","","",""
