"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00019","","","","1","1","18","30","30","34","21","2","4","4","8","3","2.6","1.6","24.5","4.2","28.7","48","0.144444444","0.053333333","0.0875","1.6","1.411764706","0.6","0.529411765","0.14","0.123529412","0.816666667","0.720588235","37.5","14.63414634","88.23529412","2.549019608","2.888888889","4.117647059","4.666666667","24.01960784","27.22222222","28.1372549","31.88888889"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00002","","","","2","4","31","72","26","34","24","1","5","5","6","3","4.4","2.4","16.5","6.8","23.3","103","0.141935484","0.033333333","0.066019417","3.961538462","3.029411765","1.192307692","0.911764706","0.261538462","0.2","0.634615385","0.485294118","30.09708738","29.18454936","76.47058824","4.31372549","5.641025641","6.666666667","8.717948718","16.17647059","21.15384615","22.84313725","29.87179487"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00020","","","","2","2","26","52","30","34","29","1","6","7","8","4","7","1.6","37","8.6","45.6","78","0.269230769","0.030769231","0.11025641","2.6","2.294117647","0.866666667","0.764705882","0.286666667","0.252941176","1.233333333","1.088235294","33.33333333","18.85964912","88.23529412","6.862745098","7.777777778","8.431372549","9.555555556","36.2745098","41.11111111","44.70588235","50.66666667"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00021","","","","1","1","117","76","28","34","28","1","5","7","8","3","27.4","4.2","11","31.6","42.6","193","0.234188034","0.055263158","0.16373057","6.892857143","5.676470588","4.178571429","3.441176471","1.128571429","0.929411765","0.392857143","0.323529412","60.62176166","74.17840376","82.35294118","26.8627451","32.61904762","30.98039216","37.61904762","10.78431373","13.0952381","41.76470588","50.71428571"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00003","","","","1","2","43","100","30","34","30","1","6","7","7","4","9.6","6.7","10","16.3","26.3","143","0.223255814","0.067","0.113986014","4.766666667","4.205882353","1.433333333","1.264705882","0.543333333","0.479411765","0.333333333","0.294117647","30.06993007","61.97718631","88.23529412","9.411764706","10.66666667","15.98039216","18.11111111","9.803921569","11.11111111","25.78431373","29.22222222"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00004","","","","2","1","65","20","30","34","30","1","6","8","7","5","30.7","2.4","21.5","33.1","54.6","85","0.472307692","0.12","0.389411765","2.833333333","2.5","2.166666667","1.911764706","1.103333333","0.973529412","0.716666667","0.632352941","76.47058824","60.62271062","88.23529412","30.09803922","34.11111111","32.45098039","36.77777778","21.07843137","23.88888889","53.52941176","60.66666667"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00005","","","","1","2","4","39","30","34","15","2","4","4","8","3","0.8","1.6","23.5","2.4","25.9","43","0.2","0.041025641","0.055813953","1.433333333","1.264705882","0.133333333","0.117647059","0.08","0.070588235","0.783333333","0.691176471","9.302325581","9.266409266","88.23529412","0.784313725","0.888888889","2.352941176","2.666666667","23.03921569","26.11111111","25.39215686","28.77777778"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00006","","","","2","2","43","93","28","34","28","3","6","8","7","3","19.5","4.5","17.5","24","41.5","136","0.453488372","0.048387097","0.176470588","4.857142857","4","1.535714286","1.264705882","0.857142857","0.705882353","0.625","0.514705882","31.61764706","57.8313253","82.35294118","19.11764706","23.21428571","23.52941176","28.57142857","17.15686275","20.83333333","40.68627451","49.4047619"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00007","","","","2","1","65","64","29","34","29","2","7","8","8","5","18.3","5.1","14","23.4","37.4","129","0.281538462","0.0796875","0.181395349","4.448275862","3.794117647","2.24137931","1.911764706","0.806896552","0.688235294","0.482758621","0.411764706","50.3875969","62.56684492","85.29411765","17.94117647","21.03448276","22.94117647","26.89655172","13.7254902","16.09195402","36.66666667","42.98850575"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00008","","","","2","3","70","60","30","34","28","2","6","7","7","4","11.4","5.3","15","16.7","31.7","130","0.162857143","0.088333333","0.128461538","4.333333333","3.823529412","2.333333333","2.058823529","0.556666667","0.491176471","0.5","0.441176471","53.84615385","52.68138801","88.23529412","11.17647059","12.66666667","16.37254902","18.55555556","14.70588235","16.66666667","31.07843137","35.22222222"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00009","","","","1","2","9","34","30","34","10","1","4","3","8","3","0.9","1","24","1.9","25.9","43","0.1","0.029411765","0.044186047","1.433333333","1.264705882","0.3","0.264705882","0.063333333","0.055882353","0.8","0.705882353","20.93023256","7.335907336","88.23529412","0.882352941","1","1.862745098","2.111111111","23.52941176","26.66666667","25.39215686","28.77777778"
