"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00111","","","","5.3","65.18","0","2.1","1.25","15.73","48.6","3.03","4.27","7.17","3","32.36625514","12","12","10","4","3","11","1","2","1","4","5","4","0.32","0.36","3.55","0.68","4.23","14","0.106666667","0.032727273","0.048571429","1.4","1.166666667","0.3","0.25","0.068","0.056666667","0.355","0.295833333","21.42857143","16.07565012","83.33333333","0.220090535","0.888888889","1.066666667","1.888888889","2.266666667","9.861111111","11.83333333","0.611362597","0.733635117","11.75","14.1"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00112","","","","4.08","60.45","4.634285","1.91","1.06","16.33","48.88","2.42","3.71","14.31","5","33.40834697","12","12","12","11","11","19","1","2","1","3","3","2","1.78","0.9","11.5","2.68","14.18","30","0.161818182","0.047368421","0.089333333","2.5","2.5","0.916666667","0.916666667","0.223333333","0.223333333","0.958333333","0.958333333","36.66666667","18.89985896","100","0.895343699","4.944444444","4.944444444","7.444444444","7.444444444","31.94444444","31.94444444","2.48706583","2.48706583","39.38888889","39.38888889"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00113","","","","4.39","62.76","13.1464272","2.09","1.27","14.89","48.85","2.08","3.94","13.68","3","30.48106448","12","12","11","10","13","22","1","1","1","2","5","1","1.38","0.78","11.25","2.16","13.41","35","0.106153846","0.035454545","0.061714286","3.181818182","2.916666667","1.181818182","1.083333333","0.196363636","0.18","1.022727273","0.9375","37.14285714","16.10738255","91.66666667","0.658390993","3.833333333","4.181818182","6","6.545454545","31.25","34.09090909","1.828863869","1.995124221","37.25","40.63636364"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00114","","","","","","","","","","","","","","","","12","9","5","0","0","0","","","","","","2","0","0","0.65","0","0.65","0","","","","0","0","0","0","0","0","0.13","0.054166667","","0","41.66666667","","0","0","0","0","1.805555556","4.333333333","","","1.805555556","4.333333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00115","","","","","","","","","","","","","","","","12","7","1","0","0","0","","","","","","8","0","0","0.3","0","0.3","0","","","","0","0","0","0","0","0","0.3","0.025","","0","8.333333333","","0","0","0","0","0.833333333","10","","","0.833333333","10"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00116","","","","","","","","","","","","","","","","12","12","5","0","0","0","","","","","","6","0","0","2.35","0","2.35","0","","","","0","0","0","0","0","0","0.47","0.195833333","","0","41.66666667","","0","0","0","0","6.527777778","15.66666667","","","6.527777778","15.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00117","","","","","","","","","","","","","","","","12","9","5","0","0","0","","","","","","3","0","0","1.55","0","1.55","0","","","","0","0","0","0","0","0","0.31","0.129166667","","0","41.66666667","","0","0","0","0","4.305555556","10.33333333","","","4.305555556","10.33333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00118","","","","2.84","72.51","0","1.59","0.78","18.48","48.93","0.78","1.51","11.45","2","37.76824034","12","10","7","3","4","5","1","2","1","2","4","4","0.5","0.16","3.55","0.66","4.21","9","0.125","0.032","0.073333333","1.285714286","0.75","0.571428571","0.333333333","0.094285714","0.055","0.507142857","0.295833333","44.44444444","15.67695962","58.33333333","0.249270386","1.388888889","2.380952381","1.833333333","3.142857143","9.861111111","16.9047619","0.69241774","1.187001839","11.69444444","20.04761905"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00119","","","","","","","","","","","","","","","","12","12","2","0","0","0","","","","","","2","0","0","1.85","0","1.85","0","","","","0","0","0","0","0","0","0.925","0.154166667","","0","16.66666667","","0","0","0","0","5.138888889","30.83333333","","","5.138888889","30.83333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00120","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
