"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004 "
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00189","","","","6.09","62.33","1.997654","2.25","1.65","14.7","48.77","2.76","4.64","11.66","3","30.14148042","12","12","8","2","2","4","1","1","1","2","2","3","0.4","0.26","8.35","0.66","9.01","6","0.2","0.065","0.11","0.75","0.5","0.25","0.166666667","0.0825","0.055","1.04375","0.695833333","33.33333333","7.325194229","66.66666667","0.198933771","1.111111111","1.666666667","1.833333333","2.75","23.19444444","34.79166667","0.552593808","0.828890712","25.02777778","37.54166667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00190","","","","5.06","65.2","0","1.82","1.31","14.32","49.04","1.83","2.98","10.25","3","29.20065253","12","12","6","2","2","3","1","1","1","3","5","4","0.22","0.12","2.55","0.34","2.89","5","0.11","0.04","0.068","0.833333333","0.416666667","0.333333333","0.166666667","0.056666667","0.028333333","0.425","0.2125","40","11.76470588","50","0.099282219","0.611111111","1.222222222","0.944444444","1.888888889","7.083333333","14.16666667","0.275783941","0.551567881","8.027777778","16.05555556"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00191","","","","5.24","69.49","0","2.16","1.49","17.36","48.64","0.94","2.78","11","3","35.69078947","12","12","2","1","1","0","1","1","1","2","3","8","0.28","0","2.85","0.28","3.13","1","0.28","","0.28","0.5","0.083333333","0.5","0.083333333","0.14","0.023333333","1.425","0.2375","100","8.945686901","16.66666667","0.099934211","0.777777778","4.666666667","0.777777778","4.666666667","7.916666667","47.5","0.277595029","1.665570175","8.694444444","52.16666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00192","","","","","","","","","","","","","","","","12","12","10","1","0","2","1","1","1","3","6","5","0","0.12","2.05","0.12","2.17","2","","0.06","0.06","0.2","0.166666667","0","0","0.012","0.01","0.205","0.170833333","0","5.529953917","83.33333333","","0","0","0.333333333","0.4","5.694444444","6.833333333","","","6.027777778","7.233333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00193","","","","3.72","68.88","4.5592785","1.83","0.9","16.05","48.87","3.72","5.69","5.04","2","32.8422345","12","12","9","2","1","1","1","1","1","2","6","3","0.22","0.02","3.65","0.24","3.89","2","0.22","0.02","0.12","0.222222222","0.166666667","0.111111111","0.083333333","0.026666667","0.02","0.405555556","0.304166667","50","6.16966581","75","0.078821363","0.611111111","0.814814815","0.666666667","0.888888889","10.13888889","13.51851852","0.21894823","0.291930973","10.80555556","14.40740741"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00194","","","","6.78","63.6","0","2.39","1.6","13.91","48.66","1.44","3.13","13.94","2","28.58610769","12","12","7","7","3","12","1","1","1","2","1","3","0.84","0.52","6.5","1.36","7.86","15","0.28","0.043333333","0.090666667","2.142857143","1.25","0.428571429","0.25","0.194285714","0.113333333","0.928571429","0.541666667","20","17.30279898","58.33333333","0.388771065","2.333333333","4","3.777777778","6.476190476","18.05555556","30.95238095","1.079919624","1.851290783","21.83333333","37.42857143"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00195","","","","4.2","64.41","0","1.9","1.01","15.68","48.52","3.33","4.97","7.95","3","32.31657049","12","12","6","3","5","4","1","1","1","5","6","3","0.6","0.08","5.5","0.68","6.18","9","0.12","0.02","0.075555556","1.5","0.75","0.833333333","0.416666667","0.113333333","0.056666667","0.916666667","0.458333333","55.55555556","11.00323625","50","0.219752679","1.666666667","3.333333333","1.888888889","3.777777778","15.27777778","30.55555556","0.610424109","1.220848218","17.16666667","34.33333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00196","","","","","","","","","","","","","","","","12","5","2","2","2","2","1","","","","","1","0.4","0.54","2.6","0.94","3.54","4","0.2","0.27","0.235","2","0.333333333","1","0.166666667","0.47","0.078333333","1.3","0.216666667","50","26.55367232","16.66666667","","1.111111111","6.666666667","2.611111111","15.66666667","7.222222222","43.33333333","","","9.833333333","59"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00197","","","","4.15","64.41","16.2107735","2.19","1.13","16.03","48.81","0.59","2.58","18.87","3","32.84163081","12","12","9","5","4","21","1","3","1","5","5","1","0.44","0.16","4.15","0.6","4.75","25","0.11","0.007619048","0.024","2.777777778","2.083333333","0.444444444","0.333333333","0.066666667","0.05","0.461111111","0.345833333","16","12.63157895","75","0.197049785","1.222222222","1.62962963","1.666666667","2.222222222","11.52777778","15.37037037","0.547360514","0.729814018","13.19444444","17.59259259"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00198","","","","3.08","70.87","0","1.66","0.91","17.16","48.68","2.05","4.08","11.39","3","35.25061627","12","12","4","2","3","5","1","1","1","2","3","2","0.78","0.54","2.05","1.32","3.37","8","0.26","0.108","0.165","2","0.666666667","0.75","0.25","0.33","0.11","0.5125","0.170833333","37.5","39.16913947","33.33333333","0.465308135","2.166666667","6.5","3.666666667","11","5.694444444","17.08333333","1.292522597","3.87756779","9.361111111","28.08333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00199","","","","3.08","71.17","0","1.4","0.85","17.78","48.82","2.48","3.77","6.62","3","36.4195002","12","12","6","6","5","17","1","1","1","4","5","4","0.74","0.52","4.25","1.26","5.51","22","0.148","0.030588235","0.057272727","3.666666667","1.833333333","0.833333333","0.416666667","0.21","0.105","0.708333333","0.354166667","22.72727273","22.86751361","50","0.458885703","2.055555556","4.111111111","3.5","7","11.80555556","23.61111111","1.274682507","2.549365014","15.30555556","30.61111111"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00200","","","","","","","","","","","","","","","","12","12","12","12","14","18","1","1","1","2","1","1","2.14","0.98","6.35","3.12","9.47","32","0.152857143","0.054444444","0.0975","2.666666667","2.666666667","1.166666667","1.166666667","0.26","0.26","0.529166667","0.529166667","43.75","32.94614572","100","","5.944444444","5.944444444","8.666666667","8.666666667","17.63888889","17.63888889","","","26.30555556","26.30555556"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00201","","","","","","","","","","","","","","","","12","5","3","0","0","0","","","","","","2","0","0","1.85","0","1.85","0","","","","0","0","0","0","0","0","0.616666667","0.154166667","","0","25","","0","0","0","0","5.138888889","20.55555556","","","5.138888889","20.55555556"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00202","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00203","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00204","","","","","","","","","","","","","","","","12","12","11","2","1","3","1","1","1","4","5","4","0.26","0.18","7.45","0.44","7.89","4","0.26","0.06","0.11","0.363636364","0.333333333","0.090909091","0.083333333","0.04","0.036666667","0.677272727","0.620833333","25","5.576679341","91.66666667","","0.722222222","0.787878788","1.222222222","1.333333333","20.69444444","22.57575758","","","21.91666667","23.90909091"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00205","","","","2.23","59.15","3.4398251","1.48","0.6","12.89","48.84","7.74","10.34","7.56","3","26.39230139","12","12","11","2","8","4","2","1","1","4","2","2","1.76","0.24","8.55","2","10.55","12","0.22","0.06","0.166666667","1.090909091","1","0.727272727","0.666666667","0.181818182","0.166666667","0.777272727","0.7125","66.66666667","18.95734597","91.66666667","0.527846028","4.888888889","5.333333333","5.555555556","6.060606061","23.75","25.90909091","1.466238966","1.599533418","29.30555556","31.96969697"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00206","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00207","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00208","","","","","","","","","","","","","","","","12","12","2","0","0","0","","","","","","6","0","0","0.3","0","0.3","0","","","","0","0","0","0","0","0","0.15","0.025","","0","16.66666667","","0","0","0","0","0.833333333","5","","","0.833333333","5"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00209","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00210","","","","3.02","66.01","0","1.69","0.83","16.17","48.74","2.38","3.32","10.78","3","33.17603611","12","12","12","4","18","15","1","4","2","2","1","2","4.72","0.54","6.3","5.26","11.56","33","0.262222222","0.036","0.159393939","2.75","2.75","1.5","1.5","0.438333333","0.438333333","0.525","0.525","54.54545455","45.5017301","100","1.745059499","13.11111111","13.11111111","14.61111111","14.61111111","17.5","17.5","4.847387498","4.847387498","32.11111111","32.11111111"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00211","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00212","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00213","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00214","","","","","","","","","","","","","","","","12","12","9","0","0","0","","","","","","5","0","0","4.45","0","4.45","0","","","","0","0","0","0","0","0","0.494444444","0.370833333","","0","75","","0","0","0","0","12.36111111","16.48148148","","","12.36111111","16.48148148"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00215","","","","","","","","","","","","","","","","12","5","2","0","0","0","","","","","","6","0","0","0.6","0","0.6","0","","","","0","0","0","0","0","0","0.3","0.05","","0","16.66666667","","0","0","0","0","1.666666667","10","","","1.666666667","10"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00216","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00217","","","","","","","","","","","","","","","","12","12","7","0","0","0","","","","","","3","0","0","7.8","0","7.8","0","","","","0","0","0","0","0","0","1.114285714","0.65","","0","58.33333333","","0","0","0","0","21.66666667","37.14285714","","","21.66666667","37.14285714"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00218","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00219","","","","","","","","","","","","","","","","12","8","5","0","0","0","","","","","","7","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.02","0.008333333","","0","41.66666667","","0","0","0","0","0.277777778","0.666666667","","","0.277777778","0.666666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00220","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00221","","","","4.11","70.11","0","1.83","0.91","18.54","48.28","2.31","3.66","7.35","3","38.4009942","12","12","9","9","6","7","1","2","1","6","4","4","0.72","0.3","5.25","1.02","6.27","13","0.12","0.042857143","0.078461538","1.444444444","1.083333333","0.666666667","0.5","0.113333333","0.085","0.583333333","0.4375","46.15384615","16.26794258","75","0.391690141","2","2.666666667","2.833333333","3.777777778","14.58333333","19.44444444","1.088028169","1.450704225","17.41666667","23.22222222"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00222","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00223","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00224","","","","6.74","64.8","0","2.4","1.69","16.05","48.88","0.2","1.76","15.8","3","32.83551555","12","8","7","1","0","1","1","","","4","8","1","0","0.1","3.4","0.1","3.5","1","","0.1","0.1","0.142857143","0.083333333","0","0","0.014285714","0.008333333","0.485714286","0.283333333","0","2.857142857","58.33333333","0.032835516","0","0","0.277777778","0.476190476","9.444444444","16.19047619","0.091209765","0.156359598","9.722222222","16.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00225","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00226","","","","2.43","68.27","9.1666718","1.55","0.67","17.25","48.89","2.78","3.69","8.57","2","35.28328902","12","12","7","6","5","6","1","2","1","3","3","1","0.92","0.26","2.5","1.18","3.68","11","0.184","0.043333333","0.107272727","1.571428571","0.916666667","0.714285714","0.416666667","0.168571429","0.098333333","0.357142857","0.208333333","45.45454545","32.06521739","58.33333333","0.41634281","2.555555556","4.380952381","3.277777778","5.619047619","6.944444444","11.9047619","1.156507807","1.982584811","10.22222222","17.52380952"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00227","","","","","","","","","","","","","","","","12","12","6","6","11","22","1","1","1","2","4","4","1.15","1.25","9.6","2.4","12","33","0.104545455","0.056818182","0.072727273","5.5","2.75","1.833333333","0.916666667","0.4","0.2","1.6","0.8","33.33333333","20","50","","3.194444444","6.388888889","6.666666667","13.33333333","26.66666667","53.33333333","","","33.33333333","66.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00228","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00229","","","","","","","","","","","","","","","","12","12","4","","","","","","","","","6","","","2.25","","","","","","","","","","","","","0.5625","0.1875","","","33.33333333","","","","","","6.25","18.75","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00230","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00231","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00232","","","","","","","","","","","","","","","","12","9","7","7","12","18","1","1","1","3","3","2","4.5","","4.3","","","30","0.375","","","4.285714286","2.5","1.714285714","1","","","0.614285714","0.358333333","40","","58.33333333","","12.5","21.42857143","","","11.94444444","20.47619048","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00233","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00234","","","","","","","","","","","","","","","","12","12","7","0","0","0","","","","","","4","0","0","1.35","0","1.35","0","","","","0","0","0","0","0","0","0.192857143","0.1125","","0","58.33333333","","0","0","0","0","3.75","6.428571429","","","3.75","6.428571429"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00235","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00236","","","","","","","","","","","","","","","","12","8","8","3","1","5","1","1","1","5","6","2","0.15","0.25","6.9","0.4","7.3","6","0.15","0.05","0.066666667","0.75","0.5","0.125","0.083333333","0.05","0.033333333","0.8625","0.575","16.66666667","5.479452055","66.66666667","","0.416666667","0.625","1.111111111","1.666666667","19.16666667","28.75","","","20.27777778","30.41666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00237","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00238","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00239","","","","","","","","","","","","","","","","12","12","7","7","15","14","1","1","1","1","3","1","2.65","0.65","4.2","3.3","7.5","29","0.176666667","0.046428571","0.113793103","4.142857143","2.416666667","2.142857143","1.25","0.471428571","0.275","0.6","0.35","51.72413793","44","58.33333333","","7.361111111","12.61904762","9.166666667","15.71428571","11.66666667","20","","","20.83333333","35.71428571"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00240","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00241","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00242","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00243","","","","5.9","62.28","12.2914543","2.22","1.41","14.76","48.83","1.57","2.48","12.85","2","30.22731927","12","12","8","8","6","8","1","1","1","3","1","3","1.85","0.4","2.9","2.25","5.15","14","0.308333333","0.05","0.160714286","1.75","1.166666667","0.75","0.5","0.28125","0.1875","0.3625","0.241666667","42.85714286","43.68932039","66.66666667","0.680114684","5.138888889","7.708333333","6.25","9.375","8.055555556","12.08333333","1.889207454","2.833811182","14.30555556","21.45833333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00244","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00245","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00246","","","","4.85","61.98","15.677475","2.29","1.2","14.57","48.77","1.95","3.13","12.65","3","29.87492311","12","12","4","4","3","1","1","1","1","2","7","2","0.35","0.06","2.2","0.41","2.61","4","0.116666667","0.06","0.1025","1","0.333333333","0.75","0.25","0.1025","0.034166667","0.55","0.183333333","75","15.70881226","33.33333333","0.122487185","0.972222222","2.916666667","1.138888889","3.416666667","6.111111111","18.33333333","0.34024218","1.02072654","7.25","21.75"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00247","","","","4.32","69.79","0","1.61","1.11","14.99","48.72","1.69","3.1","11.91","1","30.76765189","12","12","9","4","4","7","1","1","1","3","3","2","0.94","0.32","2.95","1.26","4.21","11","0.235","0.045714286","0.114545455","1.222222222","0.916666667","0.444444444","0.333333333","0.14","0.105","0.327777778","0.245833333","36.36363636","29.92874109","75","0.387672414","2.611111111","3.481481481","3.5","4.666666667","8.194444444","10.92592593","1.076867816","1.435823755","11.69444444","15.59259259"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00248","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00249","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00250","","","","","","","","","","","","","","","","12","8","2","","","","","","","","","3","","","0.01","","","","","","","","","","","","","0.005","0.000833333","","","16.66666667","","","","","","0.027777778","0.166666667","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00251","","","","","","","","","","","","","","","","12","10","5","","","","","","","","","3","","","3.05","","","","","","","","","","","","","0.61","0.254166667","","","41.66666667","","","","","","8.472222222","20.33333333","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00252","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00253","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00254","","","","","","","","","","","","","","","","12","11","7","3","2","3","2","1","1","4","6","2","0.25","0.1","2.25","0.35","2.6","5","0.125","0.033333333","0.07","0.714285714","0.416666667","0.285714286","0.166666667","0.05","0.029166667","0.321428571","0.1875","40","13.46153846","58.33333333","","0.694444444","1.19047619","0.972222222","1.666666667","6.25","10.71428571","","","7.222222222","12.38095238"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00255","","","","3.92","65.63","0","1.91","1.14","15.34","48.49","3.14","4.74","9.27","3","31.63538874","12","10","4","4","7","4","1","2","1","5","2","4","1.52","0.18","4.5","1.7","6.2","11","0.217142857","0.045","0.154545455","2.75","0.916666667","1.75","0.583333333","0.425","0.141666667","1.125","0.375","63.63636364","27.41935484","33.33333333","0.537801609","4.222222222","12.66666667","4.722222222","14.16666667","12.5","37.5","1.493893357","4.481680071","17.22222222","51.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00256","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00257","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00258","","","","6.25","52.99","22.1542244","2.81","1.58","13.16","48.91","2","3.7","17.41","3","26.90656308","12","9","4","4","7","3","1","1","1","4","3","1","0.9","0.09","4.25","0.99","5.24","10","0.128571429","0.03","0.099","2.5","0.833333333","1.75","0.583333333","0.2475","0.0825","1.0625","0.354166667","70","18.89312977","33.33333333","0.266374974","2.5","7.5","2.75","8.25","11.80555556","35.41666667","0.739930485","2.219791454","14.55555556","43.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00259","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00260","","","","","","","","","","","","","","","","12","12","3","1","0","2","1","1","1","3","8","3","0","0.06","1.65","0.06","1.71","2","","0.03","0.03","0.666666667","0.166666667","0","0","0.02","0.005","0.55","0.1375","0","3.50877193","25","","0","0","0.166666667","0.666666667","4.583333333","18.33333333","","","4.75","19"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00261","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00262","","","","","","","","","","","","","","","","12","11","2","2","2","0","2","1","1","2","6","4","0.1","0","0.25","0.1","0.35","2","0.05","","0.05","1","0.166666667","1","0.166666667","0.05","0.008333333","0.125","0.020833333","100","28.57142857","16.66666667","","0.277777778","1.666666667","0.277777778","1.666666667","0.694444444","4.166666667","","","0.972222222","5.833333333"
