"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00001","","","","3","3","5","1","6","10","6","3","4","3","5","1.84","0.16","4.5","2","6.5","6","0.368","0.16","0.333333333","1","0.6","0.833333333","0.5","0.333333333","0.2","0.75","0.45","83.33333333","30.76923077","60","6.133333333","10.22222222","6.666666667","11.11111111","15","25","21.66666667","36.11111111"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00010","","","","3","3","13","11","7","10","7","3","2","3","3","1.92","0.32","7","2.24","9.24","24","0.147692308","0.029090909","0.093333333","3.428571429","2.4","1.857142857","1.3","0.32","0.224","1","0.7","54.16666667","24.24242424","70","6.4","9.142857143","7.466666667","10.66666667","23.33333333","33.33333333","30.8","44"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00011","","","","3","3","17","7","10","10","10","3","4","1","2","5.32","0.32","7","5.64","12.64","24","0.312941176","0.045714286","0.235","2.4","2.4","1.7","1.7","0.564","0.564","0.7","0.7","70.83333333","44.62025316","100","17.73333333","17.73333333","18.8","18.8","23.33333333","23.33333333","42.13333333","42.13333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00012","","","","3","3","14","7","10","10","8","4","3","3","3","2.6","0.4","10","3","13","21","0.185714286","0.057142857","0.142857143","2.1","2.1","1.4","1.4","0.3","0.3","1","1","66.66666667","23.07692308","100","8.666666667","8.666666667","10","10","33.33333333","33.33333333","43.33333333","43.33333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00013","","","","3","3","21","24","10","10","10","4","3","1","4","4.8","0.82","6","5.62","11.62","45","0.228571429","0.034166667","0.124888889","4.5","4.5","2.1","2.1","0.562","0.562","0.6","0.6","46.66666667","48.36488812","100","16","16","18.73333333","18.73333333","20","20","38.73333333","38.73333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00014","","","","1","3","22","16","9","10","9","2","4","1","3","5.18","0.44","2.5","5.62","8.12","38","0.235454545","0.0275","0.147894737","4.222222222","3.8","2.444444444","2.2","0.624444444","0.562","0.277777778","0.25","57.89473684","69.21182266","90","17.26666667","19.18518519","18.73333333","20.81481481","8.333333333","9.259259259","27.06666667","30.07407407"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00015","","","","3","3","13","11","8","10","8","4","3","1","5","2.7","0.42","2.5","3.12","5.62","24","0.207692308","0.038181818","0.13","3","2.4","1.625","1.3","0.39","0.312","0.3125","0.25","54.16666667","55.51601423","80","9","11.25","10.4","13","8.333333333","10.41666667","18.73333333","23.41666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00016","","","","3","3","17","6","8","10","8","5","7","1","3","5.6","0.24","6.5","5.84","12.34","23","0.329411765","0.04","0.253913043","2.875","2.3","2.125","1.7","0.73","0.584","0.8125","0.65","73.91304348","47.32576985","80","18.66666667","23.33333333","19.46666667","24.33333333","21.66666667","27.08333333","41.13333333","51.41666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00017","","","","5","5","11","5","10","10","10","3","3","3","6","1.46","0.2","1.5","1.66","3.16","16","0.132727273","0.04","0.10375","1.6","1.6","1.1","1.1","0.166","0.166","0.15","0.15","68.75","52.53164557","100","4.866666667","4.866666667","5.533333333","5.533333333","5","5","10.53333333","10.53333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00018","","","","3","3","16","6","10","10","10","4","4","3","3","4.48","0.2","13.5","4.68","18.18","22","0.28","0.033333333","0.212727273","2.2","2.2","1.6","1.6","0.468","0.468","1.35","1.35","72.72727273","25.74257426","100","14.93333333","14.93333333","15.6","15.6","45","45","60.6","60.6"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00019","","","","5","3","19","16","10","10","10","5","3","3","4","2.74","0.64","2.5","3.38","5.88","35","0.144210526","0.04","0.096571429","3.5","3.5","1.9","1.9","0.338","0.338","0.25","0.25","54.28571429","57.4829932","100","9.133333333","9.133333333","11.26666667","11.26666667","8.333333333","8.333333333","19.6","19.6"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00002","","","","3","3","12","24","8","10","8","3","5","5","3","1.34","0.5","10","1.84","11.84","36","0.111666667","0.020833333","0.051111111","4.5","3.6","1.5","1.2","0.23","0.184","1.25","1","33.33333333","15.54054054","80","4.466666667","5.583333333","6.133333333","7.666666667","33.33333333","41.66666667","39.46666667","49.33333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00020","","","","3","3","34","7","10","10","10","4","3","3","3","7.02","0.44","6.5","7.46","13.96","41","0.206470588","0.062857143","0.18195122","4.1","4.1","3.4","3.4","0.746","0.746","0.65","0.65","82.92682927","53.43839542","100","23.4","23.4","24.86666667","24.86666667","21.66666667","21.66666667","46.53333333","46.53333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00021","","","","3","3","9","6","10","10","10","3","3","3","3","2.12","0.2","2","2.32","4.32","15","0.235555556","0.033333333","0.154666667","1.5","1.5","0.9","0.9","0.232","0.232","0.2","0.2","60","53.7037037","100","7.066666667","7.066666667","7.733333333","7.733333333","6.666666667","6.666666667","14.4","14.4"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00022","","","","5","3","12","28","8","10","8","4","4","3","5","1.34","0.66","3","2","5","40","0.111666667","0.023571429","0.05","5","4","1.5","1.2","0.25","0.2","0.375","0.3","30","40","80","4.466666667","5.583333333","6.666666667","8.333333333","10","12.5","16.66666667","20.83333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00023","","","","1","3","16","24","10","10","10","3","3","1","3","3.66","0.72","6.5","4.38","10.88","40","0.22875","0.03","0.1095","4","4","1.6","1.6","0.438","0.438","0.65","0.65","40","40.25735294","100","12.2","12.2","14.6","14.6","21.66666667","21.66666667","36.26666667","36.26666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00024","","","","1","3","12","8","10","10","10","1","3","3","3","3.12","0.5","5.5","3.62","9.12","20","0.26","0.0625","0.181","2","2","1.2","1.2","0.362","0.362","0.55","0.55","60","39.69298246","100","10.4","10.4","12.06666667","12.06666667","18.33333333","18.33333333","30.4","30.4"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00025","","","","1","3","15","4","8","10","7","3","3","1","3","3.3","0.24","6","3.54","9.54","19","0.22","0.06","0.186315789","2.375","1.9","1.875","1.5","0.4425","0.354","0.75","0.6","78.94736842","37.10691824","80","11","13.75","11.8","14.75","20","25","31.8","39.75"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00026","","","","1","1","21","16","9","10","9","2","4","5","4","2.42","0.68","3","3.1","6.1","37","0.115238095","0.0425","0.083783784","4.111111111","3.7","2.333333333","2.1","0.344444444","0.31","0.333333333","0.3","56.75675676","50.81967213","90","8.066666667","8.962962963","10.33333333","11.48148148","10","11.11111111","20.33333333","22.59259259"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00027","","","","1","3","15","8","10","10","10","3","3","3","6","2.56","0.38","2","2.94","4.94","23","0.170666667","0.0475","0.127826087","2.3","2.3","1.5","1.5","0.294","0.294","0.2","0.2","65.2173913","59.51417004","100","8.533333333","8.533333333","9.8","9.8","6.666666667","6.666666667","16.46666667","16.46666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00028","","","","3","3","16","10","9","10","9","3","4","1","3","5.6","0.46","11.5","6.06","17.56","26","0.35","0.046","0.233076923","2.888888889","2.6","1.777777778","1.6","0.673333333","0.606","1.277777778","1.15","61.53846154","34.51025057","90","18.66666667","20.74074074","20.2","22.44444444","38.33333333","42.59259259","58.53333333","65.03703704"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00029","","","","1","1","26","30","10","10","10","3","3","3","3","1","3.04","8.5","4.04","12.54","56","0.038461538","0.101333333","0.072142857","5.6","5.6","2.6","2.6","0.404","0.404","0.85","0.85","46.42857143","32.2169059","100","3.333333333","3.333333333","13.46666667","13.46666667","28.33333333","28.33333333","41.8","41.8"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00003","","","","3","3","11","3","9","10","9","3","3","3","3","3.36","0.12","3.5","3.48","6.98","14","0.305454545","0.04","0.248571429","1.555555556","1.4","1.222222222","1.1","0.386666667","0.348","0.388888889","0.35","78.57142857","49.85673352","90","11.2","12.44444444","11.6","12.88888889","11.66666667","12.96296296","23.26666667","25.85185185"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00030","","","","1","3","31","16","10","10","10","2","2","1","3","5.12","0.62","5.5","5.74","11.24","47","0.16516129","0.03875","0.12212766","4.7","4.7","3.1","3.1","0.574","0.574","0.55","0.55","65.95744681","51.06761566","100","17.06666667","17.06666667","19.13333333","19.13333333","18.33333333","18.33333333","37.46666667","37.46666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00031","","","","3","5","20","5","10","10","10","3","3","1","3","7.6","0.28","5.5","7.88","13.38","25","0.38","0.056","0.3152","2.5","2.5","2","2","0.788","0.788","0.55","0.55","80","58.89387145","100","25.33333333","25.33333333","26.26666667","26.26666667","18.33333333","18.33333333","44.6","44.6"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00032","","","","3","3","12","6","10","10","10","2","3","3","7","1.36","0.2","1.5","1.56","3.06","18","0.113333333","0.033333333","0.086666667","1.8","1.8","1.2","1.2","0.156","0.156","0.15","0.15","66.66666667","50.98039216","100","4.533333333","4.533333333","5.2","5.2","5","5","10.2","10.2"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00033","","","","1","5","35","13","10","10","10","4","3","1","2","6.14","0.5","10.5","6.64","17.14","48","0.175428571","0.038461538","0.138333333","4.8","4.8","3.5","3.5","0.664","0.664","1.05","1.05","72.91666667","38.73978996","100","20.46666667","20.46666667","22.13333333","22.13333333","35","35","57.13333333","57.13333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00034","","","","1","5","17","5","10","10","10","3","4","3","5","3.62","0.38","6","4","10","22","0.212941176","0.076","0.181818182","2.2","2.2","1.7","1.7","0.4","0.4","0.6","0.6","77.27272727","40","100","12.06666667","12.06666667","13.33333333","13.33333333","20","20","33.33333333","33.33333333"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00035","","","","3","5","11","7","10","10","8","4","6","3","6","1.98","0.24","3.5","2.22","5.72","18","0.18","0.034285714","0.123333333","1.8","1.8","1.1","1.1","0.222","0.222","0.35","0.35","61.11111111","38.81118881","100","6.6","6.6","7.4","7.4","11.66666667","11.66666667","19.06666667","19.06666667"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00036","","","","3","3","30","18","10","10","10","4","5","3","4","4.86","0.66","4.5","5.52","10.02","48","0.162","0.036666667","0.115","4.8","4.8","3","3","0.552","0.552","0.45","0.45","62.5","55.08982036","100","16.2","16.2","18.4","18.4","15","15","33.4","33.4"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00037","","","","3","5","21","8","10","10","10","4","3","1","3","5.72","0.46","4.5","6.18","10.68","29","0.272380952","0.0575","0.213103448","2.9","2.9","2.1","2.1","0.618","0.618","0.45","0.45","72.4137931","57.86516854","100","19.06666667","19.06666667","20.6","20.6","15","15","35.6","35.6"
"","","GHP2018FMS-PT01","","","","","","","","","GHP2018FMS-PT01-00038","","","","3","3","27","15","10","10","10","2","2","1","3","6.16","0.8","7.5","6.96","14.46","42","0.228148148","0.053333333","0.165714286","4.2","4.2","2.7","2.7","0.696","0.696","0.75","0.75","64.28571429","48.13278008","100","20.53333333","20.53333333","23.2","23.2","25","25","48.2","48.2"
