"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00001","","","","3","3","30","30","30","25","25","56","5","7","7","7","1","1","2.14","1.58","11.98","3.72","15.7","81","0.0856","0.028214286","0.045925926","2.7","2.7","0.833333333","0.833333333","0.124","0.124","0.399333333","0.399333333","30.86419753","23.69426752","100","2.377777778","2.377777778","4.133333333","4.133333333","13.31111111","13.31111111","17.44444444","17.44444444"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00010","","","","5","","30","22","22","","2","0","","","","7","1","1","0.4","0","0.7","0.4","1.1","2","0.2","","0.2","0.090909091","0.066666667","0.090909091","0.066666667","0.018181818","0.013333333","0.031818182","0.023333333","100","36.36363636","73.33333333","0.444444444","0.606060606","0.444444444","0.606060606","0.777777778","1.060606061","1.222222222","1.666666667"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00011","","","","3","1","30","25","25","3","2","0","1","7","9","7","1","1","0.3","0","0.6","0.3","0.9","2","0.15","","0.15","0.08","0.066666667","0.08","0.066666667","0.012","0.01","0.024","0.02","100","33.33333333","83.33333333","0.333333333","0.4","0.333333333","0.4","0.666666667","0.8","1","1.2"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00012","","","","5","","30","24","22","0","0","0","","","","9","1","1","0","0","4.08","0","4.08","0","","","","0","0","0","0","0","0","0.185454545","0.136","","0","73.33333333","0","0","0","0","4.533333333","6.181818182","4.533333333","6.181818182"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00013","","","","1","1","30","20","18","4","2","2","1","7","7","7","1","1","0.22","0.24","3.34","0.46","3.8","4","0.11","0.12","0.115","0.222222222","0.133333333","0.111111111","0.066666667","0.025555556","0.015333333","0.185555556","0.111333333","50","12.10526316","60","0.244444444","0.407407407","0.511111111","0.851851852","3.711111111","6.185185185","4.222222222","7.037037037"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00014","","","","3","1","30","21","18","3","3","2","3","3","5","6","2","3","0.24","0.2","0.3","0.44","0.74","5","0.08","0.1","0.088","0.277777778","0.166666667","0.166666667","0.1","0.024444444","0.014666667","0.016666667","0.01","60","59.45945946","60","0.266666667","0.444444444","0.488888889","0.814814815","0.333333333","0.555555556","0.822222222","1.37037037"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00015","","","","5","3","30","26","25","20","17","38","3","5","5","7","1","1","2.7","1.18","3.06","3.88","6.94","55","0.158823529","0.031052632","0.070545455","2.2","1.833333333","0.68","0.566666667","0.1552","0.129333333","0.1224","0.102","30.90909091","55.90778098","83.33333333","3","3.6","4.311111111","5.173333333","3.4","4.08","7.711111111","9.253333333"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00016","","","","3","1","30","24","24","18","15","31","3","1","7","7","1","1","1.48","1.14","0.8","2.62","3.42","46","0.098666667","0.036774194","0.056956522","1.916666667","1.533333333","0.625","0.5","0.109166667","0.087333333","0.033333333","0.026666667","32.60869565","76.60818713","80","1.644444444","2.055555556","2.911111111","3.638888889","0.888888889","1.111111111","3.8","4.75"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00017","","","","3","1","30","30","30","28","31","68","1","5","3","8","1","1","4.02","2.72","1.36","6.74","8.1","99","0.129677419","0.04","0.068080808","3.3","3.3","1.033333333","1.033333333","0.224666667","0.224666667","0.045333333","0.045333333","31.31313131","83.20987654","100","4.466666667","4.466666667","7.488888889","7.488888889","1.511111111","1.511111111","9","9"
"","","GHP2018TML-ST01","","","","","","","","","GHP2018TML-ST01-00018","","","","3","","30","25","23","0","0","0","","","","8","2","1","0","0","2.2","0","2.2","0","","","","0","0","0","0","0","0","0.095652174","0.073333333","","0","76.66666667","0","0","0","0","2.444444444","3.188405797","2.444444444","3.188405797"
