"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00001","","","","3","1.611691952","0.93265599","22.7","2","51","1.796254039","2.939666033","1","10","34","25","25","30","24","6","6","3.947217941","2","71.86264038","2","44.50980392","4","1","3","5.177673817","5","4","5","1","1.1","5.2","2.1","7.3","44","0.1","0.032352941","0.047727273","1.76","1.466666667","0.4","0.333333333","0.084","0.07","0.208","0.173333333","22.72727273","28.76712329","83.33333333","0.934705882","1.111111111","1.333333333","2.333333333","2.8","5.777777778","6.933333333","1.038562092","1.24627451","8.111111111","9.733333333"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00010","","","","4","","","21.8","2","50.2","","","1","6","41","30","29","30","24","5","2","","3","","","43.42629482","4","1","2","","8","5","3","0.5","1.3","25.8","1.8","27.6","47","0.083333333","0.031707317","0.038297872","1.620689655","1.566666667","0.206896552","0.2","0.062068966","0.06","0.889655172","0.86","12.76595745","6.52173913","96.66666667","0.781673307","0.555555556","0.574712644","2","2.068965517","28.66666667","29.65517241","0.868525896","0.898475065","30.66666667","31.72413793"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00011","","","","3","","","21.7","2","50.8","","","1","5","38","30","30","30","29","5","2","","2","","","42.71653543","4","1","2","","8","5","3","0.5","1.2","28.6","1.7","30.3","43","0.1","0.031578947","0.039534884","1.433333333","1.433333333","0.166666667","0.166666667","0.056666667","0.056666667","0.953333333","0.953333333","11.62790698","5.610561056","100","0.726181102","0.555555556","0.555555556","1.888888889","1.888888889","31.77777778","31.77777778","0.806867892","0.806867892","33.66666667","33.66666667"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00012","","","","3","2.374209881","1.425385952","19.5","4","50.7","2.324198961","3.431788921","1","0","24","30","27","30","22","5","7","6.594079971","1","64.78773499","3","38.46153846","4","1","3","6.008963108","4","6","6","0","1.1","2.3","1.1","3.4","24","","0.045833333","0.045833333","0.888888889","0.8","0","0","0.040740741","0.036666667","0.085185185","0.076666667","0","32.35294118","90","0.423076923","0","0","1.222222222","1.358024691","2.555555556","2.839506173","0.47008547","0.522317189","3.777777778","4.197530864"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00013","","","","3","","","22.4","2","50.5","","","1","1","40","30","28","30","27","5","8","","2","","","44.35643564","4","1","2","","7","4","4","0.2","1.4","13","1.6","14.6","41","0.2","0.035","0.03902439","1.464285714","1.366666667","0.035714286","0.033333333","0.057142857","0.053333333","0.464285714","0.433333333","2.43902439","10.95890411","93.33333333","0.70970297","0.222222222","0.238095238","1.777777778","1.904761905","14.44444444","15.47619048","0.788558856","0.844884488","16.22222222","17.38095238"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00014","","","","4","1.57227695","0.855563998","20.6","2","50.7","1.735244989","2.652228117","1","14","31","29","27","30","25","8","6","3.993077993","3","72.93551636","3","40.63116371","5","1","4","3.53740406","6","3","4","2.2","1.5","4.5","3.7","8.2","45","0.157142857","0.048387097","0.082222222","1.666666667","1.5","0.518518519","0.466666667","0.137037037","0.123333333","0.166666667","0.15","31.11111111","45.12195122","90","1.503353057","2.444444444","2.716049383","4.111111111","4.567901235","5","5.555555556","1.670392286","1.855991429","9.111111111","10.12345679"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00015","","","","3","2.037750959","1.078680992","20.2","3","50.6","2.294064045","3.324542046","1","7","44","30","30","30","23","5","2","5.683165073","3","65.91464996","3","39.92094862","5","1","3","7.258934975","6","4","4","0.8","1.4","7","2.2","9.2","51","0.114285714","0.031818182","0.043137255","1.7","1.7","0.233333333","0.233333333","0.073333333","0.073333333","0.233333333","0.233333333","13.7254902","23.91304348","100","0.87826087","0.888888889","0.888888889","2.444444444","2.444444444","7.777777778","7.777777778","0.975845411","0.975845411","10.22222222","10.22222222"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00016","","","","3","2.205347061","1.047039032","16.9","","50","4.473577023","5.588741779","1","0","9","30","29","30","7","","","6.27038908","2","61.77590179","2","33.8","3","1","","8.499266624","8","4","3","0","0.4","19","0.4","19.4","9","","0.044444444","0.044444444","0.310344828","0.3","0","0","0.013793103","0.013333333","0.655172414","0.633333333","0","2.06185567","96.66666667","0.1352","0","0","0.444444444","0.459770115","21.11111111","21.83908046","0.150222222","0.155402299","21.55555556","22.29885057"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00017","","","","4","2.669600964","1.703796983","12","2","50.4","5.915874004","9.511117935","1","29","74","30","30","30","29","8","5","6.440229893","3","45.60534668","3","23.80952381","7","1","2","17.26568794","5","4","4","3.5","2.8","7.5","6.3","13.8","103","0.120689655","0.037837838","0.061165049","3.433333333","3.433333333","0.966666667","0.966666667","0.21","0.21","0.25","0.25","28.15533981","45.65217391","100","1.5","3.888888889","3.888888889","7","7","8.333333333","8.333333333","1.666666667","1.666666667","15.33333333","15.33333333"
"","","GHP2015OHW-AT02","","","","","","","","","GHP2015OHW-AT02-00018","","","","3","1.978376031","1.196475029","21.7","","50.8","1.793033004","3.140587091","1","0","23","29","28","30","21","","","5.866641998","2","67.8193512","8","42.71653543","3","1","","2.697690964","6","4","4","0","0.7","12.4","0.7","13.1","23","","0.030434783","0.030434783","0.821428571","0.766666667","0","0","0.025","0.023333333","0.442857143","0.413333333","0","5.34351145","93.33333333","0.299015748","0","0","0.777777778","0.833333333","13.77777778","14.76190476","0.33223972","0.355971129","14.55555556","15.5952381"
