"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00001","","","","","","","","","","","7","5","30","10","11","27","16","9","","","","5","","6","","5","7","","8","5","6","0.9","0.4","2","1.3","3.3","21","0.09","0.036363636","0.061904762","1.3125","0.625","0.08125","0.125","47.61904762","39.39393939","","1.875","2.708333333","4.166666667","","6.875","0.7","0.333333333","0.043333333","0.066666667","53.33333333","1","1.444444444","2.222222222","","3.666666667"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00010","","","","0","1.389033","0.866308","50.31","20.39","0.783127","1.224636","5","3","30","29","24","28","26","15","4","8","3.771708","6","72.210556","8","40.52872192","6","5","10.367939","7","2","3","5.3","1.6","15.5","6.9","22.4","53","0.182758621","0.066666667","0.130188679","2.038461538","1.115384615","0.265384615","0.596153846","54.71698113","30.80357143","2.796481813","6.794871795","8.846153846","19.87179487","3.585233093","28.71794872","1.766666667","0.966666667","0.23","0.516666667","86.66666667","5.888888889","7.666666667","17.22222222","3.107202014","24.88888889"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00011","","","","24.8607483","2.51986","1.5849791","50.16","12.71","2.4040239","4.0342941","7","3","30","20","47","30","24","19","6","3","4.7799149","6","51.0223694","8","25.33891547","5","5","23.0646381","6","2","4","3.2","1.7","10","4.9","14.9","67","0.16","0.036170213","0.073134328","2.791666667","0.833333333","0.204166667","0.416666667","29.85074627","32.88590604","1.241606858","4.444444444","6.805555556","13.88888889","1.72445397","20.69444444","2.233333333","0.666666667","0.163333333","0.333333333","80","3.555555556","5.444444444","11.11111111","1.379563176","16.55555556"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00012","","","","26.7889061","2.2620699","1.324554","50.46","16.28","1.224039","2.2063749","5","3","30","3","5","14","8","7","8","3","6.2777109","5","59.0405464","8","32.26317876","5","5","14.5714331","5","6","6","0.4","0.4","1","0.8","1.8","8","0.133333333","0.08","0.1","1","0.375","0.1","0.125","37.5","44.44444444","0.25810543","1.666666667","3.333333333","4.166666667","1.075439292","7.5","0.266666667","0.1","0.026666667","0.033333333","26.66666667","0.444444444","0.888888889","1.111111111","0.286783811","2"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00013","","","","0","1.67064","1.125998","50.11","20.4","0.432388","1.351319","7","3","30","11","31","24","18","15","4","3","4.7673378","6","70.8523483","8","40.71043704","5","5","11.163475","5","4","6","1","1.1","3.8","2.1","5.9","42","0.090909091","0.035483871","0.05","2.333333333","0.611111111","0.116666667","0.211111111","26.19047619","35.59322034","0.854919178","1.851851852","3.888888889","7.037037037","1.583183663","10.92592593","1.4","0.366666667","0.07","0.126666667","60","1.111111111","2.333333333","4.222222222","0.949910198","6.555555556"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00014","","","","0","1.655005","1.078848","50.46","18.53","0.967207","2.1037381","5","1","30","18","11","28","24","19","3","5","4.8133869","4","71.0570679","8","36.72215616","6","3","10.1902409","6","6","6","4.1","1","1.2","5.1","6.3","29","0.227777778","0.090909091","0.175862069","1.208333333","0.75","0.2125","0.05","62.06896552","80.95238095","1.872829964","5.694444444","7.083333333","1.666666667","2.601152728","8.75","0.966666667","0.6","0.17","0.04","80","4.555555556","5.666666667","1.333333333","2.080922183","7"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00015","","","","0","1.726244","1.0440069","50.51","20.4","0.653951","1.190241","3","1","30","37","27","30","24","24","2","6","4.6737332","6","72.1881409","8","40.38804197","5","5","9.7317324","7","3","4","6.1","1","5.8","7.1","12.9","64","0.164864865","0.037037037","0.1109375","2.666666667","1.541666667","0.295833333","0.241666667","57.8125","55.03875969","2.86755098","8.472222222","9.861111111","8.055555556","3.982709694","17.91666667","2.133333333","1.233333333","0.236666667","0.193333333","80","6.777777778","7.888888889","6.444444444","3.186167756","14.33333333"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00016","","","","","","","","","","","5","1","30","18","21","28","22","20","","","","6","","8","","5","5","","6","4","5","3","1","4.8","4","8.8","39","0.166666667","0.047619048","0.102564103","1.772727273","0.818181818","0.181818182","0.218181818","46.15384615","45.45454545","","4.545454545","6.060606061","7.272727273","","13.33333333","1.3","0.6","0.133333333","0.16","73.33333333","3.333333333","4.444444444","5.333333333","","9.777777778"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00017","","","","0","1.757062","1.0588239","50.06","20.37","0.847463","1.681312","5","1","30","13","7","19","13","12","3","6","4.838737","5","72.9508896","8","40.6911706","4","5","9.6908894","5","6","6","2.3","0.5","4","2.8","6.8","20","0.176923077","0.071428571","0.14","1.538461538","1","0.215384615","0.307692308","65","41.17647059","1.139352777","5.897435897","7.179487179","10.25641026","2.921417376","17.43589744","0.666666667","0.433333333","0.093333333","0.133333333","43.33333333","2.555555556","3.111111111","4.444444444","1.26594753","7.555555556"
"","","GHP2017OHW-AT01","","","","","","","","","GHP2017OHW-AT01-00018","","","","0","1.556797","0.881562","50.03","21.67","0.240164","0.641982","5","1","30","39","21","30","28","23","2","8","4.5637722","4","73.7694321","7","43.31401159","4","5","10.5404739","8","3","4","4.7","1","15.2","5.7","20.9","60","0.120512821","0.047619048","0.095","2.142857143","1.392857143","0.203571429","0.542857143","65","27.27272727","2.468898661","5.595238095","6.785714286","18.0952381","2.939165072","24.88095238","2","1.3","0.19","0.506666667","93.33333333","5.222222222","6.333333333","16.88888889","2.743220734","23.22222222"
