"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00001","","","","3","1.482501984","0.859201014","21.5","","50.9","2.479196072","3.830673933","2","19","60","30","28","30","25","4","9","4.45332098","1","67.61116791","3","42.23968566","5","2","","7.667909145","8","4","4","3","3","22","6","28","79","0.157894737","0.05","0.075949367","2.821428571","2.633333333","0.678571429","0.633333333","0.214285714","0.2","0.785714286","0.733333333","24.05063291","21.42857143","93.33333333","2.534381139","3.333333333","3.571428571","6.666666667","7.142857143","24.44444444","26.19047619","2.815979044","3.017120404","31.11111111","33.33333333"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00010","","","","5","2.079581022","1.041424036","14.2","3","50.5","5.766859055","8.200662613","2","5","38","30","28","30","20","7","6","4.85105896","3","56.74262238","3","28.11881188","5","3","3","9.483663559","7","3","4","1","2.5","17.8","3.5","21.3","43","0.2","0.065789474","0.081395349","1.535714286","1.433333333","0.178571429","0.166666667","0.125","0.116666667","0.635714286","0.593333333","11.62790698","16.43192488","93.33333333","0.984158416","1.111111111","1.19047619","3.888888889","4.166666667","19.77777778","21.19047619","1.093509351","1.171617162","23.66666667","25.35714286"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00011","","","","3","2.313441992","1.244992018","19.1","3","50.7","1.592723012","3.378490925","2","16","43","30","29","30","25","5","8","6.625515938","2","63.40932465","3","37.67258383","5","2","3","14.233531","9","4","4","2.2","2","36.5","4.2","40.7","59","0.1375","0.046511628","0.071186441","2.034482759","1.966666667","0.551724138","0.533333333","0.144827586","0.14","1.25862069","1.216666667","27.11864407","10.31941032","96.66666667","1.582248521","2.444444444","2.528735632","4.666666667","4.827586207","40.55555556","41.95402299","1.758053912","1.818676461","45.22222222","46.7816092"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00012","","","","5","2.015702009","1.116884947","17.9","3","50.2","4.442656994","6.375582218","2","9","31","30","29","30","13","5","3","5.880957127","2","61.83903885","3","35.65737052","5","1","3","6.561447144","8","4","4","1.5","1.3","26.5","2.8","29.3","40","0.166666667","0.041935484","0.07","1.379310345","1.333333333","0.310344828","0.3","0.096551724","0.093333333","0.913793103","0.883333333","22.5","9.556313993","96.66666667","0.998406375","1.666666667","1.724137931","3.111111111","3.218390805","29.44444444","30.45977011","1.109340416","1.147593534","32.55555556","33.67816092"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00013","","","","3","1.999145031","1.059419036","20.2","4","50","4.360395908","6.412343979","1","5","35","30","30","30","14","5","6","6.025619984","2","63.45256042","3","40.4","5","1","2","3.964291096","8","3","4","0.8","1.7","29","2.5","31.5","40","0.16","0.048571429","0.0625","1.333333333","1.333333333","0.166666667","0.166666667","0.083333333","0.083333333","0.966666667","0.966666667","12.5","7.936507937","100","1.01","0.888888889","0.888888889","2.777777778","2.777777778","32.22222222","32.22222222","1.122222222","1.122222222","35","35"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00014","","","","2","1.730358958","0.994684994","18.8","3","50.8","5.602935791","8.235122681","1","9","50","30","28","30","26","5","8","5.027231216","2","61.76721573","2","37.00787402","4","2","3","5.108325005","7","3","3","1.2","2.3","27","3.5","30.5","59","0.133333333","0.046","0.059322034","2.107142857","1.966666667","0.321428571","0.3","0.125","0.116666667","0.964285714","0.9","15.25423729","11.47540984","93.33333333","1.295275591","1.333333333","1.428571429","3.888888889","4.166666667","30","32.14285714","1.439195101","1.541994751","33.88888889","36.30952381"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00015","","","","3","2.236581087","1.288110018","20.6","4","50.5","2.231739044","4.627288818","2","8","61","30","29","30","27","6","6","6.267356873","3","65.0016098","3","40.79207921","6","2","2","11.35381413","8","3","4","1.8","3","26.5","4.8","31.3","69","0.225","0.049180328","0.069565217","2.379310345","2.3","0.275862069","0.266666667","0.165517241","0.16","0.913793103","0.883333333","11.5942029","15.33546326","96.66666667","1.958019802","2","2.068965517","5.333333333","5.517241379","29.44444444","30.45977011","2.175577558","2.250597474","34.77777778","35.97701149"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00016","","","","2","1.942546964","1.075893044","18.9","","50.1","2.752072096","4.446781158","2","9","48","30","30","30","22","5","9","5.762088776","3","65.08309937","3","37.7245509","5","2","","7.182218075","9","4","4","1.6","2.5","38.5","4.1","42.6","57","0.177777778","0.052083333","0.071929825","1.9","1.9","0.3","0.3","0.136666667","0.136666667","1.283333333","1.283333333","15.78947368","9.624413146","100","1.546706587","1.777777778","1.777777778","4.555555556","4.555555556","42.77777778","42.77777778","1.718562874","1.718562874","47.33333333","47.33333333"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00017","","","","3","2.367275","1.189035058","15.1","3","50.5","4.170403957","7.074475765","2","17","40","30","29","30","26","7","6","5.901196957","2","59.07563019","3","29.9009901","6","2","3","15.62417793","8","3","4","3.4","2.5","26.5","5.9","32.4","57","0.2","0.0625","0.103508772","1.965517241","1.9","0.586206897","0.566666667","0.203448276","0.196666667","0.913793103","0.883333333","29.8245614","18.20987654","96.66666667","1.764158416","3.777777778","3.908045977","6.555555556","6.781609195","29.44444444","30.45977011","1.960176018","2.027768294","36","37.24137931"
"","","GHP2015KPV-AT02","","","","","","","","","GHP2015KPV-AT02-00018","","","","2","1.393700004","0.652881026","20.2","2","50.9","4.556502819","6.575255871","1","14","42","30","30","30","25","5","3","3.87541604","3","67.80000305","8","39.68565815","5","1","3","2.006025076","9","1","3","2.2","2.6","40.5","4.8","45.3","56","0.157142857","0.061904762","0.085714286","1.866666667","1.866666667","0.466666667","0.466666667","0.16","0.16","1.35","1.35","25","10.59602649","100","1.904911591","2.444444444","2.444444444","5.333333333","5.333333333","45","45","2.116568435","2.116568435","50.33333333","50.33333333"
