"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00019","","","","2","1","11","21","14","10","14","9","5","5","5","6","2","2.5","1","1.3","3.5","4.8","32","0.227272727","0.047619048","0.109375","3.2","2.285714286","1.1","0.785714286","0.35","0.25","0.13","0.092857143","34.375","72.91666667","71.42857143","5.952380952","8.333333333","8.333333333","11.66666667","3.095238095","4.333333333","11.42857143","16"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00002","","","","6","3","4","12","14","10","14","8","7","5","5","7","3","2","2","3.1","4","7.1","16","0.5","0.166666667","0.25","1.6","1.142857143","0.4","0.285714286","0.4","0.285714286","0.31","0.221428571","25","56.33802817","71.42857143","4.761904762","6.666666667","9.523809524","13.33333333","7.380952381","10.33333333","16.9047619","23.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00020","","","","1","2","11","26","14","10","14","9","7","4","4","7","4","1.5","1","1.1","2.5","3.6","37","0.136363636","0.038461538","0.067567568","3.7","2.642857143","1.1","0.785714286","0.25","0.178571429","0.11","0.078571429","29.72972973","69.44444444","71.42857143","3.571428571","5","5.952380952","8.333333333","2.619047619","3.666666667","8.571428571","12"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00021","","","","3","3","16","18","14","10","14","10","8","4","5","7","3","3","0.5","1.1","3.5","4.6","34","0.1875","0.027777778","0.102941176","3.4","2.428571429","1.6","1.142857143","0.35","0.25","0.11","0.078571429","47.05882353","76.08695652","71.42857143","7.142857143","10","8.333333333","11.66666667","2.619047619","3.666666667","10.95238095","15.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00022","","","","3","3","13","24","14","10","14","10","6","5","7","6","4","3.5","1.5","1.6","5","6.6","37","0.269230769","0.0625","0.135135135","3.7","2.642857143","1.3","0.928571429","0.5","0.357142857","0.16","0.114285714","35.13513514","75.75757576","71.42857143","8.333333333","11.66666667","11.9047619","16.66666667","3.80952381","5.333333333","15.71428571","22"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00023","","","","1","2","17","13","14","10","14","10","5","5","7","7","2","3.5","0.5","3.9","4","7.9","30","0.205882353","0.038461538","0.133333333","3","2.142857143","1.7","1.214285714","0.4","0.285714286","0.39","0.278571429","56.66666667","50.63291139","71.42857143","8.333333333","11.66666667","9.523809524","13.33333333","9.285714286","13","18.80952381","26.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00024","","","","2","1","22","18","14","10","14","9","5","4","5","8","2","4","1","11.7","5","16.7","40","0.181818182","0.055555556","0.125","4","2.857142857","2.2","1.571428571","0.5","0.357142857","1.17","0.835714286","55","29.94011976","71.42857143","9.523809524","13.33333333","11.9047619","16.66666667","27.85714286","39","39.76190476","55.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00025","","","","1","2","7","26","12","9","14","9","2","4","3","7","3","1","1","2.4","2","4.4","33","0.142857143","0.038461538","0.060606061","3.666666667","2.357142857","0.777777778","0.5","0.222222222","0.142857143","0.266666667","0.171428571","21.21212121","45.45454545","64.28571429","2.380952381","3.703703704","4.761904762","7.407407407","5.714285714","8.888888889","10.47619048","16.2962963"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00026","","","","6","4","19","5","14","10","14","10","7","5","8","7","2","8.5","0.5","4.6","9","13.6","24","0.447368421","0.1","0.375","2.4","1.714285714","1.9","1.357142857","0.9","0.642857143","0.46","0.328571429","79.16666667","66.17647059","71.42857143","20.23809524","28.33333333","21.42857143","30","10.95238095","15.33333333","32.38095238","45.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00027","","","","3","2","11","8","14","10","14","10","6","5","5","6","4","2.5","0.5","0.6","3","3.6","19","0.227272727","0.0625","0.157894737","1.9","1.357142857","1.1","0.785714286","0.3","0.214285714","0.06","0.042857143","57.89473684","83.33333333","71.42857143","5.952380952","8.333333333","7.142857143","10","1.428571429","2","8.571428571","12"
