"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00046","","","","3","2","6","5","9","5","14","5","2","3","4","6","2","1","0.5","5.7","1.5","7.2","11","0.166666667","0.1","0.136363636","2.2","0.785714286","1.2","0.428571429","0.3","0.107142857","1.14","0.407142857","54.54545455","20.83333333","35.71428571","2.380952381","6.666666667","3.571428571","10","13.57142857","38","17.14285714","48"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00047","","","","2","2","19","28","11","9","14","8","3","5","6","7","2","3.5","1.5","5.3","5","10.3","47","0.184210526","0.053571429","0.106382979","5.222222222","3.357142857","2.111111111","1.357142857","0.555555556","0.357142857","0.588888889","0.378571429","40.42553191","48.54368932","64.28571429","8.333333333","12.96296296","11.9047619","18.51851852","12.61904762","19.62962963","24.52380952","38.14814815"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00048","","","","1","2","17","31","12","10","14","10","2","4","6","7","5","3","1.5","1.5","4.5","6","48","0.176470588","0.048387097","0.09375","4.8","3.428571429","1.7","1.214285714","0.45","0.321428571","0.15","0.107142857","35.41666667","75","71.42857143","7.142857143","10","10.71428571","15","3.571428571","5","14.28571429","20"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00049","","","","1","2","6","7","8","7","14","7","2","4","6","7","3","1.5","1","6.7","2.5","9.2","13","0.25","0.142857143","0.192307692","1.857142857","0.928571429","0.857142857","0.428571429","0.357142857","0.178571429","0.957142857","0.478571429","46.15384615","27.17391304","50","3.571428571","7.142857143","5.952380952","11.9047619","15.95238095","31.9047619","21.9047619","43.80952381"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00005","","","","1","1","4","10","14","10","14","8","2","2","2","6","3","2","1.5","2","3.5","5.5","14","0.5","0.15","0.25","1.4","1","0.4","0.285714286","0.35","0.25","0.2","0.142857143","28.57142857","63.63636364","71.42857143","4.761904762","6.666666667","8.333333333","11.66666667","4.761904762","6.666666667","13.0952381","18.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00050","","","","3","3","20","10","14","10","14","10","5","7","8","6","3","7.5","0.5","4.3","8","12.3","30","0.375","0.05","0.266666667","3","2.142857143","2","1.428571429","0.8","0.571428571","0.43","0.307142857","66.66666667","65.04065041","71.42857143","17.85714286","25","19.04761905","26.66666667","10.23809524","14.33333333","29.28571429","41"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00051","","","","1","2","21","32","11","9","14","9","5","4","5","7","4","4","1.5","2.4","5.5","7.9","53","0.19047619","0.046875","0.103773585","5.888888889","3.785714286","2.333333333","1.5","0.611111111","0.392857143","0.266666667","0.171428571","39.62264151","69.62025316","64.28571429","9.523809524","14.81481481","13.0952381","20.37037037","5.714285714","8.888888889","18.80952381","29.25925926"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00052","","","","2","3","35","32","14","10","14","10","4","6","7","7","2","8.5","2","4.3","10.5","14.8","67","0.242857143","0.0625","0.156716418","6.7","4.785714286","3.5","2.5","1.05","0.75","0.43","0.307142857","52.23880597","70.94594595","71.42857143","20.23809524","28.33333333","25","35","10.23809524","14.33333333","35.23809524","49.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00053","","","","2","1","7","3","5","3","14","3","2","7","8","7","3","2.5","0.5","1.7","3","4.7","10","0.357142857","0.166666667","0.3","3.333333333","0.714285714","2.333333333","0.5","1","0.214285714","0.566666667","0.121428571","70","63.82978723","21.42857143","5.952380952","27.77777778","7.142857143","33.33333333","4.047619048","18.88888889","11.19047619","52.22222222"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00054","","","","1","2","10","21","10","7","14","7","4","5","7","7","4","4","1","5.8","5","10.8","31","0.4","0.047619048","0.161290323","4.428571429","2.214285714","1.428571429","0.714285714","0.714285714","0.357142857","0.828571429","0.414285714","32.25806452","46.2962963","50","9.523809524","19.04761905","11.9047619","23.80952381","13.80952381","27.61904762","25.71428571","51.42857143"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00055","","","","3","1","25","40","14","10","14","10","4","5","6","6","4","5","2","3","7","10","65","0.2","0.05","0.107692308","6.5","4.642857143","2.5","1.785714286","0.7","0.5","0.3","0.214285714","38.46153846","70","71.42857143","11.9047619","16.66666667","16.66666667","23.33333333","7.142857143","10","23.80952381","33.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00056","","","","2","1","14","3","10","9","14","9","2","4","6","7","2","3.5","0.5","4.8","4","8.8","17","0.25","0.166666667","0.235294118","1.888888889","1.214285714","1.555555556","1","0.444444444","0.285714286","0.533333333","0.342857143","82.35294118","45.45454545","64.28571429","8.333333333","12.96296296","9.523809524","14.81481481","11.42857143","17.77777778","20.95238095","32.59259259"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00057","","","","2","2","18","20","14","10","14","10","3","4","6","6","5","3.5","1.5","2.8","5","7.8","38","0.194444444","0.075","0.131578947","3.8","2.714285714","1.8","1.285714286","0.5","0.357142857","0.28","0.2","47.36842105","64.1025641","71.42857143","8.333333333","11.66666667","11.9047619","16.66666667","6.666666667","9.333333333","18.57142857","26"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00058","","","","1","3","17","36","10","9","14","9","4","4","5","6","3","3.5","2","2","5.5","7.5","53","0.205882353","0.055555556","0.103773585","5.888888889","3.785714286","1.888888889","1.214285714","0.611111111","0.392857143","0.222222222","0.142857143","32.0754717","73.33333333","64.28571429","8.333333333","12.96296296","13.0952381","20.37037037","4.761904762","7.407407407","17.85714286","27.77777778"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00059","","","","1","3","40","6","14","10","14","10","5","7","8","7","2","13","0.5","1.7","13.5","15.2","46","0.325","0.083333333","0.293478261","4.6","3.285714286","4","2.857142857","1.35","0.964285714","0.17","0.121428571","86.95652174","88.81578947","71.42857143","30.95238095","43.33333333","32.14285714","45","4.047619048","5.666666667","36.19047619","50.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00006","","","","3","2","11","24","14","10","14","10","5","4","4","5","5","0.2","1.5","0.7","1.7","2.4","35","0.018181818","0.0625","0.048571429","3.5","2.5","1.1","0.785714286","0.17","0.121428571","0.07","0.05","31.42857143","70.83333333","71.42857143","0.476190476","0.666666667","4.047619048","5.666666667","1.666666667","2.333333333","5.714285714","8"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00060","","","","3","4","23","20","10","8","14","8","6","4","6","6","4","6","1","1","7","8","43","0.260869565","0.05","0.162790698","5.375","3.071428571","2.875","1.642857143","0.875","0.5","0.125","0.071428571","53.48837209","87.5","57.14285714","14.28571429","25","16.66666667","29.16666667","2.380952381","4.166666667","19.04761905","33.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00061","","","","1","1","13","17","10","9","14","9","3","5","6","4","6","3.5","1","1.3","4.5","5.8","30","0.269230769","0.058823529","0.15","3.333333333","2.142857143","1.444444444","0.928571429","0.5","0.321428571","0.144444444","0.092857143","43.33333333","77.5862069","64.28571429","8.333333333","12.96296296","10.71428571","16.66666667","3.095238095","4.814814815","13.80952381","21.48148148"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00062","","","","1","2","13","15","14","10","14","10","3","4","6","7","3","5","1","4.8","6","10.8","28","0.384615385","0.066666667","0.214285714","2.8","2","1.3","0.928571429","0.6","0.428571429","0.48","0.342857143","46.42857143","55.55555556","71.42857143","11.9047619","16.66666667","14.28571429","20","11.42857143","16","25.71428571","36"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00007","","","","1","2","21","32","12","8","14","8","6","5","5","7","5","2.5","1.5","2.1","4","6.1","53","0.119047619","0.046875","0.075471698","6.625","3.785714286","2.625","1.5","0.5","0.285714286","0.2625","0.15","39.62264151","65.57377049","57.14285714","5.952380952","10.41666667","9.523809524","16.66666667","5","8.75","14.52380952","25.41666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00008","","","","1","1","14","15","14","10","14","9","1","6","7","8","4","3","1.5","1.1","4.5","5.6","29","0.214285714","0.1","0.155172414","2.9","2.071428571","1.4","1","0.45","0.321428571","0.11","0.078571429","48.27586207","80.35714286","71.42857143","7.142857143","10","10.71428571","15","2.619047619","3.666666667","13.33333333","18.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00009","","","","2","3","11","20","14","10","14","10","5","4","5","7","3","2.5","1","2.1","3.5","5.6","31","0.227272727","0.05","0.112903226","3.1","2.214285714","1.1","0.785714286","0.35","0.25","0.21","0.15","35.48387097","62.5","71.42857143","5.952380952","8.333333333","8.333333333","11.66666667","5","7","13.33333333","18.66666667"
