"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00517","","","","4","4","4","4","0","6","0","0.38","2.02","0.38","2.4","6","","0.063333333","0.063333333","1.5","0","0.095","0.505","0","15.83333333","0","3.166666667","16.83333333","20","1.5","0","0.095","0.505","100","0","3.166666667","16.83333333","20"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00518","","","","4","2","2","2","4","1","0.5","0.2","2.16","0.7","2.86","5","0.125","0.2","0.14","2.5","2","0.35","1.08","80","24.47552448","8.333333333","11.66666667","36","47.66666667","1.25","1","0.175","0.54","50","4.166666667","5.833333333","18","23.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00519","","","","4","4","4","2","0","8","0","0.3","1.68","0.3","1.98","8","","0.0375","0.0375","2","0","0.075","0.42","0","15.15151515","0","2.5","14","16.5","2","0","0.075","0.42","100","0","2.5","14","16.5"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00502","","","","4","4","4","1","0","","0","","0.7","","","","","","","","0","","0.175","","","0","","5.833333333","","","0","","0.175","100","0","","5.833333333",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00520","","","","4","4","4","2","2","6","0.54","0.28","3.04","0.82","3.86","8","0.27","0.046666667","0.1025","2","0.5","0.205","0.76","25","21.24352332","4.5","6.833333333","25.33333333","32.16666667","2","0.5","0.205","0.76","100","4.5","6.833333333","25.33333333","32.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00521","","","","4","4","3","3","0","3","0","0.13","1.88","0.13","2.01","3","","0.043333333","0.043333333","1","0","0.043333333","0.626666667","0","6.467661692","0","1.444444444","20.88888889","22.33333333","0.75","0","0.0325","0.47","75","0","1.083333333","15.66666667","16.75"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00522","","","","4","4","4","3","2","9","0.36","0.34","1.72","0.7","2.42","11","0.18","0.037777778","0.063636364","2.75","0.5","0.175","0.43","18.18181818","28.92561983","3","5.833333333","14.33333333","20.16666667","2.75","0.5","0.175","0.43","100","3","5.833333333","14.33333333","20.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00523","","","","4","4","4","2","0","5","0","0.3","1.1","0.3","1.4","5","","0.06","0.06","1.25","0","0.075","0.275","0","21.42857143","0","2.5","9.166666667","11.66666667","1.25","0","0.075","0.275","100","0","2.5","9.166666667","11.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00524","","","","4","3","3","2","3","3","0.34","0.16","2.1","0.5","2.6","6","0.113333333","0.053333333","0.083333333","2","1","0.166666667","0.7","50","19.23076923","3.777777778","5.555555556","23.33333333","28.88888889","1.5","0.75","0.125","0.525","75","2.833333333","4.166666667","17.5","21.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00525","","","","4","4","3","3","2","8","2.06","0.4","1.08","2.46","3.54","10","1.03","0.05","0.246","3.333333333","0.666666667","0.82","0.36","20","69.49152542","22.88888889","27.33333333","12","39.33333333","2.5","0.5","0.615","0.27","75","17.16666667","20.5","9","29.5"
