"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00019","","","","1","15.58888889","1.122222222","1","40","19","22","30","6","1","3","67.79661017","13.66666667","1","59","2.681818182","13.02","8","1","12.3","0.72","1.01","14.46666667","14.03","0.3075","0.037894737","0.220677966","1.966666667","1.818181818","1.333333333","0.591818182","0.434","0.045909091","0.033666667","92.80114041","73.33333333","18.63636364","19.72727273","1.53030303","21.25757576"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00002","","","","1","26.24444444","8.666666667","1","51","13","24","30","24","1","3","79.6875","16.82222222","1","64","2.666666667","15.82","5","1","15.14","0.68","7.8","17.57777778","23.62","0.296862745","0.052307692","0.2471875","2.133333333","2.125","1.7","0.659166667","0.527333333","0.325","0.26","66.97713802","80","21.02777778","21.97222222","10.83333333","32.80555556"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00020","","","","3","10.55555556","2.955555556","1","18","62","26","30","2","1","3","22.5","5.244444444","3","80","3.076923077","6.84","7","1","4.72","2.12","2.66","7.6","9.5","0.262222222","0.034193548","0.0855","2.666666667","0.692307692","0.6","0.263076923","0.228","0.102307692","0.088666667","72","86.66666667","6.051282051","8.769230769","3.41025641","12.17948718"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00021","","","","5","23.02222222","11.93333333","1","42","26","27","30","26","1","5","61.76470588","9.4","3","68","2.518518519","9.98","7","1","8.46","1.52","10.74","11.08888889","20.72","0.201428571","0.058461538","0.146764706","2.266666667","1.555555556","1.4","0.36962963","0.332666667","0.397777778","0.358","48.16602317","90","10.44444444","12.32098765","13.25925926","25.58024691"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00022","","","","1","20.86666667","17.95555556","1","9","22","27","30","27","1","5","29.03225806","2.022222222","5","31","1.148148148","2.62","8","1","1.82","0.8","16.16","2.911111111","18.78","0.202222222","0.036363636","0.084516129","1.033333333","0.333333333","0.3","0.097037037","0.087333333","0.598518519","0.538666667","13.95101171","90","2.24691358","3.234567901","19.95061728","23.18518519"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00023","","","","3","15.33333333","6.222222222","1","33","20","24","30","24","1","3","62.26415094","8.288888889","3","53","2.208333333","8.2","5","3","7.46","0.74","5.6","9.111111111","13.8","0.226060606","0.037","0.154716981","1.766666667","1.375","1.1","0.341666667","0.273333333","0.233333333","0.186666667","59.42028986","80","10.36111111","11.38888889","7.777777778","19.16666667"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00024","","","","1","25.33333333","13.53333333","1","42","36","28","30","18","1","1","53.84615385","10","3","78","2.785714286","10.62","6","2","9","1.62","12.18","11.8","22.8","0.214285714","0.045","0.136153846","2.6","1.5","1.4","0.379285714","0.354","0.435","0.406","46.57894737","93.33333333","10.71428571","12.64285714","14.5","27.14285714"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00025","","","","1","37.42222222","19.73333333","3","36","9","23","30","23","1","3","80","17.4","1","45","1.956521739","15.92","7","1","15.66","0.26","17.76","17.68888889","33.68","0.435","0.028888889","0.353777778","1.5","1.565217391","1.2","0.692173913","0.530666667","0.772173913","0.592","47.26840855","76.66666667","22.69565217","23.07246377","25.73913043","48.8115942"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00026","","","","1","38.8","27.08888889","1","36","42","25","30","22","1","1","46.15384615","10.53333333","1","78","3.12","10.54","5","2","9.48","1.06","24.38","11.71111111","34.92","0.263333333","0.025238095","0.135128205","2.6","1.44","1.2","0.4216","0.351333333","0.9752","0.812666667","30.18327606","83.33333333","12.64","14.05333333","32.50666667","46.56"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00027","","","","3","46.08888889","35.71111111","1","25","16","26","30","26","1","1","60.97560976","9.2","1","41","1.576923077","9.34","5","1","8.28","1.06","32.14","10.37777778","41.48","0.3312","0.06625","0.227804878","1.366666667","0.961538462","0.833333333","0.359230769","0.311333333","1.236153846","1.071333333","22.5168756","86.66666667","10.61538462","11.97435897","41.20512821","53.17948718"
