"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00011","","","","30","6","7","18","10","12","13","2","0.6","12.2","3","4","1","1","2","2.6","14.8","25","0.166666667","0.046153846","0.104","1.388888889","0.833333333","0.666666667","0.4","0.144444444","0.086666667","0.677777778","0.406666667","48","17.56756757","60","2.222222222","3.703703704","2.888888889","4.814814815","13.55555556","22.59259259","16.44444444","27.40740741"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00012","","","","30","7","4","28","4","0","8","0","1","10.7","1","2","1","3","1","1","11.7","8","","0.125","0.125","0.285714286","0.266666667","0","0","0.035714286","0.033333333","0.382142857","0.356666667","0","8.547008547","93.33333333","0","0","1.111111111","1.19047619","11.88888889","12.73809524","13","13.92857143"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00013","","","","30","6","7","22","22","45","63","12.5","3.8","13.7","4","5","1","1","3","16.3","30","108","0.277777778","0.06031746","0.150925926","4.909090909","3.6","2.045454545","1.5","0.740909091","0.543333333","0.622727273","0.456666667","41.66666667","54.33333333","73.33333333","13.88888889","18.93939394","18.11111111","24.6969697","15.22222222","20.75757576","33.33333333","45.45454545"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00014","","","","30","6","8","21","20","9","14","1.3","6","18.5","2","4","1","1","1","7.3","25.8","23","0.144444444","0.428571429","0.317391304","1.095238095","0.766666667","0.428571429","0.3","0.347619048","0.243333333","0.880952381","0.616666667","39.13043478","28.29457364","70","1.444444444","2.063492063","8.111111111","11.58730159","20.55555556","29.36507937","28.66666667","40.95238095"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00015","","","","30","4","9","25","23","12","45","2.5","2.9","33.9","2","3","1","1","1","5.4","39.3","57","0.208333333","0.064444444","0.094736842","2.28","1.9","0.48","0.4","0.216","0.18","1.356","1.13","21.05263158","13.74045802","83.33333333","2.777777778","3.333333333","6","7.2","37.66666667","45.2","43.66666667","52.4"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00016","","","","30","6","7","17","1","0","8","0","1.2","10.5","1","1","1","1","1","1.2","11.7","8","","0.15","0.15","0.470588235","0.266666667","0","0","0.070588235","0.04","0.617647059","0.35","0","10.25641026","56.66666667","0","0","1.333333333","2.352941176","11.66666667","20.58823529","13","22.94117647"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00017","","","","30","8","6","30","28","45","57","10.4","3.2","17.6","4","4","1","1","1","13.6","31.2","102","0.231111111","0.056140351","0.133333333","3.4","3.4","1.5","1.5","0.453333333","0.453333333","0.586666667","0.586666667","44.11764706","43.58974359","100","11.55555556","11.55555556","15.11111111","15.11111111","19.55555556","19.55555556","34.66666667","34.66666667"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00018","","","","30","7","6","22","19","4","68","0.7","2.9","14.1","3","4","1","2","1","3.6","17.7","72","0.175","0.042647059","0.05","3.272727273","2.4","0.181818182","0.133333333","0.163636364","0.12","0.640909091","0.47","5.555555556","20.33898305","73.33333333","0.777777778","1.060606061","4","5.454545455","15.66666667","21.36363636","19.66666667","26.81818182"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00019","","","","30","7","7","29","25","35","48","8.1","3.6","18","4","3","1","2","2","11.7","29.7","83","0.231428571","0.075","0.140963855","2.862068966","2.766666667","1.206896552","1.166666667","0.403448276","0.39","0.620689655","0.6","42.1686747","39.39393939","96.66666667","9","9.310344828","13","13.44827586","20","20.68965517","33","34.13793103"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00020","","","","30","7","6","24","23","21","48","5.3","4.8","10.1","3","4","1","2","2","10.1","20.2","69","0.252380952","0.1","0.146376812","2.875","2.3","0.875","0.7","0.420833333","0.336666667","0.420833333","0.336666667","30.43478261","50","80","5.888888889","7.361111111","11.22222222","14.02777778","11.22222222","14.02777778","22.44444444","28.05555556"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00021","","","","30","7","6","14","2","1","6","","0.8","16.9","2","3","1","3","1","","","7","","0.133333333","","0.5","0.233333333","0.071428571","0.033333333","","","1.207142857","0.563333333","14.28571429","","46.66666667","","","","","18.77777778","40.23809524","",""
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00022","","","","30","6","9","27","24","12","47","2.7","3.3","20.6","4","3","1","1","1","6","26.6","59","0.225","0.070212766","0.101694915","2.185185185","1.966666667","0.444444444","0.4","0.222222222","0.2","0.762962963","0.686666667","20.33898305","22.55639098","90","3","3.333333333","6.666666667","7.407407407","22.88888889","25.43209877","29.55555556","32.83950617"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00023","","","","30","8","5","20","19","27","49","7.5","2.6","15.9","4","5","1","1","2","10.1","26","76","0.277777778","0.053061224","0.132894737","3.8","2.533333333","1.35","0.9","0.505","0.336666667","0.795","0.53","35.52631579","38.84615385","66.66666667","8.333333333","12.5","11.22222222","16.83333333","17.66666667","26.5","28.88888889","43.33333333"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00024","","","","30","5","9","24","9","4","25","0.7","0.9","29.2","1","2","1","1","1","1.6","30.8","29","0.175","0.036","0.055172414","1.208333333","0.966666667","0.166666667","0.133333333","0.066666667","0.053333333","1.216666667","0.973333333","13.79310345","5.194805195","80","0.777777778","0.972222222","1.777777778","2.222222222","32.44444444","40.55555556","34.22222222","42.77777778"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00025","","","","30","7","6","21","17","5","42","0.9","1.7","25.1","2","3","1","2","1","2.6","27.7","47","0.18","0.04047619","0.055319149","2.238095238","1.566666667","0.238095238","0.166666667","0.123809524","0.086666667","1.195238095","0.836666667","10.63829787","9.386281588","70","1","1.428571429","2.888888889","4.126984127","27.88888889","39.84126984","30.77777778","43.96825397"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00026","","","","30","6","8","23","20","7","10","1.1","5.4","21.4","2","3","1","1","2","6.5","27.9","17","0.157142857","0.54","0.382352941","0.739130435","0.566666667","0.304347826","0.233333333","0.282608696","0.216666667","0.930434783","0.713333333","41.17647059","23.29749104","76.66666667","1.222222222","1.594202899","7.222222222","9.420289855","23.77777778","31.01449275","31","40.43478261"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00027","","","","30","5","9","12","7","4","26","0.8","1.1","28.8","4","4","1","1","1","1.9","30.7","30","0.2","0.042307692","0.063333333","2.5","1","0.333333333","0.133333333","0.158333333","0.063333333","2.4","0.96","13.33333333","6.188925081","40","0.888888889","2.222222222","2.111111111","5.277777778","32","80","34.11111111","85.27777778"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00028","","","","30","5","7","29","29","60","94","17.6","7.3","22","5","5","1","1","2","24.9","46.9","154","0.293333333","0.077659574","0.161688312","5.310344828","5.133333333","2.068965517","2","0.85862069","0.83","0.75862069","0.733333333","38.96103896","53.09168443","96.66666667","19.55555556","20.22988506","27.66666667","28.62068966","24.44444444","25.28735632","52.11111111","53.90804598"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00029","","","","30","7","6","24","1","0","2","0","0.08","13.4","1","1","1","1","1","0.08","13.48","2","","0.04","0.04","0.083333333","0.066666667","0","0","0.003333333","0.002666667","0.558333333","0.446666667","0","0.59347181","80","0","0","0.088888889","0.111111111","14.88888889","18.61111111","14.97777778","18.72222222"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00030","","","","30","8","4","27","18","10","32","3","3.5","5.9","3","3","1","2","3","6.5","12.4","42","0.3","0.109375","0.154761905","1.555555556","1.4","0.37037037","0.333333333","0.240740741","0.216666667","0.218518519","0.196666667","23.80952381","52.41935484","90","3.333333333","3.703703704","7.222222222","8.024691358","6.555555556","7.283950617","13.77777778","15.30864198"
