"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00101","","","","5","5","2","7","0","1.5","0","0.6","1.5","2.1","7","0.214285714","","0.214285714","1.4","1.4","1.4","1.4","0.3","0.3","0.12","0.12","100","71.42857143","100","10","10","10","10","4","4","14","14"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00102","","","","5","4","3","7","4","1.4","0.22","0.5","1.62","2.12","11","0.2","0.055","0.147272727","2.75","2.2","1.75","1.4","0.405","0.324","0.125","0.1","63.63636364","76.41509434","80","9.333333333","11.66666667","10.8","13.5","3.333333333","4.166666667","14.13333333","17.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00103","","","","5","5","5","10","2","1.26","0.06","2","1.32","3.32","12","0.126","0.03","0.11","2.4","2.4","2","2","0.264","0.264","0.4","0.4","83.33333333","39.75903614","100","8.4","8.4","8.8","8.8","13.33333333","13.33333333","22.13333333","22.13333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00104","","","","5","3","3","2","2","0.22","0.6","2","0.82","2.82","4","0.11","0.3","0.205","1.333333333","0.8","0.666666667","0.4","0.273333333","0.164","0.666666667","0.4","50","29.07801418","60","1.466666667","2.444444444","5.466666667","9.111111111","13.33333333","22.22222222","18.8","31.33333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00105","","","","5","4","3","1","3","0.5","0.5","2.1","1","3.1","4","0.5","0.166666667","0.25","1","0.8","0.25","0.2","0.25","0.2","0.525","0.42","25","32.25806452","80","3.333333333","4.166666667","6.666666667","8.333333333","14","17.5","20.66666667","25.83333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00106","","","","5","5","3","3","1","0.22","0.04","3","0.26","3.26","4","0.073333333","0.04","0.065","0.8","0.8","0.6","0.6","0.052","0.052","0.6","0.6","75","7.975460123","100","1.466666667","1.466666667","1.733333333","1.733333333","20","20","21.73333333","21.73333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00107","","","","5","4","2","3","1","0.4","0.1","0.5","0.5","1","4","0.133333333","0.1","0.125","1","0.8","0.75","0.6","0.125","0.1","0.125","0.1","75","50","80","2.666666667","3.333333333","3.333333333","4.166666667","3.333333333","4.166666667","6.666666667","8.333333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00108","","","","5","4","4","3","1","0.66","0.1","2.1","0.76","2.86","4","0.22","0.1","0.19","1","0.8","0.75","0.6","0.19","0.152","0.525","0.42","75","26.57342657","80","4.4","5.5","5.066666667","6.333333333","14","17.5","19.06666667","23.83333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00109","","","","5","5","5","2","0","0.22","0","0.4","0.22","0.62","2","0.11","","0.11","0.4","0.4","0.4","0.4","0.044","0.044","0.08","0.08","100","35.48387097","100","1.466666667","1.466666667","1.466666667","1.466666667","2.666666667","2.666666667","4.133333333","4.133333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00110","","","","5","5","5","9","2","0.36","0.22","0.5","0.58","1.08","11","0.04","0.11","0.052727273","2.2","2.2","1.8","1.8","0.116","0.116","0.1","0.1","81.81818182","53.7037037","100","2.4","2.4","3.866666667","3.866666667","3.333333333","3.333333333","7.2","7.2"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00111","","","","5","4","4","6","4","4","0.99","0.5","4.99","5.49","10","0.666666667","0.2475","0.499","2.5","2","1.5","1.2","1.2475","0.998","0.125","0.1","60","90.89253188","80","26.66666667","33.33333333","33.26666667","41.58333333","3.333333333","4.166666667","36.6","45.75"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00112","","","","5","4","4","7","0","0.49","0","4","0.49","4.49","7","0.07","","0.07","1.75","1.4","1.75","1.4","0.1225","0.098","1","0.8","100","10.91314031","80","3.266666667","4.083333333","3.266666667","4.083333333","26.66666667","33.33333333","29.93333333","37.41666667"
