"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00001","","","","2","3.5653758","2.0016203","0.9629836","17.6","50.11","1.2161047","1.9653304","2","63","55","15","15","30","15","3","9","3.238234","2","67.7651901","8","35.12272999","5","7","8.4786797","5","3","16","4.8","31.4","20.8","52.2","118","0.253968254","0.087272727","0.176271186","7.866666667","3.933333333","4.2","2.1","1.386666667","0.693333333","2.093333333","1.046666667","53.38983051","39.8467433","50","7.305527839","17.77777778","35.55555556","23.11111111","46.22222222","34.88888889","69.77777778","8.117253154","16.23450631","58","116"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00010","","","","2","23.8876648","2.6211617","1.1078795","12.3","50.93","8.0990868","11.2029419","3","39","26","25","25","30","25","8","6","4.6587653","4","51.548008","3","24.15079521","5","9","7.9085703","7","3","16.5","1.9","47","18.4","65.4","65","0.423076923","0.073076923","0.283076923","2.6","2.166666667","1.56","1.3","0.736","0.613333333","1.88","1.566666667","60","28.13455657","83.33333333","4.443746318","18.33333333","22","20.44444444","24.53333333","52.22222222","62.66666667","4.937495909","5.924995091","72.66666667","87.2"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00011","","","","1","10.315568","2.4505773","1.0905615","15.6","50.09","4.9537449","6.7367868","1","35","34","13","13","30","13","6","4","4.5264573","3","58.2250252","3","31.14394091","4","9","7.5375495","6","3","10","1.7","32","11.7","43.7","69","0.285714286","0.05","0.169565217","5.307692308","2.3","2.692307692","1.166666667","0.9","0.39","2.461538462","1.066666667","50.72463768","26.77345538","43.33333333","3.643841086","11.11111111","25.64102564","13","30","35.55555556","82.05128205","4.048712318","9.343182272","48.55555556","112.0512821"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00012","","","","1","8.7316818","2.0837433","0.7158134","17.6","50.86","5.2239614","6.9607987","2","76","46","26","26","30","26","5","2","3.2742136","2","61.1739845","3","34.60479748","4","8","9.205061","6","3","19.3","3.5","25.4","22.8","48.2","122","0.253947368","0.076086957","0.186885246","4.692307692","4.066666667","2.923076923","2.533333333","0.876923077","0.76","0.976923077","0.846666667","62.29508197","47.30290456","86.66666667","7.889893826","21.44444444","24.74358974","25.33333333","29.23076923","28.22222222","32.56410256","8.766548696","10.1152485","53.55555556","61.79487179"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00013","","","","2","0","1.5583159","0.7648078","19.9","50.45","2.235359","3.033365","1","77","36","29","29","30","29","5","3","2.992506","2","69.8641663","2","39.44499504","5","7","4.1876707","6","4","18.5","1.9","24","20.4","44.4","113","0.24025974","0.052777778","0.180530973","3.896551724","3.766666667","2.655172414","2.566666667","0.703448276","0.68","0.827586207","0.8","68.14159292","45.94594595","96.66666667","8.046778989","20.55555556","21.26436782","22.66666667","23.44827586","26.66666667","27.5862069","8.940865543","9.249171252","49.33333333","51.03448276"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00014","","","","1","3.2923338","1.9750674","0.8976457","16.3","50.99","3.1784773","4.340776","2","40","78","29","29","30","28","1","9","3.3929472","1","64.6863556","3","31.96705236","5","8","9.4082327","7","4","7.5","4.9","39","12.4","51.4","118","0.1875","0.062820513","0.105084746","4.068965517","3.933333333","1.379310345","1.333333333","0.427586207","0.413333333","1.344827586","1.3","33.89830508","24.12451362","96.66666667","3.963914493","8.333333333","8.620689655","13.77777778","14.25287356","43.33333333","44.82758621","4.404349437","4.556223555","57.11111111","59.08045977"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00015","","","","2","4.8292723","2.0708842","0.8626213","15.1","50.87","5.0354614","6.8964882","1","37","71","15","15","30","15","4","9","3.702672","3","60.6913261","5","29.68350698","4","8","7.0838165","6","4","10.2","5.3","38.8","15.5","54.3","108","0.275675676","0.074647887","0.143518519","7.2","3.6","2.466666667","1.233333333","1.033333333","0.516666667","2.586666667","1.293333333","34.25925926","28.54511971","50","4.600943582","11.33333333","22.66666667","17.22222222","34.44444444","43.11111111","86.22222222","5.112159535","10.22431907","60.33333333","120.6666667"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00016","","","","2","3.8611462","1.663494","0.7269031","18.1","50.65","4.3435616","6.0234861","4","17","59","30","30","30","28","5","3","2.6849031","1","65.5520935","3","35.73543929","5","5","2.8927867","7","3","2.3","3.2","27","5.5","32.5","76","0.135294118","0.054237288","0.072368421","2.533333333","2.533333333","0.566666667","0.566666667","0.183333333","0.183333333","0.9","0.9","22.36842105","16.92307692","100","1.965449161","2.555555556","2.555555556","6.111111111","6.111111111","30","30","2.183832401","2.183832401","36.11111111","36.11111111"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00017","","","","3","8.2021999","1.7960043","0.7055616","15.3","50.05","6.5847268","9.0126505","2","53","94","25","25","30","25","4","8","2.0311306","4","61.5065117","3","30.56943057","5","8","4.2117085","6","3","14.3","7.8","48","22.1","70.1","147","0.269811321","0.082978723","0.150340136","5.88","4.9","2.12","1.766666667","0.884","0.736666667","1.92","1.6","36.05442177","31.52639087","83.33333333","6.755844156","15.88888889","19.06666667","24.55555556","29.46666667","53.33333333","64","7.506493506","9.007792208","77.88888889","93.46666667"
"","","GHP2014EJR-AT01","","","","","","","","","GHP2014EJR-AT01-00018","","","","3","5.9223199","1.9756221","0.8692296","17","50.82","3.2434537","4.4071641","1","66","33","15","15","30","14","3","9","2.8796935","2","62.8813019","8","33.45139709","5","7","9.5237341","6","3","14.6","2.1","23","16.7","39.7","99","0.221212121","0.063636364","0.168686869","6.6","3.3","4.4","2.2","1.113333333","0.556666667","1.533333333","0.766666667","66.66666667","42.06549118","50","5.586383314","16.22222222","32.44444444","18.55555556","37.11111111","25.55555556","51.11111111","6.207092571","12.41418514","44.11111111","88.22222222"
