"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00011","","","","45","8","4","35","35","45","52","8","3","9.1","4","4","2","2","3","200","42.6","11","20.1","97","0.177777778","0.057692308","0.113402062","2.771428571","2.155555556","1.285714286","1","0.314285714","0.244444444","0.26","0.202222222","46.39175258","54.72636816","77.77777778","21.3","2.343","5.925925926","7.619047619","8.148148148","10.47619048","6.740740741","8.666666667","1.735555556","2.231428571","14.88888889","19.14285714"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00012","","","","45","4","8","34","6","0","9","0","0.5","41.2","1","2","1","2","2","200","58","0.5","41.7","9","","0.055555556","0.055555556","0.264705882","0.2","0","0","0.014705882","0.011111111","1.211764706","0.915555556","0","1.199040767","75.55555556","29","0.145","0","0","0.37037037","0.490196078","30.51851852","40.39215686","0.107407407","0.142156863","30.88888889","40.88235294"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00013","","","","45","6","6","40","40","95","105","16","5.9","12.5","4","4","2","2","2","200","35.8","21.9","34.4","200","0.168421053","0.056190476","0.1095","5","4.444444444","2.375","2.111111111","0.5475","0.486666667","0.3125","0.277777778","47.5","63.6627907","88.88888889","17.9","3.9201","11.85185185","13.33333333","16.22222222","18.25","9.259259259","10.41666667","2.903777778","3.26675","25.48148148","28.66666667"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00014","","","","45","9","3","12","12","13","28","2.3","1.4","2.8","4","4","1","2","2","200","43.8","3.7","6.5","41","0.176923077","0.05","0.090243902","3.416666667","0.911111111","1.083333333","0.288888889","0.308333333","0.082222222","0.233333333","0.062222222","31.70731707","56.92307692","26.66666667","21.9","0.8103","1.703703704","6.388888889","2.740740741","10.27777778","2.074074074","7.777777778","0.600222222","2.250833333","4.814814815","18.05555556"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00015","","","","45","7","6","40","40","52","35","17","1.9","22.4","5","4","2","1","2","200","56.1","18.9","41.3","87","0.326923077","0.054285714","0.217241379","2.175","1.933333333","1.3","1.155555556","0.4725","0.42","0.56","0.497777778","59.77011494","45.76271186","88.88888889","28.05","5.30145","12.59259259","14.16666667","14","15.75","16.59259259","18.66666667","3.927","4.417875","30.59259259","34.41666667"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00016","","","","45","5","8","32","21","5","30","1","1.4","41.1","2","2","1","1","2","200","66.9","2.4","43.5","35","0.2","0.046666667","0.068571429","1.09375","0.777777778","0.15625","0.111111111","0.075","0.053333333","1.284375","0.913333333","14.28571429","5.517241379","71.11111111","33.45","0.8028","0.740740741","1.041666667","1.777777778","2.5","30.44444444","42.8125","0.594666667","0.83625","32.22222222","45.3125"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00017","","","","45","8","4","37","35","54","67","13.8","4.6","17.9","4","4","1","2","2","200","53.7","18.4","36.3","121","0.255555556","0.068656716","0.152066116","3.27027027","2.688888889","1.459459459","1.2","0.497297297","0.408888889","0.483783784","0.397777778","44.62809917","50.68870523","82.22222222","26.85","4.9404","10.22222222","12.43243243","13.62962963","16.57657658","13.25925926","16.12612613","3.659555556","4.450810811","26.88888889","32.7027027"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00018","","","","45","7","6","26","26","23","118","3.8","3","5.4","3","4","2","1","2","200","69","6.8","12.2","141","0.165217391","0.025423729","0.04822695","5.423076923","3.133333333","0.884615385","0.511111111","0.261538462","0.151111111","0.207692308","0.12","16.31205674","55.73770492","57.77777778","34.5","2.346","2.814814815","4.871794872","5.037037037","8.717948718","4","6.923076923","1.737777778","3.007692308","9.037037037","15.64102564"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00019","","","","45","8","6","38","28","19","48","4.3","2.3","23.3","3","4","1","1","2","200","58.2","6.6","29.9","67","0.226315789","0.047916667","0.098507463","1.763157895","1.488888889","0.5","0.422222222","0.173684211","0.146666667","0.613157895","0.517777778","28.35820896","22.0735786","84.44444444","29.1","1.9206","3.185185185","3.771929825","4.888888889","5.789473684","17.25925926","20.43859649","1.422666667","1.684736842","22.14814815","26.22807018"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00020","","","","45","7","7","41","34","19","82","2","2.9","20.6","2","4","2","2","2","200","68","4.9","25.5","101","0.105263158","0.035365854","0.048514851","2.463414634","2.244444444","0.463414634","0.422222222","0.119512195","0.108888889","0.502439024","0.457777778","18.81188119","19.21568627","91.11111111","34","1.666","1.481481481","1.62601626","3.62962963","3.983739837","15.25925926","16.74796748","1.234074074","1.354471545","18.88888889","20.73170732"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00021","","","","45","6","7","33","33","90","129","19.1","9.2","14.2","4","5","2","1","2","200","36","28.3","42.5","219","0.212222222","0.071317829","0.129223744","6.636363636","4.866666667","2.727272727","2","0.857575758","0.628888889","0.43030303","0.315555556","41.09589041","66.58823529","73.33333333","18","5.094","14.14814815","19.29292929","20.96296296","28.58585859","10.51851852","14.34343434","3.773333333","5.145454545","31.48148148","42.92929293"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00022","","","","45","6","7","42","36","26","56","5.5","4.1","26.3","3","4","1","2","2","200","61.7","9.6","35.9","82","0.211538462","0.073214286","0.117073171","1.952380952","1.822222222","0.619047619","0.577777778","0.228571429","0.213333333","0.626190476","0.584444444","31.70731707","26.74094708","93.33333333","30.85","2.9616","4.074074074","4.365079365","7.111111111","7.619047619","19.48148148","20.87301587","2.193777778","2.35047619","26.59259259","28.49206349"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00023","","","","45","5","7","33","32","36","134","6.9","5.8","15.6","3","4","1","2","2","200","65.8","12.7","28.3","170","0.191666667","0.043283582","0.074705882","5.151515152","3.777777778","1.090909091","0.8","0.384848485","0.282222222","0.472727273","0.346666667","21.17647059","44.87632509","73.33333333","32.9","4.1783","5.111111111","6.96969697","9.407407407","12.82828283","11.55555556","15.75757576","3.095037037","4.220505051","20.96296296","28.58585859"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00024","","","","45","6","7","31","4","2","0","0.5","0","34.3","1","3","1","2","","200","58.4","0.5","34.8","2","0.25","","0.25","0.064516129","0.044444444","0.064516129","0.044444444","0.016129032","0.011111111","1.106451613","0.762222222","100","1.436781609","68.88888889","29.2","0.146","0.37037037","0.537634409","0.37037037","0.537634409","25.40740741","36.88172043","0.108148148","0.156989247","25.77777778","37.41935484"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00025","","","","45","4","8","37","7","0","7","0","0.5","28.7","1","1","1","2","","200","72.7","0.5","29.2","7","","0.071428571","0.071428571","0.189189189","0.155555556","0","0","0.013513514","0.011111111","0.775675676","0.637777778","0","1.712328767","82.22222222","36.35","0.18175","0","0","0.37037037","0.45045045","21.25925926","25.85585586","0.13462963","0.163738739","21.62962963","26.30630631"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00026","","","","45","8","4","24","23","37","24","7.5","1.3","5.9","4","4","1","2","2","200","41","8.8","14.7","61","0.202702703","0.054166667","0.144262295","2.541666667","1.355555556","1.541666667","0.822222222","0.366666667","0.195555556","0.245833333","0.131111111","60.6557377","59.86394558","53.33333333","20.5","1.804","5.555555556","10.41666667","6.518518519","12.22222222","4.37037037","8.194444444","1.336296296","2.505555556","10.88888889","20.41666667"
