"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00001","","","","4","5.86","2.09","0.55","17.1","50.65","1.87","0.66","1","15","16","34","24","34","15","2","2","2.31","2","69.4","5","5","8.91","5","6","6","3.6","1","9.5","4.6","14.1","31","0.24","0.0625","0.148387097","1.291666667","0.911764706","0.625","0.441176471","0.191666667","0.135294118","0.395833333","0.279411765","48.38709677","32.62411348","70.58823529","33.76110563","1.553010859","3.529411765","5","4.509803922","6.388888889","9.31372549","13.19444444","1.522559666","2.156959526","13.82352941","19.58333333"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00010","","","","2","13.52","2.23","0.54","18.3","50.17","0.02","1.8","1","10","44","34","29","34","24","5","2","1.8","4","68.66","3","2","13.53","4","2","4","1.2","2.3","4.5","3.5","8","54","0.12","0.052272727","0.064814815","1.862068966","1.588235294","0.344827586","0.294117647","0.120689655","0.102941176","0.155172414","0.132352941","18.51851852","43.75","85.29411765","36.47598166","1.276659358","1.176470588","1.379310345","3.431372549","4.022988506","4.411764706","5.172413793","1.251626822","1.46742455","7.843137255","9.195402299"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00011","","","","3","11.46","2.33","0.33","20.6","50.6","0.25","2.12","1","6","22","34","15","34","10","5","2","1.98","3","69.56","4","2","11.59","4","3","5","0.7","1","9","1.7","10.7","28","0.116666667","0.045454545","0.060714286","1.866666667","0.823529412","0.4","0.176470588","0.113333333","0.05","0.6","0.264705882","21.42857143","15.88785047","44.11764706","40.71146245","0.692094862","0.68627451","1.555555556","1.666666667","3.777777778","8.823529412","20","0.678524374","1.537988581","10.49019608","23.77777778"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00012","","","","2","5.55","1.74","0.35","15.3","50.17","2.35","1.12","1","45","40","34","24","34","23","3","2","1.06","2","66.96","6","8","12.38","6","3","4","10.7","2.6","13.5","13.3","26.8","85","0.237777778","0.065","0.156470588","3.541666667","2.5","1.875","1.323529412","0.554166667","0.391176471","0.5625","0.397058824","52.94117647","49.62686567","70.58823529","30.49631254","4.056009567","10.49019608","14.86111111","13.03921569","18.47222222","13.23529412","18.75","3.976479968","5.633346621","26.2745098","37.22222222"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00013","","","","4","4.4","1.96","0.42","18","50.59","0.44","1.48","1","10","95","34","29","34","28","2","6","1.35","4","68.62","4","2","8.72","5","3","4","1.2","4.3","11.5","5.5","17","105","0.12","0.045263158","0.052380952","3.620689655","3.088235294","0.344827586","0.294117647","0.189655172","0.161764706","0.396551724","0.338235294","9.523809524","32.35294118","85.29411765","35.58015418","1.95690848","1.176470588","1.379310345","5.392156863","6.32183908","11.2745098","13.2183908","1.918537725","2.249320092","16.66666667","19.54022989"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00014","","","","3","1.67","1.72","0.33","20.2","50.7","0.17","1.91","1","18","53","34","24","34","20","1","2","1.62","1","73.82","4","4","8.73","4","3","4","3.2","2.9","11","6.1","17.1","71","0.177777778","0.054716981","0.085915493","2.958333333","2.088235294","0.75","0.529411765","0.254166667","0.179411765","0.458333333","0.323529412","25.35211268","35.67251462","70.58823529","39.84220907","2.430374753","3.137254902","4.444444444","5.980392157","8.472222222","10.78431373","15.27777778","2.382720347","3.375520491","16.76470588","23.75"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00015","","","","4","1.36","1.97","0.48","17.1","50.04","0.12","1.44","1","9","20","34","17","34","10","4","6","2.79","2","73.47","5","4","8.13","6","3","3","1.5","1.2","16.5","2.7","19.2","29","0.166666667","0.06","0.093103448","1.705882353","0.852941176","0.529411765","0.264705882","0.158823529","0.079411765","0.970588235","0.485294118","31.03448276","14.0625","50","34.17266187","0.922661871","1.470588235","2.941176471","2.647058824","5.294117647","16.17647059","32.35294118","0.904570461","1.809140923","18.82352941","37.64705882"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00016","","","","2","13.15","2.62","0.59","18.8","50.51","0.39","0.94","1","12","43","34","23","34","18","3","8","2.13","1","66.56","4","4","13.31","6","2","3","1.9","2","24.5","3.9","28.4","55","0.158333333","0.046511628","0.070909091","2.391304348","1.617647059","0.52173913","0.352941176","0.169565217","0.114705882","1.065217391","0.720588235","21.81818182","13.73239437","67.64705882","37.22035241","1.451593744","1.862745098","2.753623188","3.823529412","5.652173913","24.01960784","35.50724638","1.423131121","2.103759049","27.84313725","41.15942029"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00017","","","","3","10.66","1.83","0.3","18.7","50.2","0.55","1.25","1","49","70","34","24","34","23","2","2","0.8","4","72.03","5","6","12.06","6","3","4","11.6","4.8","12","16.4","28.4","119","0.236734694","0.068571429","0.137815126","4.958333333","3.5","2.041666667","1.441176471","0.683333333","0.482352941","0.5","0.352941176","41.17647059","57.74647887","70.58823529","37.25099602","6.109163347","11.37254902","16.11111111","16.07843137","22.77777778","11.76470588","16.66666667","5.98937583","8.484949093","27.84313725","39.44444444"
"","","GHP2012OHW-AT03","","","","","","","","","GHP2012OHW-AT03-00018","","","","2","4.28","1.95","0.39","17.4","50.4","0.33","1.42","1","25","130","34","26","34","25","2","8","1.92","2","69.8","4","5","12.52","5","2","4","4.4","5.4","13","9.8","22.8","155","0.176","0.041538462","0.063225806","5.961538462","4.558823529","0.961538462","0.735294118","0.376923077","0.288235294","0.5","0.382352941","16.12903226","42.98245614","76.47058824","34.52380952","3.383333333","4.31372549","5.641025641","9.607843137","12.56410256","12.74509804","16.66666667","3.316993464","4.337606838","22.35294118","29.23076923"
