"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00001","","","","44.746254","2.218864","1.168479","6.1541591","8.927598","5","5","30","28","28","28","87","60","7","6","3.4131529","6","48.5674973","7","18.0990099","3","3","18.1337032","8","3","1","22.5","2.5","29.5","25","54.5","147","0.25862069","0.041666667","0.170068027","5.25","3.107142857","0.892857143","1.053571429","59.18367347","45.87155963","4.524752475","26.78571429","29.76190476","35.11904762","5.386610089","64.88095238","4.9","2.9","0.833333333","0.983333333","93.33333333","25","27.77777778","32.77777778","5.02750275","60.55555556"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00010","","","","21.770668","2.3033299","1.229486","2.2687709","3.8410511","5","5","30","18","9","6","4","2","7","3","6.0091929","6","65.5870056","8","28.42689942","5","7","8.3984537","5","6","1","0.6","0.1","2.5","0.7","3.2","6","0.15","0.05","0.116666667","0.666666667","0.444444444","0.077777778","0.277777778","66.66666667","21.875","0.198988296","2.222222222","2.592592593","9.259259259","0.736993689","11.85185185","0.2","0.133333333","0.023333333","0.083333333","30","0.666666667","0.777777778","2.777777778","0.221098107","3.555555556"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00011","","","","0","1.43411","0.702494","0.944983","1.589554","5","5","30","27","11","11","18","","4","3","3.4718001","5","72.1569824","6","36.64288545","3","3","9.1538048","7","4","1","4.7","","10.5","","","","0.261111111","","","","1.636363636","","0.954545455","","","","14.24242424","","31.81818182","","","","0.6","","0.35","36.66666667","5.222222222","","11.66666667","",""
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00012","","","","","","","","","3","5","30","30","19","19","40","8","","","","5","","5","","3","3","","6","3","3","14.2","0.3","11","14.5","25.5","48","0.355","0.0375","0.302083333","2.526315789","2.105263158","0.763157895","0.578947368","83.33333333","56.8627451","","24.9122807","25.43859649","19.29824561","","44.73684211","1.6","1.333333333","0.483333333","0.366666667","63.33333333","15.77777778","16.11111111","12.22222222","","28.33333333"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00013","","","","0","1.623247","0.769418","0.896021","1.688347","3","3","30","30","23","23","31","49","2","8","2.9304349","4","73.7329483","6","32.51789976","3","3","12.0232925","6","4","3","4.4","1.9","21.5","6.3","27.8","80","0.141935484","0.03877551","0.07875","3.47826087","1.347826087","0.273913043","0.934782609","38.75","22.6618705","2.048627685","6.376811594","9.130434783","31.15942029","2.96902563","40.28985507","2.666666667","1.033333333","0.21","0.716666667","76.66666667","4.888888889","7","23.88888889","2.276252983","30.88888889"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00014","","","","0","2.1196909","0.888994","0.626189","1.567638","3","1","30","30","18","13","11","11","3","8","4.015974","4","72.4645081","9","42.4278607","5","5","10.6753941","7","3","1","2.4","0.5","25","2.9","27.9","22","0.218181818","0.045454545","0.131818182","1.222222222","0.611111111","0.161111111","1.388888889","50","10.39426523","1.23040796","4.444444444","5.37037037","46.2962963","2.27853326","51.66666667","0.733333333","0.366666667","0.096666667","0.833333333","60","2.666666667","3.222222222","27.77777778","1.367119956","31"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00015","","","","0","1.709779","0.844351","0","0.402124","5","3","30","23","12","9","5","4","2","8","3.0488801","4","73.2818985","14","38.86904762","3","5","11.8891344","6","6","4","0.8","0.1","14","0.9","14.9","9","0.16","0.025","0.1","0.75","0.416666667","0.075","1.166666667","55.55555556","6.040268456","0.349821429","2.222222222","2.5","38.88888889","0.971726191","41.38888889","0.3","0.166666667","0.03","0.466666667","40","0.888888889","1","15.55555556","0.388690476","16.55555556"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00016","","","","0","1.466881","0.706744","2.524802","3.8690031","3","3","30","30","21","21","73","27","2","7","2.5062029","4","69.7265396","6","32.19028741","3","1","11.9010487","6","3","4","22.2","1.2","24.5","23.4","47.9","100","0.304109589","0.044444444","0.234","4.761904762","3.476190476","1.114285714","1.166666667","73","48.85177453","7.532527254","35.23809524","37.14285714","38.88888889","11.95639247","76.03174603","3.333333333","2.433333333","0.78","0.816666667","70","24.66666667","26","27.22222222","8.369474727","53.22222222"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00017","","","","0","1.609138","0.66003","0.892139","1.660735","5","5","30","29","24","24","39","32","6","5","2.5855689","5","73.2787323","6","33.20031923","3","3","10.8762598","9","3","1","8.6","1.6","20","10.2","30.2","71","0.220512821","0.05","0.143661972","2.958333333","1.625","0.425","0.833333333","54.92957746","33.77483444","3.386432561","11.94444444","14.16666667","27.77777778","4.703378558","41.94444444","2.366666667","1.3","0.34","0.666666667","80","9.555555556","11.33333333","22.22222222","3.762702846","33.55555556"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00018","","","","0","1.448045","0.546773","0.734684","1.209062","5","5","30","30","26","26","60","10","4","3","3.3071611","5","75.5414734","6","39.35394918","3","3","10.7206717","6","3","1","20.4","0.6","21.5","21","42.5","70","0.34","0.06","0.3","2.692307692","2.307692308","0.807692308","0.826923077","85.71428571","49.41176471","8.264329328","26.15384615","26.92307692","27.56410256","10.59529401","54.48717949","2.333333333","2","0.7","0.716666667","86.66666667","22.66666667","23.33333333","23.88888889","9.182588142","47.22222222"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00019","","","","27.6343422","1.967067","1.039965","3.408776","4.770359","5","5","30","30","15","14","7","14","7","3","4.848536","5","65.5385208","8","26.65080309","5","5","6.5809002","6","5","3","0.8","0.4","2.5","1.2","3.7","21","0.114285714","0.028571429","0.057142857","1.4","0.466666667","0.08","0.166666667","33.33333333","32.43243243","0.319809637","1.777777778","2.666666667","5.555555556","0.710688082","8.222222222","0.7","0.233333333","0.04","0.083333333","50","0.888888889","1.333333333","2.777777778","0.355344041","4.111111111"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00002","","","","0","1.4755","0.619964","0.415035","1.059291","5","5","30","30","27","27","41","6","4","3","3.9246809","5","74.2278976","6","34.91812981","3","3","12.4934998","7","3","3","15.3","0.3","32","15.6","47.6","47","0.373170732","0.05","0.331914894","1.740740741","1.518518519","0.577777778","1.185185185","87.23404255","32.77310924","5.44722825","18.88888889","19.25925926","39.50617284","6.724973149","58.7654321","1.566666667","1.366666667","0.52","1.066666667","90","17","17.33333333","35.55555556","6.052475834","52.88888889"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00020","","","","39.9412498","1.8048069","0.87705","4.69695","6.598074","5","5","30","30","23","23","64","46","7","6","2.279778","6","55.2922859","6","20.5229794","3","3","19.5992851","6","3","3","21.5","2.1","15.5","23.6","39.1","110","0.3359375","0.045652174","0.214545455","4.782608696","2.782608696","1.026086957","0.673913043","58.18181818","60.35805627","4.843423138","31.15942029","34.20289855","22.46376812","7.019453824","56.66666667","3.666666667","2.133333333","0.786666667","0.516666667","76.66666667","23.88888889","26.22222222","17.22222222","5.381581265","43.44444444"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00021","","","","","","","","","7","1","30","28","12","7","","10","","","","4","","9","","5","7","","6","6","3","","0.4","9.5","","","","","0.04","","","","","0.791666667","","","","","","26.38888889","","","","","","0.316666667","40","","","10.55555556","",""
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00022","","","","0","1.503361","0.716566","1.130782","1.996729","5","3","30","25","12","8","12","4","5","3","3.102999","5","72.718071","6","38.40463814","3","3","10.1191311","5","4","3","2.6","0.2","13.5","2.8","16.3","16","0.216666667","0.05","0.175","1.333333333","1","0.233333333","1.125","75","17.17791411","1.075329868","7.222222222","7.777777778","37.5","2.987027411","45.27777778","0.533333333","0.4","0.093333333","0.45","40","2.888888889","3.111111111","15","1.194810964","18.11111111"
"","","GHP2017FMS-ST01","","","","","","","","","GHP2017FMS-ST01-00023","","","","0.0114155","1.911958","0.927725","1.7036231","3.254545","5","5","30","26","13","11","10","6","6","8","4.841393","6","69.0378876","8","34.84818416","5","5","9.8491211","5","6","3","2","0.3","11.5","2.3","13.8","16","0.2","0.05","0.14375","1.230769231","0.769230769","0.176923077","0.884615385","62.5","16.66666667","0.801508236","5.128205128","5.897435897","29.48717949","2.055149322","35.38461538","0.533333333","0.333333333","0.076666667","0.383333333","43.33333333","2.222222222","2.555555556","12.77777778","0.890564706","15.33333333"
