"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00001","","","","2","20.3","50.8","0.309307","1.137569","1","29","41","34","26","34","24","1","1","72.3957748","6","4","4","5.6","2.4","14.5","8","22.5","70","0.193103448","0.058536585","0.114285714","2.692307692","2.058823529","1.115384615","0.852941176","0.307692308","0.235294118","0.557692308","0.426470588","41.42857143","35.55555556","76.47058824","39.96062992","3.196850394","5.490196078","7.179487179","7.843137255","10.25641026","14.21568627","18.58974359","3.134167053","4.098526146","22.05882353","28.84615385"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00010","","","","4","19.4","50.7","0.536208","2.2507789","1","18","16","34","25","34","24","3","2","68.0820541","7","4","4","4.7","1","7.6","5.7","13.3","34","0.261111111","0.0625","0.167647059","1.36","1","0.72","0.529411765","0.228","0.167647059","0.304","0.223529412","52.94117647","42.85714286","73.52941176","38.2642998","2.181065089","4.607843137","6.266666667","5.588235294","7.6","7.450980392","10.13333333","2.138299107","2.908086785","13.03921569","17.73333333"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00011","","","","3","19.4","50.2","0.050771","1.381718","1","5","48","34","22","34","9","3","1","69.1429825","6","3","3","1.3","1.8","17","3.1","20.1","53","0.26","0.0375","0.058490566","2.409090909","1.558823529","0.227272727","0.147058824","0.140909091","0.091176471","0.772727273","0.5","9.433962264","15.42288557","64.70588235","38.64541833","1.198007968","1.274509804","1.96969697","3.039215686","4.696969697","16.66666667","25.75757576","1.174517616","1.815163588","19.70588235","30.45454545"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00012","","","","3","19.4","50.5","0.058767","1.792061","1","24","39","32","24","34","22","5","3","70.3950653","5","5","4","4.4","2","10.2","6.4","16.6","63","0.183333333","0.051282051","0.101587302","2.625","1.852941176","1","0.705882353","0.266666667","0.188235294","0.425","0.3","38.0952381","38.55421687","70.58823529","38.41584158","2.458613861","4.31372549","6.111111111","6.274509804","8.888888889","10","14.16666667","2.410405746","3.414741474","16.2745098","23.05555556"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00013","","","","4","17.8","50","1.290858","3.2043431","1","20","54","33","29","34","29","4","2","62.8215218","5","3","3","2.6","3.2","15.5","5.8","21.3","74","0.13","0.059259259","0.078378378","2.551724138","2.176470588","0.689655172","0.588235294","0.2","0.170588235","0.534482759","0.455882353","27.02702703","27.23004695","85.29411765","35.6","2.0648","2.549019608","2.988505747","5.68627451","6.666666667","15.19607843","17.81609195","2.024313725","2.373333333","20.88235294","24.48275862"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00014","","","","3","16.8","50.6","0.595097","1.851843","1","28","52","34","30","34","30","6","3","62.3376961","7","4","4","6.3","3.7","9.8","10","19.8","80","0.225","0.071153846","0.125","2.666666667","2.352941176","0.933333333","0.823529412","0.333333333","0.294117647","0.326666667","0.288235294","35","50.50505051","88.23529412","33.20158103","3.320158103","6.176470588","7","9.803921569","11.11111111","9.607843137","10.88888889","3.255056963","3.689064559","19.41176471","22"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00015","","","","4","20","50.1","0.693416","2.4492409","1","20","8","34","28","34","25","3","1","67.2914886","6","4","4","5.6","0.5","11","6.1","17.1","28","0.28","0.0625","0.217857143","1","0.823529412","0.714285714","0.588235294","0.217857143","0.179411765","0.392857143","0.323529412","71.42857143","35.67251462","82.35294118","39.92015968","2.435129741","5.490196078","6.666666667","5.980392157","7.261904762","10.78431373","13.0952381","2.387382099","2.898963977","16.76470588","20.35714286"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00016","","","","4","18.6","50.5","0.808187","2.6993749","1","15","44","34","26","34","26","4","3","65.0656891","4","4","4","2.3","2.5","13","4.8","17.8","59","0.153333333","0.056818182","0.081355932","2.269230769","1.735294118","0.576923077","0.441176471","0.184615385","0.141176471","0.5","0.382352941","25.42372881","26.96629213","76.47058824","36.83168317","1.767920792","2.254901961","2.948717949","4.705882353","6.153846154","12.74509804","16.66666667","1.733255679","2.266565118","17.45098039","22.82051282"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00017","","","","5","20.5","50.8","0.236753","1.426409","1","21","40","34","23","34","22","5","2","68.7332077","5","5","5","4","2.1","8.5","6.1","14.6","61","0.19047619","0.0525","0.1","2.652173913","1.794117647","0.913043478","0.617647059","0.265217391","0.179411765","0.369565217","0.25","34.42622951","41.78082192","67.64705882","40.35433071","2.461614173","3.921568627","5.797101449","5.980392157","8.84057971","8.333333333","12.31884058","2.413347229","3.567556773","14.31372549","21.15942029"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00018","","","","3","15.6","50.2","0.719046","2.3624051","1","19","48","34","29","34","28","5","3","61.4647102","6","4","3","4","3.3","8.7","7.3","16","67","0.210526316","0.06875","0.108955224","2.310344828","1.970588235","0.655172414","0.558823529","0.251724138","0.214705882","0.3","0.255882353","28.35820896","45.625","85.29411765","31.07569721","2.268525896","3.921568627","4.597701149","7.156862745","8.390804598","8.529411765","10","2.224044996","2.60750103","15.68627451","18.3908046"
