"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00001","","","","2","19.6","50.6","1.425006","3.295455","2","32","26","34","30","34","27","3","3","65.8548203","4","4","4","6.2","1.4","29","7.6","36.6","58","0.19375","0.053846154","0.131034483","1.933333333","1.705882353","1.066666667","0.941176471","0.253333333","0.223529412","0.966666667","0.852941176","55.17241379","20.76502732","88.23529412","38.73517787","2.943873518","6.078431373","6.888888889","7.450980392","8.444444444","28.43137255","32.22222222","2.886150508","3.270970575","35.88235294","40.66666667"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00010","","","","3","21","50.1","0.518457","2.1596119","2","27","25","34","29","34","21","2","2","67.6750107","6","3","1","7","1.8","32.5","8.8","41.3","52","0.259259259","0.072","0.169230769","1.793103448","1.529411765","0.931034483","0.794117647","0.303448276","0.258823529","1.120689655","0.955882353","51.92307692","21.30750605","85.29411765","41.91616766","3.688622754","6.862745098","8.045977011","8.62745098","10.11494253","31.8627451","37.35632184","3.616296818","4.23979627","40.49019608","47.47126437"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00011","","","","2","16","50.9","3.038449","5.1801639","1","25","67","34","28","34","27","4","2","64.8707123","5","5","5","5.4","2.7","23","8.1","31.1","92","0.216","0.040298507","0.088043478","3.285714286","2.705882353","0.892857143","0.735294118","0.289285714","0.238235294","0.821428571","0.676470588","27.17391304","26.04501608","82.35294118","31.43418468","2.546168959","5.294117647","6.428571429","7.941176471","9.642857143","22.54901961","27.38095238","2.496244077","3.031153522","30.49019608","37.02380952"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00012","","","","3","16.1","50.7","2.942858","4.7842312","2","58","75","34","28","34","28","5","2","63.2748299","6","1","1","15.7","4.8","23.5","20.5","44","133","0.270689655","0.064","0.154135338","4.75","3.911764706","2.071428571","1.705882353","0.732142857","0.602941176","0.839285714","0.691176471","43.60902256","46.59090909","82.35294118","31.75542406","6.509861933","15.39215686","18.69047619","20.09803922","24.4047619","23.03921569","27.97619048","6.382217581","7.749835634","43.1372549","52.38095238"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00013","","","","3","20.2","50.7","1.454451","3.624608","2","22","29","34","25","34","22","4","1","65.5952072","5","4","4","3.3","0.9","27","4.2","31.2","51","0.15","0.031034483","0.082352941","2.04","1.5","0.88","0.647058824","0.168","0.123529412","1.08","0.794117647","43.1372549","13.46153846","73.52941176","39.84220907","1.673372781","3.235294118","4.4","4.117647059","5.6","26.47058824","36","1.64056155","2.231163708","30.58823529","41.6"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00014","","","","2","18.2","50.5","2.416189","4.2967949","2","73","60","34","30","34","30","5","3","66.9157639","5","3","3","14.4","4.6","20","19","39","133","0.197260274","0.076666667","0.142857143","4.433333333","3.911764706","2.433333333","2.147058824","0.633333333","0.558823529","0.666666667","0.588235294","54.88721805","48.71794872","88.23529412","36.03960396","6.847524752","14.11764706","16","18.62745098","21.11111111","19.60784314","22.22222222","6.713259561","7.608360836","38.23529412","43.33333333"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00015","","","","2","13.9","50.5","3.8187759","6.4609642","2","45","34","34","28","34","28","6","2","60.7393684","5","1","1","10","2.6","18.5","12.6","31.1","79","0.222222222","0.076470588","0.159493671","2.821428571","2.323529412","1.607142857","1.323529412","0.45","0.370588235","0.660714286","0.544117647","56.96202532","40.51446945","82.35294118","27.52475248","3.468118812","9.803921569","11.9047619","12.35294118","15","18.1372549","22.02380952","3.400116482","4.128712871","30.49019608","37.02380952"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00016","","","","2","19.3","50.7","1.1727819","3.0460491","1","40","20","34","30","34","28","5","1","70.2220001","6","1","1","7.8","1.7","42","9.5","51.5","60","0.195","0.085","0.158333333","2","1.764705882","1.333333333","1.176470588","0.316666667","0.279411765","1.4","1.235294118","66.66666667","18.44660194","88.23529412","38.06706114","3.616370809","7.647058824","8.666666667","9.31372549","10.55555556","41.17647059","46.66666667","3.545461577","4.018189787","50.49019608","57.22222222"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00017","","","","2","16.7","51","2.260633","4.2576919","3","23","40","34","25","34","24","4","3","65.670929","4","7","7","3.4","2.6","16.5","6","22.5","63","0.147826087","0.065","0.095238095","2.52","1.852941176","0.92","0.676470588","0.24","0.176470588","0.66","0.485294118","36.50793651","26.66666667","73.52941176","32.74509804","1.964705882","3.333333333","4.533333333","5.882352941","8","16.17647059","22","1.926182238","2.619607843","22.05882353","30"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00018","","","","1","18.8","50.9","2.7713881","4.839931","2","33","27","34","29","34","27","5","2","67.4734268","5","1","1","6.5","1.8","46.5","8.3","54.8","60","0.196969697","0.066666667","0.138333333","2.068965517","1.764705882","1.137931034","0.970588235","0.286206897","0.244117647","1.603448276","1.367647059","55","15.1459854","85.29411765","36.93516699","3.065618861","6.37254902","7.471264368","8.137254902","9.540229885","45.58823529","53.44827586","3.005508687","3.52369984","53.7254902","62.98850575"
