"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00108","","","","1","1","20","15","10","10","10","10","1","3","3","8","1","1","3.1","0.7","4.4","3.8","8.2","35","0.155","0.046666667","0.108571429","3.5","3.5","2","2","0.38","0.38","0.44","0.44","57.14285714","46.34146341","100","10.33333333","10.33333333","12.66666667","12.66666667","14.66666667","14.66666667","27.33333333","27.33333333"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00109","","","","2","1","15","16","10","10","10","10","2","4","3","6","1","2","2.7","0.8","2.4","3.5","5.9","31","0.18","0.05","0.112903226","3.1","3.1","1.5","1.5","0.35","0.35","0.24","0.24","48.38709677","59.3220339","100","9","9","11.66666667","11.66666667","8","8","19.66666667","19.66666667"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00011","","","","2","3","13","2","10","9","10","9","2","4","3","7","3","1","2","0.1","1.3","2.1","3.4","15","0.153846154","0.05","0.14","1.666666667","1.5","1.444444444","1.3","0.233333333","0.21","0.144444444","0.13","86.66666667","61.76470588","90","6.666666667","7.407407407","7","7.777777778","4.333333333","4.814814815","11.33333333","12.59259259"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00110","","","","4","2","17","16","10","8","10","8","3","2","4","7","2","1","2.3","0.8","1.4","3.1","4.5","33","0.135294118","0.05","0.093939394","4.125","3.3","2.125","1.7","0.3875","0.31","0.175","0.14","51.51515152","68.88888889","80","7.666666667","9.583333333","10.33333333","12.91666667","4.666666667","5.833333333","15","18.75"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00111","","","","2","1","16","24","10","10","10","10","1","4","3","6","2","1","2.3","1","1.8","3.3","5.1","40","0.14375","0.041666667","0.0825","4","4","1.6","1.6","0.33","0.33","0.18","0.18","40","64.70588235","100","7.666666667","7.666666667","11","11","6","6","17","17"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00112","","","","3","1","19","14","10","10","10","10","3","3","3","7","1","1","2.9","0.4","1.4","3.3","4.7","33","0.152631579","0.028571429","0.1","3.3","3.3","1.9","1.9","0.33","0.33","0.14","0.14","57.57575758","70.21276596","100","9.666666667","9.666666667","11","11","4.666666667","4.666666667","15.66666667","15.66666667"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00113","","","","1","1","19","11","10","10","10","10","1","3","4","6","2","2","3.4","0.5","1.1","3.9","5","30","0.178947368","0.045454545","0.13","3","3","1.9","1.9","0.39","0.39","0.11","0.11","63.33333333","78","100","11.33333333","11.33333333","13","13","3.666666667","3.666666667","16.66666667","16.66666667"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00114","","","","2","1","17","28","10","10","10","10","2","3","4","7","2","1","2.4","1.6","1.4","4","5.4","45","0.141176471","0.057142857","0.088888889","4.5","4.5","1.7","1.7","0.4","0.4","0.14","0.14","37.77777778","74.07407407","100","8","8","13.33333333","13.33333333","4.666666667","4.666666667","18","18"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00115","","","","1","1","10","4","9","9","10","8","1","2","4","7","2","1","1.5","0.3","3.1","1.8","4.9","14","0.15","0.075","0.128571429","1.555555556","1.4","1.111111111","1","0.2","0.18","0.344444444","0.31","71.42857143","36.73469388","90","5","5.555555556","6","6.666666667","10.33333333","11.48148148","16.33333333","18.14814815"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00116","","","","3","1","11","13","10","10","10","10","3","2","4","4","3","5","1.8","0.5","1.4","2.3","3.7","24","0.163636364","0.038461538","0.095833333","2.4","2.4","1.1","1.1","0.23","0.23","0.14","0.14","45.83333333","62.16216216","100","6","6","7.666666667","7.666666667","4.666666667","4.666666667","12.33333333","12.33333333"
