"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00001","","","","","","","","","0","0","1","10","0","","","","","","1","9","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.1","0.01","","0","10","","","0","0","0","0","0.333333333","3.333333333","","","0.333333333","3.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00010","","","","5","","","","","8","31","9","10","8","","4","","1","5","3","7","1.2","0.6","0.9","1.8","2.7","39","0.15","0.019354839","0.046153846","4.333333333","3.9","0.888888889","0.8","0.2","0.18","0.1","0.09","20.51282051","66.66666667","90","","","4","4.444444444","6","6.666666667","3","3.333333333","","","9","10"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00100","","","","5","","","","","8","47","5","10","5","","5","","2","4","5","4","1.8","3.4","1.7","5.2","6.9","55","0.225","0.072340426","0.094545455","11","5.5","1.6","0.8","1.04","0.52","0.34","0.17","14.54545455","75.36231884","50","","","6","12","17.33333333","34.66666667","5.666666667","11.33333333","","","23","46"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00101","","","","5","","","","","0","40","10","10","10","","4","","1","3","6","7","0","3","3.2","3","6.2","40","","0.075","0.075","4","4","0","0","0.3","0.3","0.32","0.32","0","48.38709677","100","","","0","0","10","10","10.66666667","10.66666667","","","20.66666667","20.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00102","","","","3","17.84","50.61","0.999413","2.485909","16","34","10","10","10","4","5","70.3571472","1","6","5","5","4","3.5","2.5","7.5","10","50","0.25","0.102941176","0.15","5","5","1.6","1.6","0.75","0.75","0.25","0.25","32","75","100","35.2499506","2.643746295","13.33333333","13.33333333","25","25","8.333333333","8.333333333","8.812487651","8.812487651","33.33333333","33.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00103","","","","4","17.69","50.3","2.087157","4.109025","12","32","10","10","9","4","3","69.97995","1","4","5","6","4.1","2.8","6.5","6.9","13.4","44","0.341666667","0.0875","0.156818182","4.4","4.4","1.2","1.2","0.69","0.69","0.65","0.65","27.27272727","51.49253731","100","35.16898608","2.42666004","13.66666667","13.66666667","23","23","21.66666667","21.66666667","8.088866799","8.088866799","44.66666667","44.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00104","","","","3","","","","","1","17","10","10","8","","4","","1","2","2","9","0.2","0.8","0.8","1","1.8","18","0.2","0.047058824","0.055555556","1.8","1.8","0.1","0.1","0.1","0.1","0.08","0.08","5.555555556","55.55555556","100","","","0.666666667","0.666666667","3.333333333","3.333333333","2.666666667","2.666666667","","","6","6"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00105","","","","2","","","","","2","18","10","10","9","","3","","1","3","1","9","0.4","1.2","1.5","1.6","3.1","20","0.2","0.066666667","0.08","2","2","0.2","0.2","0.16","0.16","0.15","0.15","10","51.61290323","100","","","1.333333333","1.333333333","5.333333333","5.333333333","5","5","","","10.33333333","10.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00106","","","","3","","","","","2","23","10","10","10","","4","","1","2","1","9","0.4","1.2","1.5","1.6","3.1","25","0.2","0.052173913","0.064","2.5","2.5","0.2","0.2","0.16","0.16","0.15","0.15","8","51.61290323","100","","","1.333333333","1.333333333","5.333333333","5.333333333","5","5","","","10.33333333","10.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00107","","","","2","17.91","50.31","1.633852","3.2077789","7","35","10","10","10","4","3","67.3494186","1","4","5","7","1.8","2.9","3.9","4.7","8.6","42","0.257142857","0.082857143","0.111904762","4.2","4.2","0.7","0.7","0.47","0.47","0.39","0.39","16.66666667","54.65116279","100","35.59928444","1.673166369","6","6","15.66666667","15.66666667","13","13","5.577221228","5.577221228","28.66666667","28.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00108","","","","4","","","","","5","24","10","10","10","","5","","1","4","4","7","0.8","1.9","1","2.7","3.7","29","0.16","0.079166667","0.093103448","2.9","2.9","0.5","0.5","0.27","0.27","0.1","0.1","17.24137931","72.97297297","100","","","2.666666667","2.666666667","9","9","3.333333333","3.333333333","","","12.33333333","12.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00109","","","","4","","","","","2","17","8","10","7","","3","","1","3","2","9","0.5","1.1","0.8","1.6","2.4","19","0.25","0.064705882","0.084210526","2.375","1.9","0.25","0.2","0.2","0.16","0.1","0.08","10.52631579","66.66666667","80","","","1.666666667","2.083333333","5.333333333","6.666666667","2.666666667","3.333333333","","","8","10"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00011","","","","4","","","","","5","7","10","10","8","","3","","1","2","2","8","0.6","0.3","1.1","0.9","2","12","0.12","0.042857143","0.075","1.2","1.2","0.5","0.5","0.09","0.09","0.11","0.11","41.66666667","45","100","","","2","2","3","3","3.666666667","3.666666667","","","6.666666667","6.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00110","","","","4","","","","","13","40","10","10","10","","3","","1","5","4","5","2.5","2.5","1.8","5","6.8","53","0.192307692","0.0625","0.094339623","5.3","5.3","1.3","1.3","0.5","0.5","0.18","0.18","24.52830189","73.52941176","100","","","8.333333333","8.333333333","16.66666667","16.66666667","6","6","","","22.66666667","22.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00111","","","","5","","","","","0","19","10","10","10","","2","","1","1","3","8","0","0.9","1.1","0.9","2","19","","0.047368421","0.047368421","1.9","1.9","0","0","0.09","0.09","0.11","0.11","0","45","100","","","0","0","3","3","3.666666667","3.666666667","","","6.666666667","6.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00112","","","","3","","","","","0","36","10","10","9","","4","","1","2","2","8","0","1.5","1.2","1.5","2.7","36","","0.041666667","0.041666667","3.6","3.6","0","0","0.15","0.15","0.12","0.12","0","55.55555556","100","","","0","0","5","5","4","4","","","9","9"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00113","","","","3","","","","","0","7","9","10","3","","5","","1","2","1","9","0","0.5","0.8","0.5","1.3","7","","0.071428571","0.071428571","0.777777778","0.7","0","0","0.055555556","0.05","0.088888889","0.08","0","38.46153846","90","","","0","0","1.666666667","1.851851852","2.666666667","2.962962963","","","4.333333333","4.814814815"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00114","","","","4","","","","","0","8","10","10","5","","3","","1","1","1","9","0","0.3","1","0.3","1.3","8","","0.0375","0.0375","0.8","0.8","0","0","0.03","0.03","0.1","0.1","0","23.07692308","100","","","0","0","1","1","3.333333333","3.333333333","","","4.333333333","4.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00115","","","","5","","","","","0","13","10","10","3","","3","","1","1","1","9","0","0.3","0.2","0.3","0.5","13","","0.023076923","0.023076923","1.3","1.3","0","0","0.03","0.03","0.02","0.02","0","60","100","","","0","0","1","1","0.666666667","0.666666667","","","1.666666667","1.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00116","","","","4","13.37","50.55","2.387753","4.3131142","9","52","10","10","10","7","5","51.8518143","1","5","4","7","1.7","3.7","1.5","5.4","6.9","61","0.188888889","0.071153846","0.08852459","6.1","6.1","0.9","0.9","0.54","0.54","0.15","0.15","14.75409836","78.26086957","100","26.44906034","1.428249258","5.666666667","5.666666667","18","18","5","5","4.760830861","4.760830861","23","23"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00117","","","","3","","","","","0","22","9","10","5","","2","","1","1","1","9","0","0.8","0.8","0.8","1.6","22","","0.036363636","0.036363636","2.444444444","2.2","0","0","0.088888889","0.08","0.088888889","0.08","0","50","90","","","0","0","2.666666667","2.962962963","2.666666667","2.962962963","","","5.333333333","5.925925926"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00118","","","","6","","","","","4","54","10","10","9","","4","","1","3","4","6","0.8","2.7","2.4","3.5","5.9","58","0.2","0.05","0.060344828","5.8","5.8","0.4","0.4","0.35","0.35","0.24","0.24","6.896551724","59.3220339","100","","","2.666666667","2.666666667","11.66666667","11.66666667","8","8","","","19.66666667","19.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00119","","","","4","","","","","11","10","10","10","6","","2","","1","5","5","7","1.6","0.5","3.2","2.1","5.3","21","0.145454545","0.05","0.1","2.1","2.1","1.1","1.1","0.21","0.21","0.32","0.32","52.38095238","39.62264151","100","","","5.333333333","5.333333333","7","7","10.66666667","10.66666667","","","17.66666667","17.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00012","","","","","","","","","0","0","9","10","0","","","","","","2","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.055555556","0.05","","0","90","","","0","0","0","0","1.666666667","1.851851852","","","1.666666667","1.851851852"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00120","","","","","","","","","0","0","0","10","0","","","","","","6","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00121","","","","4","","","","","5","40","10","10","9","","5","","1","3","5","7","0.7","2.4","1","3.1","4.1","45","0.14","0.06","0.068888889","4.5","4.5","0.5","0.5","0.31","0.31","0.1","0.1","11.11111111","75.6097561","100","","","2.333333333","2.333333333","10.33333333","10.33333333","3.333333333","3.333333333","","","13.66666667","13.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00122","","","","5","","","","","0","20","10","10","7","","3","","1","1","1","9","0","0.7","1","0.7","1.7","20","","0.035","0.035","2","2","0","0","0.07","0.07","0.1","0.1","0","41.17647059","100","","","0","0","2.333333333","2.333333333","3.333333333","3.333333333","","","5.666666667","5.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00123","","","","4","","","","","0","22","9","10","7","","4","","1","1","1","9","0","0.6","0.3","0.6","0.9","22","","0.027272727","0.027272727","2.444444444","2.2","0","0","0.066666667","0.06","0.033333333","0.03","0","66.66666667","90","","","0","0","2","2.222222222","1","1.111111111","","","3","3.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00124","","","","","","","","","0","0","0","10","0","","","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00125","","","","","","","","","0","0","0","10","0","","","","","","2","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00126","","","","4","","","","","2","13","9","10","5","","5","","1","4","5","7","0.8","0.9","0","1.7","1.7","15","0.4","0.069230769","0.113333333","1.666666667","1.5","0.222222222","0.2","0.188888889","0.17","0","0","13.33333333","100","90","","","2.666666667","2.962962963","5.666666667","6.296296296","0","0","","","5.666666667","6.296296296"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00127","","","","6","","","","","2","25","8","10","4","","4","","1","3","4","7","0.4","1.3","1","1.7","2.7","27","0.2","0.052","0.062962963","3.375","2.7","0.25","0.2","0.2125","0.17","0.125","0.1","7.407407407","62.96296296","80","","","1.333333333","1.666666667","5.666666667","7.083333333","3.333333333","4.166666667","","","9","11.25"
