"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00001","","","","3","0","21.3","50.1","0.14","1.47","1","8","6","14","10","14","7","1","1","72.22","42.51497006","6","6","10.44","7","1","1","1.5","0.3","10","1.8","11.8","14","0.1875","0.05","0.128571429","1.4","1","0.8","0.571428571","0.18","0.128571429","1","0.714285714","57.14285714","15.25423729","71.42857143","0.765269461","3.571428571","5","4.285714286","6","23.80952381","33.33333333","1.822070145","2.550898204","28.0952381","39.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00010","","","","2","","","","","","1","0","6","12","7","14","2","","1","","","4","1","","3","7","7","0","0.2","3","0.2","3.2","6","","0.033333333","0.033333333","0.857142857","0.428571429","0","0","0.028571429","0.014285714","0.428571429","0.214285714","0","6.25","50","","0","0","0.476190476","0.952380952","7.142857143","14.28571429","","","7.619047619","15.23809524"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00011","","","","3","0","20.6","50.4","0.9","2.32","1","8","4","14","10","14","9","4","1","72.4","40.87301587","4","4","10.11","4","4","3","1.2","0.4","5.5","1.6","7.1","12","0.15","0.1","0.133333333","1.2","0.857142857","0.8","0.571428571","0.16","0.114285714","0.55","0.392857143","66.66666667","22.53521127","71.42857143","0.653968254","2.857142857","4","3.80952381","5.333333333","13.0952381","18.33333333","1.557067271","2.17989418","16.9047619","23.66666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00012","","","","4","14.71","16.1","50.8","4.62","6.78","1","7","10","14","9","14","7","7","2","63.45","31.69291339","5","5","11.89","4","3","3","1.2","0.6","8","1.8","9.8","17","0.171428571","0.06","0.105882353","1.888888889","1.214285714","0.777777778","0.5","0.2","0.128571429","0.888888889","0.571428571","41.17647059","18.36734694","64.28571429","0.570472441","2.857142857","4.444444444","4.285714286","6.666666667","19.04761905","29.62962963","1.358267717","2.112860892","23.33333333","36.2962963"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00013","","","","1","29.86","13.7","50.6","5.94","8.78","2","24","20","14","8","14","8","7","3","56.13","27.07509881","6","7","12.03","4","5","5","3.6","1.2","5","4.8","9.8","44","0.15","0.06","0.109090909","5.5","3.142857143","3","1.714285714","0.6","0.342857143","0.625","0.357142857","54.54545455","48.97959184","57.14285714","1.299604743","8.571428571","15","11.42857143","20","11.9047619","20.83333333","3.094297007","5.415019763","23.33333333","40.83333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00014","","","","1","","","","","","1","0","1","14","9","14","1","","2","","","2","1","","2","7","7","0","0.1","3.5","0.1","3.6","1","","0.1","0.1","0.111111111","0.071428571","0","0","0.011111111","0.007142857","0.388888889","0.25","0","2.777777778","64.28571429","","0","0","0.238095238","0.37037037","8.333333333","12.96296296","","","8.571428571","13.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00015","","","","3","32.53","13.3","50.1","2.86","6.23","2","12","26","14","10","14","10","8","2","53.51","26.54690619","5","7","21.25","5","1","1","2.2","1.7","5.5","3.9","9.4","38","0.183333333","0.065384615","0.102631579","3.8","2.714285714","1.2","0.857142857","0.39","0.278571429","0.55","0.392857143","31.57894737","41.4893617","71.42857143","1.035329341","5.238095238","7.333333333","9.285714286","13","13.0952381","18.33333333","2.46506986","3.451097804","22.38095238","31.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00016","","","","1","0","18.9","50.4","0.85","2.48","1","10","3","14","10","14","7","5","2","69.41","37.5","5","5","10.61","5","3","1","1.8","0.2","8","2","10","13","0.18","0.066666667","0.153846154","1.3","0.928571429","1","0.714285714","0.2","0.142857143","0.8","0.571428571","76.92307692","20","71.42857143","0.75","4.285714286","6","4.761904762","6.666666667","19.04761905","26.66666667","1.785714286","2.5","23.80952381","33.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00017","","","","2","2.39","19.5","50.6","2.94","5.61","1","6","12","14","10","14","9","4","1","68.9","38.53754941","5","4","7.32","3","6","7","0.7","0.6","2.5","1.3","3.8","18","0.116666667","0.05","0.072222222","1.8","1.285714286","0.6","0.428571429","0.13","0.092857143","0.25","0.178571429","33.33333333","34.21052632","71.42857143","0.500988142","1.666666667","2.333333333","3.095238095","4.333333333","5.952380952","8.333333333","1.19282891","1.669960474","9.047619048","12.66666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00018","","","","2","0.02","20.5","50.5","0.08","1.56","1","8","8","14","10","14","5","1","2","71.41","40.59405941","5","7","10.83","5","1","1","1.5","0.4","13","1.9","14.9","16","0.1875","0.05","0.11875","1.6","1.142857143","0.8","0.571428571","0.19","0.135714286","1.3","0.928571429","50","12.75167785","71.42857143","0.771287129","3.571428571","5","4.523809524","6.333333333","30.95238095","43.33333333","1.836397926","2.570957096","35.47619048","49.66666667"
