"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00001","","","","1","0","1.81899","0.793427","1.475952","3.0485029","1.520287","4.6996412","0.517776","1","43","50","26","30","26","2","4","2.1308291","1","68.3158417","66.7941971","32.49003984","5","3","12.3452148","11.5989456","5","2","5.72","1.94","24.72","7.66","32.38","93","0.133023256","0.0388","0.082365591","3.576923077","3.1","1.653846154","1.433333333","0.294615385","0.255333333","0.950769231","0.824","46.23655914","23.65657813","86.66666667","2.488737052","6.355555556","7.333333333","8.511111111","9.820512821","27.46666667","31.69230769","2.765263391","3.190688528","35.97777778","41.51282051"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00010","","","","1","2.708559","1.638181","0.599776","1.937742","4.3111372","3.0220661","6.1185021","27.2944565","1","15","41","22","30","22","2","8","1.9451621","1","54.1402512","66.8451157","33.62445415","3","5","15.5333786","8.8959122","5","2","1.8","0.94","13.22","2.74","15.96","56","0.12","0.022926829","0.048928571","2.545454545","1.866666667","0.681818182","0.5","0.124545455","0.091333333","0.600909091","0.440666667","26.78571429","17.1679198","73.33333333","0.921310044","2","2.727272727","3.044444444","4.151515152","14.68888889","20.03030303","1.023677826","1.395924309","17.73333333","24.18181818"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00011","","","","3","27.5738144","2.3761909","1.002503","2.1913259","4.2241802","3.7325499","6.619297","24.1743317","5","4","3","6","30","6","7","7","2.7289121","1","48.9712257","59.3096771","28.72993858","3","3","20.3742523","14.7525091","4","2","0.76","0.14","1.66","0.9","2.56","7","0.19","0.046666667","0.128571429","1.166666667","0.233333333","0.666666667","0.133333333","0.15","0.03","0.276666667","0.055333333","57.14285714","35.15625","20","0.258569447","0.844444444","4.222222222","1","5","1.844444444","9.222222222","0.287299386","1.436496929","2.844444444","14.22222222"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00012","","","","3","0","1.933683","0.863179","1.217396","2.459692","1.081463","4.4130669","1.7699701","3","11","28","26","30","26","4","4","2.7651501","1","68.915451","69.7284012","34.00559105","5","3","11.5966873","11.4319258","4","2","1.52","1.34","12.6","2.86","15.46","39","0.138181818","0.047857143","0.073333333","1.5","1.3","0.423076923","0.366666667","0.11","0.095333333","0.484615385","0.42","28.20512821","18.49935317","86.66666667","0.972559904","1.688888889","1.948717949","3.177777778","3.666666667","14","16.15384615","1.080622116","1.246871672","17.17777778","19.82051282"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00013","","","","1","","","","","","","","","1","0","9","8","30","8","","","","1","","","","5","7","","","3","3","0","0.32","6.14","0.32","6.46","9","","0.035555556","0.035555556","1.125","0.3","0","0","0.04","0.010666667","0.7675","0.204666667","0","4.953560372","26.66666667","","0","0","0.355555556","1.333333333","6.822222222","25.58333333","","","7.177777778","26.91666667"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00014","","","","1","10.7456627","1.863822","0.702245","","5.6334829","","7.796679","","3","42","22","25","30","24","6","8","2.6633151","1","","60.4902","29.55899881","3","1","","8.8991194","3","1","7.84","1.14","11.12","8.98","20.1","64","0.186666667","0.051818182","0.1403125","2.56","2.133333333","1.68","1.4","0.3592","0.299333333","0.4448","0.370666667","65.625","44.67661692","83.33333333","2.654398093","8.711111111","10.45333333","9.977777778","11.97333333","12.35555556","14.82666667","2.949331215","3.539197458","22.33333333","26.8"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00015","","","","3","5.1228447","2.1812689","0.867178","1.372646","1.77466","2.613929","2.9850459","10.0233784","1","17","42","27","30","23","3","8","2.7224579","1","56.228344","69.572319","36.76296003","5","3","14.0144806","11.4846315","7","1","2.4","1.68","32.52","4.08","36.6","59","0.141176471","0.04","0.069152542","2.185185185","1.966666667","0.62962963","0.566666667","0.151111111","0.136","1.204444444","1.084","28.81355932","11.14754098","90","1.499928769","2.666666667","2.962962963","4.533333333","5.037037037","36.13333333","40.14814815","1.666587521","1.851763913","40.66666667","45.18518519"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00016","","","","5","0","1.769143","0.689797","0.703928","0.785546","1.6700799","1.600392","25.1649532","1","36","18","28","30","28","4","6","2.6879621","1","60.317215","73.4102707","39.39154484","5","5","16.5541458","12.3559837","4","2","5.38","0.62","7.48","6","13.48","54","0.149444444","0.034444444","0.111111111","1.928571429","1.8","1.285714286","1.2","0.214285714","0.2","0.267142857","0.249333333","66.66666667","44.51038576","93.33333333","2.36349269","5.977777778","6.404761905","6.666666667","7.142857143","8.311111111","8.904761905","2.626102989","2.813681774","14.97777778","16.04761905"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00017","","","","1","0","2.377579","1.057402","0.598919","1.1294349","1.151871","2.4595759","26.1032181","1","26","17","21","30","21","5","6","5.5319881","1","57.429287","69.9130478","39.2814609","3","3","15.4170609","9.5710821","7","1","4.66","0.72","25.62","5.38","31","43","0.179230769","0.042352941","0.125116279","2.047619048","1.433333333","1.238095238","0.866666667","0.256190476","0.179333333","1.22","0.854","60.46511628","17.35483871","70","2.113342596","5.177777778","7.396825397","5.977777778","8.53968254","28.46666667","40.66666667","2.34815844","3.354512058","34.44444444","49.20634921"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00018","","","","1","0","2.1624539","0.955417","1.04495","1.287823","1.602226","2.697994","23.2375526","1","6","4","17","30","6","3","6","4.0152822","1","59.6265068","69.4606552","39.92071358","7","3","15.0293884","12.3830881","6","1","1.04","0.24","17.92","1.28","19.2","10","0.173333333","0.06","0.128","0.588235294","0.333333333","0.352941176","0.2","0.075294118","0.042666667","1.054117647","0.597333333","60","6.666666667","56.66666667","0.510985134","1.155555556","2.039215686","1.422222222","2.509803922","19.91111111","35.1372549","0.56776126","1.001931635","21.33333333","37.64705882"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00019","","","","1","10.3146172","2.097841","0.815828","1.100248","4.0968571","2.8340659","6.0277138","23.1072693","1","26","51","22","30","22","7","6","4.000814","1","52.8737373","67.8952179","34.27201917","5","5","15.8479538","5.0446839","8","1","4.2","2.32","48.03","6.52","54.55","77","0.161538462","0.045490196","0.084675325","3.5","2.566666667","1.181818182","0.866666667","0.296363636","0.217333333","2.183181818","1.601","33.76623377","11.95233731","73.33333333","2.23453565","4.666666667","6.363636364","7.244444444","9.878787879","53.36666667","72.77272727","2.482817389","3.385660076","60.61111111","82.65151515"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00002","","","","1","11.2541065","1.775354","0.650486","1.481232","5.0140309","3.805944","7.168201","19.5965633","1","38","24","21","30","21","6","6","2.587841","1","51.8524818","66.4124908","32.98273467","1","3","17.8839417","6.0450559","5","1","9.78","1.4","21.34","11.18","32.52","62","0.257368421","0.058333333","0.180322581","2.952380952","2.066666667","1.80952381","1.266666667","0.532380952","0.372666667","1.016190476","0.711333333","61.29032258","34.37884379","70","3.687469736","10.86666667","15.52380952","12.42222222","17.74603175","23.71111111","33.87301587","4.097188596","5.853126565","36.13333333","51.61904762"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00020","","","","1","0.5918064","1.958608","0.731795","0.376955","1.720149","1.790406","3.1445611","29.9424286","1","14","23","23","30","19","2","8","3.4903159","1","57.6753731","75.2518463","40.71939587","7","5","14.9709702","8.4899864","7","1","1.62","1.04","41.56","2.66","44.22","37","0.115714286","0.045217391","0.071891892","1.608695652","1.233333333","0.608695652","0.466666667","0.115652174","0.088666667","1.806956522","1.385333333","37.83783784","6.015377657","76.66666667","1.08313593","1.8","2.347826087","2.955555556","3.855072464","46.17777778","60.23188406","1.203484367","1.569762218","49.13333333","64.08695652"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00021","","","","1","0","2.216516","1.071678","0.681129","1.631438","1.7036901","3.3058779","27.0691109","1","24","25","22","30","20","5","6","5.1837921","1","54.8474922","70.6021423","35.14851485","5","5","18.9018936","8.7148943","7","1","4.02","0.92","28.56","4.94","33.5","49","0.1675","0.0368","0.100816327","2.227272727","1.633333333","1.090909091","0.8","0.224545455","0.164666667","1.298181818","0.952","48.97959184","14.74626866","73.33333333","1.736336634","4.466666667","6.090909091","5.488888889","7.484848485","31.73333333","43.27272727","1.929262926","2.630813081","37.22222222","50.75757576"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00022","","","","3","0","1.939734","0.851738","0.628637","1.820429","1.2951829","3.305728","23.9489155","1","6","16","25","30","7","3","6","2.94381","1","60.7339211","71.2031479","38.08485329","7","7","13.8415222","10.3223848","8","1","0.66","0.78","37.25","1.44","38.69","22","0.11","0.04875","0.065454545","0.88","0.733333333","0.24","0.2","0.0576","0.048","1.49","1.241666667","27.27272727","3.721891962","83.33333333","0.548421887","0.733333333","0.88","1.6","1.92","41.38888889","49.66666667","0.609357653","0.731229183","42.98888889","51.58666667"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00023","","","","1","0","1.816255","0.843281","1.195511","2.2153111","1.006146","3.853678","4.6890979","1","16","32","22","30","18","5","4","2.812134","1","68.8288269","68.6946869","34.76971734","3","5","10.8813705","11.9266186","5","3","2.08","1.12","24.36","3.2","27.56","48","0.13","0.035","0.066666667","2.181818182","1.6","0.727272727","0.533333333","0.145454545","0.106666667","1.107272727","0.812","33.33333333","11.61103048","73.33333333","1.112630955","2.311111111","3.151515152","3.555555556","4.848484848","27.06666667","36.90909091","1.236256617","1.685804477","30.62222222","41.75757576"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00024","","","","1","5.3794441","2.391021","1.041173","0.81225","1.758146","1.77721","3.325366","13.151228","1","15","36","28","30","27","3","8","3.5883269","1","58.8225784","68.3116379","34.62603878","5","7","13.5127487","11.9467793","6","2","2","1.46","24.62","3.46","28.08","51","0.133333333","0.040555556","0.067843137","1.821428571","1.7","0.535714286","0.5","0.123571429","0.115333333","0.879285714","0.820666667","29.41176471","12.32193732","93.33333333","1.198060942","2.222222222","2.380952381","3.844444444","4.119047619","27.35555556","29.30952381","1.331178824","1.426263026","31.2","33.42857143"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00025","","","","1","15.068367","1.927418","0.724616","1.9128489","5.5553741","3.8776751","8.1259413","22.1143913","1","40","17","20","30","20","7","6","2.531616","1","49.936821","63.6372643","28.56298048","3","1","16.9611664","6.1768832","7","1","10.02","0.74","23.68","10.76","34.44","57","0.2505","0.043529412","0.18877193","2.85","1.9","2","1.333333333","0.538","0.358666667","1.184","0.789333333","70.1754386","31.242741","66.66666667","3.0733767","11.13333333","16.7","11.95555556","17.93333333","26.31111111","39.46666667","3.414863","5.122294499","38.26666667","57.4"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00026","","","","1","1.3738804","1.818545","0.776892","1.103651","2.7847769","2.314451","4.3993268","30.4513168","1","28","19","27","30","27","2","8","2.991442","1","54.3465233","69.8873062","36.05065295","3","3","16.4770737","10.6253185","5","2","5.76","0.92","20.36","6.68","27.04","47","0.205714286","0.048421053","0.14212766","1.740740741","1.566666667","1.037037037","0.933333333","0.247407407","0.222666667","0.754074074","0.678666667","59.57446809","24.70414201","90","2.408183617","6.4","7.111111111","7.422222222","8.24691358","22.62222222","25.13580247","2.675759575","2.973066194","30.04444444","33.38271605"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00027","","","","1","31.5105705","2.2813289","1.005389","1.982414","4.5775542","5.5743232","7.1732278","15.8220234","1","29","17","19","30","19","7","6","2.9758511","1","47.0613403","57.9925346","26.59086375","5","3","19.9104767","15.5363884","5","1","5.78","0.84","13.98","6.62","20.6","46","0.199310345","0.049411765","0.143913043","2.421052632","1.533333333","1.526315789","0.966666667","0.348421053","0.220666667","0.735789474","0.466","63.04347826","32.13592233","63.33333333","1.76031518","6.422222222","10.14035088","7.355555556","11.61403509","15.53333333","24.52631579","1.955905756","3.088272246","22.88888889","36.14035088"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00028","","","","1","","","","","","","","","1","0","6","11","30","2","","","","1","","","","9","9","","","3","3","0","0.16","6.51","0.16","6.67","6","","0.026666667","0.026666667","0.545454545","0.2","0","0","0.014545455","0.005333333","0.591818182","0.217","0","2.3988006","36.66666667","","0","0","0.177777778","0.484848485","7.233333333","19.72727273","","","7.411111111","20.21212121"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00029","","","","3","0","1.78484","0.829266","0.743422","1.33549","1.690673","2.1255989","27.7553864","1","26","16","21","30","16","3","6","3.6696401","1","59.0531654","72.3454285","36.27334128","3","5","16.7991562","11.1459227","4","3","2.76","0.8","5.02","3.56","8.58","42","0.106153846","0.05","0.084761905","2","1.4","1.238095238","0.866666667","0.16952381","0.118666667","0.239047619","0.167333333","61.9047619","41.49184149","70","1.29133095","3.066666667","4.380952381","3.955555556","5.650793651","5.577777778","7.968253968","1.434812166","2.049731666","9.533333333","13.61904762"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00003","","","","1","10.9621353","2.3525341","0.962818","1.34272","3.9069941","3.096858","6.1163769","22.756506","1","24","42","26","30","26","6","8","3.76314","1","51.6111603","62.6436119","30.42006769","5","3","18.2540817","10.0687666","6","1","4.46","1.76","21.46","6.22","27.68","66","0.185833333","0.041904762","0.094242424","2.538461538","2.2","0.923076923","0.8","0.239230769","0.207333333","0.825384615","0.715333333","36.36363636","22.47109827","86.66666667","1.89212821","4.955555556","5.717948718","6.911111111","7.974358974","23.84444444","27.51282051","2.102364678","2.425805398","30.75555556","35.48717949"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00030","","","","1","17.7955627","2.0763581","0.790129","2.254827","6.7606082","3.9604671","9.670805","21.251379","1","42","18","19","30","18","5","8","2.635757","1","48.8349533","56.1582413","23.86206897","7","5","17.93367","12.3523474","3","3","6.78","1.54","17.92","8.32","26.24","60","0.161428571","0.085555556","0.138666667","3.157894737","2","2.210526316","1.4","0.437894737","0.277333333","0.943157895","0.597333333","70","31.70731707","63.33333333","1.985324138","7.533333333","11.89473684","9.244444444","14.59649123","19.91111111","31.43859649","2.205915709","3.483024804","29.15555556","46.03508772"
"","","GHP2018NYK-AT01","","","","","","","","","GHP2018NYK-AT01-00004","","","","1","6.0677071","2.1790299","0.827958","1.129776","2.673455","2.3216879","4.3966079","11.6277637","3","32","30","25","30","25","4","8","2.190491","1","57.4962959","67.8472519","35.64020742","3","3","14.1501455","11.5816383","4","2","3.78","0.88","14.62","4.66","19.28","62","0.118125","0.029333333","0.07516129","2.48","2.066666667","1.28","1.066666667","0.1864","0.155333333","0.5848","0.487333333","51.61290323","24.17012448","83.33333333","1.660833666","4.2","5.04","5.177777778","6.213333333","16.24444444","19.49333333","1.84537074","2.214444888","21.42222222","25.70666667"
