"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00001","","","","3","0.05","1.92","0.49","15.2","2","50.96","1.52","0.3","4","46","53","30","29","34","29","2","2","3.04","5","65.6","6","8","13.99","8","1","3","15.7","4.3","29.5","20","49.5","99","0.341304348","0.081132075","0.202020202","3.413793103","2.911764706","1.586206897","1.352941176","0.689655172","0.588235294","1.017241379","0.867647059","46.46464646","40.4040404","85.29411765","29.82731554","5.965463108","15.39215686","18.04597701","19.60784314","22.98850575","28.92156863","33.90804598","5.848493243","6.856854147","48.52941176","56.89655172"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00010","","","","3","2.34","3.21","0.46","18.1","2","49.71","0.44","1.02","4","26","86","32","22","34","22","5","2","2.67","3","68.23","5","5","8.12","8","1","1","5.4","4.5","14","9.9","23.9","112","0.207692308","0.052325581","0.088392857","5.090909091","3.294117647","1.181818182","0.764705882","0.45","0.291176471","0.636363636","0.411764706","23.21428571","41.42259414","64.70588235","36.41118487","3.604707302","5.294117647","8.181818182","9.705882353","15","13.7254902","21.21212121","3.534026767","5.461677731","23.43137255","36.21212121"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00011","","","","3","","1.87","0.52","20.6","2","50.85","0.18","1.83","3","30","38","31","22","34","20","5","2","2.88","3","71.57","5","7","9.61","8","4","5","6.3","1.7","10.5","8","18.5","68","0.21","0.044736842","0.117647059","3.090909091","2","1.363636364","0.882352941","0.363636364","0.235294118","0.477272727","0.308823529","44.11764706","43.24324324","64.70588235","40.51130777","3.240904621","6.176470588","9.545454545","7.843137255","12.12121212","10.29411765","15.90909091","3.177357472","4.910461548","18.1372549","28.03030303"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00012","","","","2","1.01","2.4","0.82","16","1","50.3","50.96","0.4","2","38","66","32","27","34","26","3","2","4.83","5","63.16","4","5","14.37","8","6","4","5.7","3.3","30.5","9","39.5","104","0.15","0.05","0.086538462","3.851851852","3.058823529","1.407407407","1.117647059","0.333333333","0.264705882","1.12962963","0.897058824","36.53846154","22.78481013","79.41176471","31.80914513","2.862823062","5.588235294","7.037037037","8.823529412","11.11111111","29.90196078","37.65432099","2.806689276","3.534349459","38.7254902","48.7654321"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00013","","","","1","0.61","2.17","0.62","18.9","2","50.07","49.71","0.74","3","20","75","34","29","34","29","2","6","2.97","2","69.39","5","5","7.82","8","3","4","3.1","4.1","29","7.2","36.2","95","0.155","0.054666667","0.075789474","3.275862069","2.794117647","0.689655172","0.588235294","0.248275862","0.211764706","1","0.852941176","21.05263158","19.88950276","85.29411765","37.74715398","2.717795087","3.039215686","3.563218391","7.058823529","8.275862069","28.43137255","33.33333333","2.664504987","3.123902399","35.49019608","41.6091954"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00014","","","","4","2.41","2.01","0.44","19.3","1","50.75","50.85","1.74","2","33","20","27","23","34","23","1","6","2.62","1","67.23","6","9","10.54","7","4","4","17.3","2.2","11.5","19.5","31","53","0.524242424","0.11","0.367924528","2.304347826","1.558823529","1.434782609","0.970588235","0.847826087","0.573529412","0.5","0.338235294","62.26415094","62.90322581","67.64705882","38.02955665","7.415763547","16.96078431","25.07246377","19.11764706","28.26086957","11.2745098","16.66666667","7.270356418","10.7474834","30.39215686","44.92753623"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00015","","","","1","0.01","1.54","0.44","18.2","1","50.23","50.3","1.77","2","20","26","28","27","34","18","4","6","1.38","1","71.25","3","3","9.09","7","5","5","2.3","1.3","16.5","3.6","20.1","46","0.115","0.05","0.07826087","1.703703704","1.352941176","0.740740741","0.588235294","0.133333333","0.105882353","0.611111111","0.485294118","43.47826087","17.91044776","79.41176471","36.2333267","1.304399761","2.254901961","2.839506173","3.529411765","4.444444444","16.17647059","20.37037037","1.278823295","1.610370075","19.70588235","24.81481481"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00016","","","","1","2.45","2","0.65","20.1","1","50.73","50.07","1.15","2","10","19","32","13","34","9","3","8","3.2","1","70.49","4","3","9.77","7","7","5","1.6","0.8","5.5","2.4","7.9","29","0.16","0.042105263","0.082758621","2.230769231","0.852941176","0.769230769","0.294117647","0.184615385","0.070588235","0.423076923","0.161764706","34.48275862","30.37974684","38.23529412","39.62152572","0.950916617","1.568627451","4.102564103","2.352941176","6.153846154","5.392156863","14.1025641","0.932271194","2.438247737","7.745098039","20.25641026"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00017","","","","2","4.17","2.28","0.71","19","2","50.1","50.75","1.59","2","50","41","30","27","34","27","2","2","3.42","1","74.12","5","6","7.09","8","1","3","13.6","2.3","14.5","15.9","30.4","91","0.272","0.056097561","0.174725275","3.37037037","2.676470588","1.851851852","1.470588235","0.588888889","0.467647059","0.537037037","0.426470588","54.94505495","52.30263158","79.41176471","37.9241517","6.02994012","13.33333333","16.79012346","15.58823529","19.62962963","14.21568627","17.90123457","5.911706","7.444370518","29.80392157","37.5308642"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00018","","","","1","","1.99","0.53","20","1","50.78","50.23","1.58","3","26","116","30","27","34","25","2","8","3.62","4","69.34","3","3","10.48","7","3","4","2.9","4.6","14","7.5","21.5","142","0.111538462","0.039655172","0.052816901","5.259259259","4.176470588","0.962962963","0.764705882","0.277777778","0.220588235","0.518518519","0.411764706","18.30985915","34.88372093","79.41176471","39.38558488","2.953918866","2.843137255","3.580246914","7.352941176","9.259259259","13.7254902","17.28395062","2.895998888","3.646813414","21.07843137","26.54320988"
