"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00001","","","","2","1","30","35","27","23","34","15","1","5","4","7","1","5.4","1.8","4.5","7.2","11.7","65","0.18","0.051428571","0.110769231","2.826086957","1.911764706","1.304347826","0.882352941","0.313043478","0.211764706","0.195652174","0.132352941","46.15384615","61.53846154","67.64705882","5.294117647","7.826086957","7.058823529","10.43478261","4.411764706","6.52173913","11.47058824","16.95652174"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00010","","","","2","1","40","40","26","26","34","25","4","5","6","9","1","6.4","4.2","15.2","10.6","25.8","80","0.16","0.105","0.1325","3.076923077","2.352941176","1.538461538","1.176470588","0.407692308","0.311764706","0.584615385","0.447058824","50","41.08527132","76.47058824","6.274509804","8.205128205","10.39215686","13.58974359","14.90196078","19.48717949","25.29411765","33.07692308"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00011","","","","2","1","10","20","34","28","34","10","1","5","5","8","2","3.4","0.5","19","3.9","22.9","30","0.34","0.025","0.13","1.071428571","0.882352941","0.357142857","0.294117647","0.139285714","0.114705882","0.678571429","0.558823529","33.33333333","17.03056769","82.35294118","3.333333333","4.047619048","3.823529412","4.642857143","18.62745098","22.61904762","22.45098039","27.26190476"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00012","","","","2","1","28","40","31","25","34","24","1","5","5","9","1","6.2","1.7","13","7.9","20.9","68","0.221428571","0.0425","0.116176471","2.72","2","1.12","0.823529412","0.316","0.232352941","0.52","0.382352941","41.17647059","37.79904306","73.52941176","6.078431373","8.266666667","7.745098039","10.53333333","12.74509804","17.33333333","20.49019608","27.86666667"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00013","","","","2","1","73","30","34","29","34","29","2","6","7","8","1","24.5","1.9","19","26.4","45.4","103","0.335616438","0.063333333","0.25631068","3.551724138","3.029411765","2.517241379","2.147058824","0.910344828","0.776470588","0.655172414","0.558823529","70.87378641","58.14977974","85.29411765","24.01960784","28.16091954","25.88235294","30.34482759","18.62745098","21.83908046","44.50980392","52.18390805"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00014","","","","1","1","24","30","26","18","34","16","1","5","5","7","1","4","2.2","17.5","6.2","23.7","54","0.166666667","0.073333333","0.114814815","3","1.588235294","1.333333333","0.705882353","0.344444444","0.182352941","0.972222222","0.514705882","44.44444444","26.16033755","52.94117647","3.921568627","7.407407407","6.078431373","11.48148148","17.15686275","32.40740741","23.23529412","43.88888889"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00015","","","","2","1","30","31","23","20","34","17","3","5","4","8","2","3.6","1.9","15.4","5.5","20.9","61","0.12","0.061290323","0.090163934","3.05","1.794117647","1.5","0.882352941","0.275","0.161764706","0.77","0.452941176","49.18032787","26.31578947","58.82352941","3.529411765","6","5.392156863","9.166666667","15.09803922","25.66666667","20.49019608","34.83333333"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00016","","","","1","1","27","20","28","27","34","16","1","5","5","5","1","6.1","1.5","12.5","7.6","20.1","47","0.225925926","0.075","0.161702128","1.740740741","1.382352941","1","0.794117647","0.281481481","0.223529412","0.462962963","0.367647059","57.44680851","37.81094527","79.41176471","5.980392157","7.530864198","7.450980392","9.382716049","12.25490196","15.43209877","19.70588235","24.81481481"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00017","","","","2","1","8","20","28","26","34","10","1","5","3","8","4","0.8","0.6","18.3","1.4","19.7","28","0.1","0.03","0.05","1.076923077","0.823529412","0.307692308","0.235294118","0.053846154","0.041176471","0.703846154","0.538235294","28.57142857","7.106598985","76.47058824","0.784313725","1.025641026","1.37254902","1.794871795","17.94117647","23.46153846","19.31372549","25.25641026"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00018","","","","1","1","71","50","30","29","34","26","1","4","7","7","1","11.5","2.9","16.6","14.4","31","121","0.161971831","0.058","0.119008264","4.172413793","3.558823529","2.448275862","2.088235294","0.496551724","0.423529412","0.572413793","0.488235294","58.67768595","46.4516129","85.29411765","11.2745098","13.2183908","14.11764706","16.55172414","16.2745098","19.08045977","30.39215686","35.63218391"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00019","","","","3","1","90","59","28","26","34","24","2","6","8","6","1","14.8","4.6","16.7","19.4","36.1","149","0.164444444","0.077966102","0.130201342","5.730769231","4.382352941","3.461538462","2.647058824","0.746153846","0.570588235","0.642307692","0.491176471","60.40268456","53.73961219","76.47058824","14.50980392","18.97435897","19.01960784","24.87179487","16.37254902","21.41025641","35.39215686","46.28205128"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00002","","","","3","2","69","32","29","25","34","25","3","4","7","6","1","16.8","4.6","11.7","21.4","33.1","101","0.243478261","0.14375","0.211881188","4.04","2.970588235","2.76","2.029411765","0.856","0.629411765","0.468","0.344117647","68.31683168","64.65256798","73.52941176","16.47058824","22.4","20.98039216","28.53333333","11.47058824","15.6","32.45098039","44.13333333"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00020","","","","1","1","48","17","24","20","34","17","2","5","8","9","2","8.7","1","9.1","9.7","18.8","65","0.18125","0.058823529","0.149230769","3.25","1.911764706","2.4","1.411764706","0.485","0.285294118","0.455","0.267647059","73.84615385","51.59574468","58.82352941","8.529411765","14.5","9.509803922","16.16666667","8.921568627","15.16666667","18.43137255","31.33333333"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00021","","","","2","1","53","122","30","29","34","29","2","5","7","9","1","15.7","9.8","13.1","25.5","38.6","175","0.296226415","0.080327869","0.145714286","6.034482759","5.147058824","1.827586207","1.558823529","0.879310345","0.75","0.451724138","0.385294118","30.28571429","66.06217617","85.29411765","15.39215686","18.04597701","25","29.31034483","12.84313725","15.05747126","37.84313725","44.36781609"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00003","","","","3","1","4","22","34","18","34","5","1","5","3","5","3","0.6","0.5","11.3","1.1","12.4","26","0.15","0.022727273","0.042307692","1.444444444","0.764705882","0.222222222","0.117647059","0.061111111","0.032352941","0.627777778","0.332352941","15.38461538","8.870967742","52.94117647","0.588235294","1.111111111","1.078431373","2.037037037","11.07843137","20.92592593","12.15686275","22.96296296"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00004","","","","2","2","28","38","27","30","34","24","2","5","6","5","2","0.5","4","8.1","4.5","12.6","66","0.017857143","0.105263158","0.068181818","2.2","1.941176471","0.933333333","0.823529412","0.15","0.132352941","0.27","0.238235294","42.42424242","35.71428571","88.23529412","0.490196078","0.555555556","4.411764706","5","7.941176471","9","12.35294118","14"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00005","","","","2","1","50","58","30","28","34","23","2","5","5","9","2","6.7","3.7","11","10.4","21.4","108","0.134","0.063793103","0.096296296","3.857142857","3.176470588","1.785714286","1.470588235","0.371428571","0.305882353","0.392857143","0.323529412","46.2962963","48.59813084","82.35294118","6.568627451","7.976190476","10.19607843","12.38095238","10.78431373","13.0952381","20.98039216","25.47619048"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00006","","","","2","1","70","51","33","30","34","30","2","6","7","8","1","18.2","2.7","11.7","20.9","32.6","121","0.26","0.052941176","0.172727273","4.033333333","3.558823529","2.333333333","2.058823529","0.696666667","0.614705882","0.39","0.344117647","57.85123967","64.11042945","88.23529412","17.84313725","20.22222222","20.49019608","23.22222222","11.47058824","13","31.96078431","36.22222222"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00007","","","","2","1","47","30","34","25","34","22","1","4","8","7","1","17.8","2.2","13.2","20","33.2","77","0.378723404","0.073333333","0.25974026","3.08","2.264705882","1.88","1.382352941","0.8","0.588235294","0.528","0.388235294","61.03896104","60.24096386","73.52941176","17.45098039","23.73333333","19.60784314","26.66666667","12.94117647","17.6","32.54901961","44.26666667"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00008","","","","2","1","69","80","30","29","34","29","2","6","5","5","2","10.6","4.9","15.6","15.5","31.1","149","0.153623188","0.06125","0.104026846","5.137931034","4.382352941","2.379310345","2.029411765","0.534482759","0.455882353","0.537931034","0.458823529","46.30872483","49.8392283","85.29411765","10.39215686","12.18390805","15.19607843","17.81609195","15.29411765","17.93103448","30.49019608","35.74712644"
"","","GHP2014TON-AT03","","","","","","","","","GHP2014TON-AT03-00009","","","","2","1","34","22","30","28","34","24","3","5","8","7","2","7.8","3.6","7.9","11.4","19.3","56","0.229411765","0.163636364","0.203571429","2","1.647058824","1.214285714","1","0.407142857","0.335294118","0.282142857","0.232352941","60.71428571","59.06735751","82.35294118","7.647058824","9.285714286","11.17647059","13.57142857","7.745098039","9.404761905","18.92156863","22.97619048"
