"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00001","","","","2","17.4","2","50","1.14","2.51","1","30","43","3","34","29","34","24","1","66.81","5","4","2","9","4","2.4","1.4","29.6","3.8","33.4","73","0.08","0.03255814","0.052054795","2.517241379","2.147058824","1.034482759","0.882352941","0.131034483","0.111764706","1.020689655","0.870588235","41.09589041","11.37724551","85.29411765","34.8","1.3224","2.352941176","2.75862069","3.725490196","4.367816092","29.01960784","34.02298851","1.296470588","1.52","32.74509804","38.3908046"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00010","","","","1","15.4","","50","2.34","4.16","1","72","20","","34","28","34","28","2","66.32","4","6","","6","4","12.6","1.8","13","14.4","27.4","92","0.175","0.09","0.156521739","3.285714286","2.705882353","2.571428571","2.117647059","0.514285714","0.423529412","0.464285714","0.382352941","78.26086957","52.55474453","82.35294118","30.8","4.4352","12.35294118","15","14.11764706","17.14285714","12.74509804","15.47619048","4.348235294","5.28","26.8627451","32.61904762"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00011","","","","2","","","","","","1","39","50","","34","29","34","28","2","","5","4","","6","7","5.7","2","12.2","7.7","19.9","89","0.146153846","0.04","0.086516854","3.068965517","2.617647059","1.344827586","1.147058824","0.265517241","0.226470588","0.420689655","0.358823529","43.82022472","38.69346734","85.29411765","","","5.588235294","6.551724138","7.549019608","8.850574713","11.96078431","14.02298851","","","19.50980392","22.87356322"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00012","","","","2","17.3","2","50","1.16","2.73","1","54","28","1","33","30","34","30","2","67.32","5","5","2","6","6","8.2","0.4","10","8.6","18.6","82","0.151851852","0.014285714","0.104878049","2.733333333","2.411764706","1.8","1.588235294","0.286666667","0.252941176","0.333333333","0.294117647","65.85365854","46.23655914","88.23529412","34.6","2.9756","8.039215686","9.111111111","8.431372549","9.555555556","9.803921569","11.11111111","2.917254902","3.306222222","18.23529412","20.66666667"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00013","","","","1","15.1","3","50","1.27","2.83","1","40","66","2","34","30","34","30","1","66.71","4","5","3","5","8","5","3.2","9","8.2","17.2","106","0.125","0.048484848","0.077358491","3.533333333","3.117647059","1.333333333","1.176470588","0.273333333","0.241176471","0.3","0.264705882","37.73584906","47.6744186","88.23529412","30.2","2.4764","4.901960784","5.555555556","8.039215686","9.111111111","8.823529412","10","2.427843137","2.751555556","16.8627451","19.11111111"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00014","","","","2","17","","50","0.98","2.18","1","14","32","","34","28","34","28","1","69.11","4","2","","6","5","1","1","3.4","2","5.4","46","0.071428571","0.03125","0.043478261","1.642857143","1.352941176","0.5","0.411764706","0.071428571","0.058823529","0.121428571","0.1","30.43478261","37.03703704","82.35294118","34","0.68","0.980392157","1.19047619","1.960784314","2.380952381","3.333333333","4.047619048","0.666666667","0.80952381","5.294117647","6.428571429"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00015","","","","1","16.1","3","50","1.12","2.28","1","40","54","3","34","29","34","27","2","68.44","5","5","3","5","8","4.6","1.8","5.4","6.4","11.8","94","0.115","0.033333333","0.068085106","3.24137931","2.764705882","1.379310345","1.176470588","0.220689655","0.188235294","0.186206897","0.158823529","42.55319149","54.23728814","85.29411765","32.2","2.0608","4.509803922","5.287356322","6.274509804","7.356321839","5.294117647","6.206896552","2.020392157","2.368735632","11.56862745","13.56321839"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00016","","","","2","14.8","3","50","2.21","3.88","1","32","26","3","34","29","34","28","2","65.86","5","6","3","6","6","5.6","1.2","4.8","6.8","11.6","58","0.175","0.046153846","0.117241379","2","1.705882353","1.103448276","0.941176471","0.234482759","0.2","0.165517241","0.141176471","55.17241379","58.62068966","85.29411765","29.6","2.0128","5.490196078","6.436781609","6.666666667","7.816091954","4.705882353","5.517241379","1.973333333","2.313563218","11.37254902","13.33333333"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00017","","","","2","10.3","3","50","3.76","6.48","1","53","67","3","33","29","34","28","3","48.21","4","6","2","7","4","8.4","2.6","8.2","11","19.2","120","0.158490566","0.03880597","0.091666667","4.137931034","3.529411765","1.827586207","1.558823529","0.379310345","0.323529412","0.282758621","0.241176471","44.16666667","57.29166667","85.29411765","20.6","2.266","8.235294118","9.655172414","10.78431373","12.64367816","8.039215686","9.425287356","2.221568627","2.604597701","18.82352941","22.06896552"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00018","","","","1","16.2","2","50","1.16","2.45","1","66","24","3","34","29","34","28","1","67.79","5","5","4","8","4","9","1","15.8","10","25.8","90","0.136363636","0.041666667","0.111111111","3.103448276","2.647058824","2.275862069","1.941176471","0.344827586","0.294117647","0.544827586","0.464705882","73.33333333","38.75968992","85.29411765","32.4","3.24","8.823529412","10.34482759","9.803921569","11.49425287","15.49019608","18.16091954","3.176470588","3.724137931","25.29411765","29.65517241"
