"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00019","","","","1","25.33333333","15","40.78947368","1","25","24","14","13","20","13","1","1","51.02040816","8.566666667","3","49","3.769230769","6.2","7","1","1","5.14","1.06","9","10.33333333","15.2","0.2056","0.044166667","0.126530612","2.45","1.923076923","1.25","0.476923077","0.31","0.692307692","0.45","65","13.17948718","15.8974359","23.07692308","38.97435897"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00002","","","","5","32.16666667","15.43333333","52.02072539","1","35","29","17","13","20","13","1","1","54.6875","13.73333333","3","64","4.923076923","10.04","8","1","1","8.24","1.8","9.26","16.73333333","19.3","0.235428571","0.062068966","0.156875","3.2","2.692307692","1.75","0.772307692","0.502","0.712307692","0.463","65","21.12820513","25.74358974","23.74358974","49.48717949"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00020","","","","3","38.96666667","27.1","30.45337896","3","26","24","17","12","20","12","3","1","52","10.06666667","3","50","4.166666667","7.12","8","1","1","6.04","1.08","16.26","11.86666667","23.38","0.232307692","0.045","0.1424","2.5","2.166666667","1.3","0.593333333","0.356","1.355","0.813","60","16.77777778","19.77777778","45.16666667","64.94444444"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00003","","","","3","11.63333333","7.433333333","36.10315186","1","9","8","14","5","20","4","3","5","52.94117647","3.533333333","3","17","3.4","2.52","7","2","2","2.12","0.4","4.46","4.2","6.98","0.235555556","0.05","0.148235294","0.85","1.8","0.45","0.504","0.126","0.892","0.223","25","14.13333333","16.8","29.73333333","46.53333333"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00004","","","","3","16.43333333","6.133333333","62.67748479","3","25","14","12","8","20","8","1","3","64.1025641","9.833333333","3","39","4.875","6.18","8","1","1","5.9","0.28","3.68","10.3","9.86","0.236","0.02","0.158461538","1.95","3.125","1.25","0.7725","0.309","0.46","0.184","40","24.58333333","25.75","15.33333333","41.08333333"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00005","","","","5","23.3","11.33333333","51.35908441","3","26","9","17","9","20","9","1","5","74.28571429","11.33333333","3","35","3.888888889","7.18","8","1","1","6.8","0.38","6.8","11.96666667","13.98","0.261538462","0.042222222","0.205142857","1.75","2.888888889","1.3","0.797777778","0.359","0.755555556","0.34","45","25.18518519","26.59259259","25.18518519","51.77777778"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00006","","","","3","17.76666667","8.333333333","53.0956848","1","23","19","11","9","20","9","1","6","54.76190476","8.433333333","3","42","4.666666667","5.66","7","1","1","5.06","0.6","5","9.433333333","10.66","0.22","0.031578947","0.134761905","2.1","2.555555556","1.15","0.628888889","0.283","0.555555556","0.25","45","18.74074074","20.96296296","18.51851852","39.48148148"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00007","","","","5","25.23333333","15.2","39.76221929","1","18","24","14","7","20","5","1","1","42.85714286","8.633333333","5","42","6","6.02","7","1","1","5.18","0.84","9.12","10.03333333","15.14","0.287777778","0.035","0.143333333","2.1","2.571428571","0.9","0.86","0.301","1.302857143","0.456","35","24.66666667","28.66666667","43.42857143","72.0952381"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00008","","","","1","21.13333333","14.7","30.44164038","1","18","24","19","11","20","10","1","5","42.85714286","4.733333333","5","42","3.818181818","3.86","7","1","1","2.84","1.02","8.82","6.433333333","12.68","0.157777778","0.0425","0.091904762","2.1","1.636363636","0.9","0.350909091","0.193","0.801818182","0.441","55","8.606060606","11.6969697","26.72727273","38.42424242"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00009","","","","1","24.7","14.16666667","42.64507422","3","28","45","17","15","20","15","1","1","38.35616438","7.966666667","3","73","4.866666667","6.32","8","1","1","4.78","1.54","8.5","10.53333333","14.82","0.170714286","0.034222222","0.086575342","3.65","1.866666667","1.4","0.421333333","0.316","0.566666667","0.425","75","10.62222222","14.04444444","18.88888889","32.93333333"
