"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00001","","","","","","","","","","","3","2","","","","","","","","","","","","","","","6","7","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00010","","","","","","","","","2","1","3","3","3","3","3","2","","","","1","","13","","2","5","","6","3","5","0.3","0.1","1","0.4","1.4","5","0.1","0.05","0.08","1.666666667","1","0.133333333","0.333333333","60","28.57142857","","3.333333333","4.444444444","11.11111111","","15.55555556","1.666666667","1","0.133333333","0.333333333","100","3.333333333","4.444444444","11.11111111","","15.55555556"
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00100","","","","","","","","","3","1","3","3","3","3","7","6","","","","1","","8","","5","3","","6","4","5","0.8","0.2","1","1","2","13","0.114285714","0.033333333","0.076923077","4.333333333","2.333333333","0.333333333","0.333333333","53.84615385","50","","8.888888889","11.11111111","11.11111111","","22.22222222","4.333333333","2.333333333","0.333333333","0.333333333","100","8.888888889","11.11111111","11.11111111","","22.22222222"
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00101","","","","","","","","","","","3","3","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00102","","","","","","","","","","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00103","","","","0","2.329304","1.341792","2.129462","3.580641","3","1","3","1","1","1","2","","3","7","6.5295401","1","68.1993866","11","37.34076433","6","6","9.6084051","5","5","6","0.2","","0.5","","","","0.1","","","","2","","0.5","","","","6.666666667","","16.66666667","","","","0.666666667","","0.166666667","33.33333333","2.222222222","","5.555555556","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00104","","","","","","","","","3","1","3","3","3","3","5","8","","","","1","","13","","5","6","","7","","4","0.4","0.2","5","0.6","5.6","13","0.08","0.025","0.046153846","4.333333333","1.666666667","0.2","1.666666667","38.46153846","10.71428571","","4.444444444","6.666666667","55.55555556","","62.22222222","4.333333333","1.666666667","0.2","1.666666667","100","4.444444444","6.666666667","55.55555556","","62.22222222"
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00105","","","","","","","","","","","3","3","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00106","","","","","","","","","","","3","3","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017OHW-OT01","","","","","","","","","GHP2017OHW-OT01-00107","","","","0","2.1599979","1.265425","0.783179","2.240339","3","1","3","3","3","1","1","","3","7","6.0041752","1","68.9014969","13","41.14593731","6","5","12.8198071","6","1","4","0.2","","1","","","","0.2","","","","0.333333333","","0.333333333","","","","2.222222222","","11.11111111","","","","0.333333333","","0.333333333","100","2.222222222","","11.11111111","",""
