"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00001","","","","3","18.9","50.8","0.613947","1.790593","1","28","23","34","30","34","21","3","71.1149979","6","7","5","3","3","5.4","1.2","18","6.6","24.6","51","0.192857143","0.052173913","0.129411765","1.7","1.5","0.933333333","0.823529412","0.22","0.194117647","0.6","0.529411765","54.90196078","26.82926829","88.23529412","37.20472441","2.455511811","5.294117647","6","6.470588235","7.333333333","17.64705882","20","2.407364521","2.728346457","24.11764706","27.33333333"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00010","","","","2","19.5","50.1","3.8414841","5.5684328","1","42","25","34","30","34","29","1","64.2243423","5","6","5","1","3","10.2","1.9","6","12.1","18.1","67","0.242857143","0.076","0.180597015","2.233333333","1.970588235","1.4","1.235294118","0.403333333","0.355882353","0.2","0.176470588","62.68656716","66.85082873","88.23529412","38.92215569","4.709580838","10","11.33333333","11.8627451","13.44444444","5.882352941","6.666666667","4.617236116","5.232867598","17.74509804","20.11111111"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00011","","","","3","21.1","50.1","1.178136","2.530339","1","12","32","34","29","34","20","2","72.3180695","5","4","5","3","4","1.6","1.4","6.8","3","9.8","44","0.133333333","0.04375","0.068181818","1.517241379","1.294117647","0.413793103","0.352941176","0.103448276","0.088235294","0.234482759","0.2","27.27272727","30.6122449","85.29411765","42.11576846","1.263473054","1.568627451","1.83908046","2.941176471","3.448275862","6.666666667","7.816091954","1.238699072","1.452267878","9.607843137","11.26436782"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00012","","","","2","19.4","50.2","0.773623","2.1421559","1","23","39","34","25","34","23","3","69.0020981","5","6","5","1","3","6.9","2.3","5.4","9.2","14.6","62","0.3","0.058974359","0.148387097","2.48","1.823529412","0.92","0.676470588","0.368","0.270588235","0.216","0.158823529","37.09677419","63.01369863","73.52941176","38.64541833","3.555378486","6.764705882","9.2","9.019607843","12.26666667","5.294117647","7.2","3.485665182","4.740504648","14.31372549","19.46666667"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00013","","","","2","17.2","50.2","3.255038","4.928112","1","20","69","34","30","34","25","2","64.8010178","5","5","6","1","1","3.2","3.5","12.2","6.7","18.9","89","0.16","0.050724638","0.075280899","2.966666667","2.617647059","0.666666667","0.588235294","0.223333333","0.197058824","0.406666667","0.358823529","22.47191011","35.44973545","88.23529412","34.26294821","2.29561753","3.137254902","3.555555556","6.568627451","7.444444444","11.96078431","13.55555556","2.250605421","2.550686144","18.52941176","21"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00014","","","","1","15.4","50.3","2.522882","3.6053381","1","42","75","34","30","34","29","2","63.7764091","4","5","5","4","4","7.9","3.9","8.4","11.8","20.2","117","0.188095238","0.052","0.100854701","3.9","3.441176471","1.4","1.235294118","0.393333333","0.347058824","0.28","0.247058824","35.8974359","58.41584158","88.23529412","30.61630219","3.612723658","7.745098039","8.777777778","11.56862745","13.11111111","8.235294118","9.333333333","3.541885939","4.014137398","19.80392157","22.44444444"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00015","","","","2","16.9","50.1","2.080132","3.3737741","1","39","31","33","28","34","27","2","63.8879089","5","8","6","1","1","15.2","2.3","12.1","17.5","29.6","70","0.38974359","0.074193548","0.25","2.5","2.058823529","1.392857143","1.147058824","0.625","0.514705882","0.432142857","0.355882353","55.71428571","59.12162162","82.35294118","33.73253493","5.903193613","14.90196078","18.0952381","17.15686275","20.83333333","11.8627451","14.4047619","5.787444718","7.027611444","29.01960784","35.23809524"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00016","","","","2","18.3","50.2","3.712465","5.475142","1","23","43","34","27","34","25","3","61.8216438","5","6","6","1","3","5.2","3.2","16","8.4","24.4","66","0.226086957","0.074418605","0.127272727","2.444444444","1.941176471","0.851851852","0.676470588","0.311111111","0.247058824","0.592592593","0.470588235","34.84848485","34.42622951","79.41176471","36.45418327","3.062151394","5.098039216","6.419753086","8.235294118","10.37037037","15.68627451","19.75308642","3.00210921","3.78043382","23.92156863","30.12345679"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00017","","","","3","19.8","50.4","0.692873","1.854085","1","46","51","34","27","34","26","2","68.9260406","6","6","6","1","3","10.3","3.3","6.2","13.6","19.8","97","0.223913043","0.064705882","0.140206186","3.592592593","2.852941176","1.703703704","1.352941176","0.503703704","0.4","0.22962963","0.182352941","47.42268041","68.68686869","79.41176471","39.28571429","5.342857143","10.09803922","12.71604938","13.33333333","16.79012346","6.078431373","7.654320988","5.238095238","6.596119929","19.41176471","24.44444444"
"","","GHP2013KMD-AT01","","","","","","","","","GHP2013KMD-AT01-00018","","","","2","18.4","50.3","3.848104","5.2734089","1","31","51","34","30","34","25","2","66.1567993","4","4","5","5","4","4","2.3","3.6","6.3","9.9","82","0.129032258","0.045098039","0.076829268","2.733333333","2.411764706","1.033333333","0.911764706","0.21","0.185294118","0.12","0.105882353","37.80487805","63.63636364","88.23529412","36.5805169","2.304572565","3.921568627","4.444444444","6.176470588","7","3.529411765","4","2.259384867","2.560636183","9.705882353","11"
