"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00001","","","","6","6","3","3","3","3","1","5","8","1","1","1.7","0.39","5.95","2.09","8.04","12","0.283333333","0.065","0.174166667","4","4","2","2","0.696666667","0.696666667","1.983333333","1.983333333","50","25.99502488","100","18.88888889","18.88888889","23.22222222","23.22222222","66.11111111","66.11111111","89.33333333","89.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00010","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00100","","","","0","4","2","2","3","2","1","3","7","1","1","0","0.14","0.62","0.14","0.76","4","","0.035","0.035","2","1.333333333","0","0","0.07","0.046666667","0.31","0.206666667","0","18.42105263","66.66666667","0","0","1.555555556","2.333333333","6.888888889","10.33333333","8.444444444","12.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00101","","","","0","0","3","1","3","0","","","7","1","1","0","0","0.54","0","0.54","0","","","","0","0","0","0","0","0","0.54","0.18","","0","33.33333333","0","0","0","0","6","18","6","18"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00102","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00103","","","","1","0","2","1","3","1","1","3","8","1","1","0.16","0","1.11","0.16","1.27","1","0.16","","0.16","1","0.333333333","1","0.333333333","0.16","0.053333333","1.11","0.37","100","12.5984252","33.33333333","1.777777778","5.333333333","1.777777778","5.333333333","12.33333333","37","14.11111111","42.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00104","","","","4","1","2","1","3","1","1","3","7","1","1","0.75","0.1","0.59","0.85","1.44","5","0.1875","0.1","0.17","5","1.666666667","4","1.333333333","0.85","0.283333333","0.59","0.196666667","80","59.02777778","33.33333333","8.333333333","25","9.444444444","28.33333333","6.555555556","19.66666667","16","48"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00105","","","","1","3","3","1","3","1","1","3","7","1","1","0.28","0.08","0.89","0.36","1.25","4","0.28","0.026666667","0.09","4","1.333333333","1","0.333333333","0.36","0.12","0.89","0.296666667","25","28.8","33.33333333","3.111111111","9.333333333","4","12","9.888888889","29.66666667","13.88888889","41.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00106","","","","4","4","3","3","3","3","1","3","7","1","1","0.5","1.04","0.64","1.54","2.18","8","0.125","0.26","0.1925","2.666666667","2.666666667","1.333333333","1.333333333","0.513333333","0.513333333","0.213333333","0.213333333","50","70.64220183","100","5.555555556","5.555555556","17.11111111","17.11111111","7.111111111","7.111111111","24.22222222","24.22222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00107","","","","3","6","3","3","3","3","1","3","7","1","1","0.47","0.15","1.04","0.62","1.66","9","0.156666667","0.025","0.068888889","3","3","1","1","0.206666667","0.206666667","0.346666667","0.346666667","33.33333333","37.34939759","100","5.222222222","5.222222222","6.888888889","6.888888889","11.55555556","11.55555556","18.44444444","18.44444444"
