"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00019","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00002","","","","1","0","1.74","0.95","18.46","4","50.61","1.3","1.98","1","7","20","26","30","30","6","3","8","3.23","1","65.32","3","36.47500494","4","4","3","9.46","6","4","5","1.3","0.5","10.8","1.8","12.6","27","0.185714286","0.025","0.066666667","0.9","0.9","0.233333333","0.233333333","0.06","0.06","0.36","0.36","25.92592593","14.28571429","100","0.656550089","1.444444444","1.444444444","2","2","12","12","0.729500099","0.729500099","14","14"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00020","","","","1","","","","","2","","","","1","0","8","30","27","30","4","","","","1","","","","4","2","4","","6","4","5","0","0.3","10.4","0.3","10.7","8","","0.0375","0.0375","0.296296296","0.266666667","0","0","0.011111111","0.01","0.385185185","0.346666667","0","2.803738318","90","","0","0","0.333333333","0.37037037","11.55555556","12.83950617","","","11.88888889","13.20987654"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00021","","","","3","22.59","2.19","1.21","12.55","3","50.21","4.46","6.66","2","34","64","28","19","30","19","8","6","3.16","3","53.01","3","24.99502091","5","5","3","14.59","6","5","5","4.8","3.2","5.1","8","13.1","98","0.141176471","0.05","0.081632653","5.157894737","3.266666667","1.789473684","1.133333333","0.421052632","0.266666667","0.268421053","0.17","34.69387755","61.06870229","63.33333333","1.999601673","5.333333333","8.421052632","8.888888889","14.03508772","5.666666667","8.947368421","2.221779637","3.50807311","14.55555556","22.98245614"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00022","","","","2","8.19","1.82","0.75","17.8","3","50.43","5.38","7.17","1","29","36","30","20","30","20","5","3","2.87","1","62","3","35.29645053","5","5","2","5.25","5","5","4","4","1.7","6.2","5.7","11.9","65","0.137931034","0.047222222","0.087692308","3.25","2.166666667","1.45","0.966666667","0.285","0.19","0.31","0.206666667","44.61538462","47.89915966","66.66666667","2.01189768","4.444444444","6.666666667","6.333333333","9.5","6.888888889","10.33333333","2.235441867","3.3531628","13.22222222","19.83333333"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00023","","","","2","0","1.63","0.85","18.53","3","50.05","1.68","2.49","1","44","67","29","28","30","28","7","6","3.27","2","68.51","3","37.02297702","5","6","4","4.91","6","3","4","8","3.4","10.2","11.4","21.6","111","0.181818182","0.050746269","0.102702703","3.964285714","3.7","1.571428571","1.466666667","0.407142857","0.38","0.364285714","0.34","39.63963964","52.77777778","93.33333333","4.220619381","8.888888889","9.523809524","12.66666667","13.57142857","11.33333333","12.14285714","4.68957709","5.024546882","24","25.71428571"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00024","","","","1","15.75","1.94","0.7","12.92","3","50.59","8.7","11.67","1","40","29","27","23","30","17","4","8","3.07","1","50.47","2","25.538644","4","4","3","8.63","6","4","5","4","1.2","10.2","5.2","15.4","69","0.1","0.04137931","0.075362319","3","2.3","1.739130435","1.333333333","0.226086957","0.173333333","0.443478261","0.34","57.97101449","33.76623377","76.66666667","1.328009488","4.444444444","5.797101449","5.777777778","7.536231884","11.33333333","14.7826087","1.475566098","1.924651432","17.11111111","22.31884058"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00025","","","","1","0","1.7","0.96","19.69","2","50.34","1.7","2.67","1","8","17","30","28","30","9","3","8","3.44","1","67.52","3","39.11402463","4","3","2","8.12","6","5","6","0.8","0.7","9.8","1.5","11.3","25","0.1","0.041176471","0.06","0.892857143","0.833333333","0.285714286","0.266666667","0.053571429","0.05","0.35","0.326666667","32","13.27433628","93.33333333","0.586710369","0.888888889","0.952380952","1.666666667","1.785714286","10.88888889","11.66666667","0.651900411","0.698464726","12.55555556","13.45238095"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00026","","","","3","","","","","3","","","","1","8","35","30","28","30","20","","","","3","","","","4","3","4","","6","5","5","0.7","1.3","10","2","12","43","0.0875","0.037142857","0.046511628","1.535714286","1.433333333","0.285714286","0.266666667","0.071428571","0.066666667","0.357142857","0.333333333","18.60465116","16.66666667","93.33333333","","0.777777778","0.833333333","2.222222222","2.380952381","11.11111111","11.9047619","","","13.33333333","14.28571429"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00027","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00028","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00029","","","","2","","","","18.53","3","50.05","","","","13","31","30","26","30","26","4","3","","1","","","37.02297702","7","6","2","","6","3","6","2.4","1.9","10.4","4.3","14.7","44","0.184615385","0.061290323","0.097727273","1.692307692","1.466666667","0.5","0.433333333","0.165384615","0.143333333","0.4","0.346666667","29.54545455","29.25170068","86.66666667","1.591988012","2.666666667","3.076923077","4.777777778","5.512820513","11.55555556","13.33333333","1.768875569","2.041010272","16.33333333","18.84615385"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00003","","","","2","25.48","2.34","1.22","12.06","4","50.81","6.34","8.98","2","58","47","30","21","30","21","8","6","2.98","3","44.98","3","23.73548514","6","7","2","18.35","6","4","5","10.1","2.5","8.4","12.6","21","105","0.174137931","0.053191489","0.12","5","3.5","2.761904762","1.933333333","0.6","0.42","0.4","0.28","55.23809524","60","70","2.990671128","11.22222222","16.03174603","14","20","9.333333333","13.33333333","3.32296792","4.747097028","23.33333333","33.33333333"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00030","","","","1","0","1.83","0.85","16.01","3","50.11","2.87","3.89","","30","48","30","27","30","20","7","7","3.4","2","64.28","1","31.94971064","6","8","4","6.71","7","3","5","7.5","1.5","14.2","9","23.2","78","0.25","0.03125","0.115384615","2.888888889","2.6","1.111111111","1","0.333333333","0.3","0.525925926","0.473333333","38.46153846","38.79310345","90","2.875473957","8.333333333","9.259259259","10","11.11111111","15.77777778","17.5308642","3.194971064","3.549967849","25.77777778","28.64197531"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00004","","","","1","","","","20.4","4","50.1","","","1","27","29","30","30","30","23","4","3","","1","","","40.71856287","6","6","3","","5","3","6","4","1.4","12.4","5.4","17.8","56","0.148148148","0.048275862","0.096428571","1.866666667","1.866666667","0.9","0.9","0.18","0.18","0.413333333","0.413333333","48.21428571","30.33707865","100","2.198802395","4.444444444","4.444444444","6","6","13.77777778","13.77777778","2.443113772","2.443113772","19.77777778","19.77777778"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00005","","","","2","17.22","1.91","0.78","12.1","2","50.32","7.57","10.31","1","17","27","29","26","30","16","7","7","2.8","2","52.77","3","24.04610493","5","6","4","9.68","5","5","5","3.5","1.3","7.2","4.8","12","44","0.205882353","0.048148148","0.109090909","1.692307692","1.466666667","0.653846154","0.566666667","0.184615385","0.16","0.276923077","0.24","38.63636364","40","86.66666667","1.154213037","3.888888889","4.487179487","5.333333333","6.153846154","8","9.230769231","1.28245893","1.479760303","13.33333333","15.38461538"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00006","","","","1","2.07","1.76","0.97","18.09","2","50.24","2.78","4.2","1","27","32","30","25","30","20","4","8","2.78","1","63.86","3","36.00716561","5","5","3","9.38","7","3","4","4","1.4","13","5.4","18.4","59","0.148148148","0.04375","0.091525424","2.36","1.966666667","1.08","0.9","0.216","0.18","0.52","0.433333333","45.76271186","29.34782609","83.33333333","1.944386943","4.444444444","5.333333333","6","7.2","14.44444444","17.33333333","2.160429936","2.592515924","20.44444444","24.53333333"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00007","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00008","","","","2","0","1.61","0.71","16.86","4","50.15","3.38","4.44","1","27","44","29","30","30","30","5","3","2.62","1","64.72","2","33.61914257","5","5","2","6.29","6","5","5","5.6","2.1","8.2","7.7","15.9","71","0.207407407","0.047727273","0.108450704","2.366666667","2.366666667","0.9","0.9","0.256666667","0.256666667","0.273333333","0.273333333","38.02816901","48.42767296","100","2.588673978","6.222222222","6.222222222","8.555555556","8.555555556","9.111111111","9.111111111","2.87630442","2.87630442","17.66666667","17.66666667"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00009","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
