"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00011","","","","20","3.7","17","47","23","6.26","0.52","5","31.47410359","2.8439178","1.3998318","1.0433631","139.9752197","95.1659241","58.8874435","64.0341873","2.3510199","4.4321628","12.0151072","0.007822","6.78","10.48","70","0.133191489","0.022608696","0.096857143","4.117647059","3.5","2.764705882","2.35","0.398823529","0.339","0.217647059","0.185","67.14285714","64.69465649","85","2.133944223","13.91111111","16.36601307","15.06666667","17.7254902","8.222222222","9.673202614","4.742098274","5.578939146","23.28888889","27.39869281"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00012","","","","20","2.72","16","34","27","6.64","0.97","3","30.13972056","2.9818783","1.3717375","1.0235038","93.7695313","85.7720184","54.2177353","65.9556198","1.9591646","4.0799742","12.1204834","0","7.61","10.33","61","0.195294118","0.035925926","0.124754098","3.8125","3.05","2.125","1.7","0.475625","0.3805","0.17","0.136","55.73770492","73.66892546","80","2.293632735","14.75555556","18.44444444","16.91111111","21.13888889","6.044444444","7.555555556","5.096961632","6.371202041","22.95555556","28.69444444"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00013","","","","20","2.04","16","19","15","2.6","0.54","5","30.13972056","4.1291218","1.8925829","1.3612838","151.7667236","127.906311","68.5837936","59.8758812","0.4861479","2.2332888","16.6295414","0.0143099","3.14","5.18","34","0.136842105","0.036","0.092352941","2.125","1.7","1.1875","0.95","0.19625","0.157","0.1275","0.102","55.88235294","60.61776062","80","0.946387226","5.777777778","7.222222222","6.977777778","8.722222222","4.533333333","5.666666667","2.103082724","2.628853404","11.51111111","14.38888889"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00014","","","","20","3.5","18","20","41","2.8","1.67","5","29.9009901","3.8293762","1.8173604","1.2811813","166.9655762","130.2252808","65.7911148","60.2658844","1.0275049","2.927259","16.7692814","0.1221313","4.47","7.97","61","0.14","0.040731707","0.073278689","3.388888889","3.05","1.111111111","1","0.248333333","0.2235","0.194444444","0.175","32.78688525","56.08531995","90","1.336574257","6.222222222","6.913580247","9.933333333","11.03703704","7.777777778","8.641975309","2.970165017","3.300183352","17.71111111","19.67901235"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00015","","","","20","3.26","16","20","15","3.8","0.73","5","33.26693227","3.3542271","1.3921261","0.958281","108.2806396","89.094162","47.292778","68.433403","3.8117714","6.1548071","3.9656081","0.1560287","4.53","7.79","35","0.19","0.048666667","0.129428571","2.1875","1.75","1.25","1","0.283125","0.2265","0.20375","0.163","57.14285714","58.15147625","80","1.506992032","8.444444444","10.55555556","10.06666667","12.58333333","7.244444444","9.055555556","3.348871182","4.186088977","17.31111111","21.63888889"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00016","","","","20","3.7","11","13","13","2.04","0.54","5","31.49606299","2.6166878","1.2968969","0.9108195","129.6424561","89.5656433","43.1732559","67.3371277","4.9742823","7.6928344","4.2482643","0.3445311","2.58","6.28","26","0.156923077","0.041538462","0.099230769","2.363636364","1.3","1.181818182","0.65","0.234545455","0.129","0.336363636","0.185","50","41.08280255","55","0.812598425","4.533333333","8.242424242","5.733333333","10.42424242","8.222222222","14.94949495","1.805774278","3.28322596","13.95555556","25.37373737"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00017","","","","20","1.82","16","24","38","3.18","1.37","5","28.14371257","4.490591","1.848248","1.1544557","124.319458","147.3638","57.4356461","59.2666512","2.3392096","4.9655499","15.5928555","0.3341284","4.55","6.37","62","0.1325","0.036052632","0.073387097","3.875","3.1","1.5","1.2","0.284375","0.2275","0.11375","0.091","38.70967742","71.42857143","80","1.280538922","7.066666667","8.833333333","10.11111111","12.63888889","4.044444444","5.055555556","2.845642049","3.557052561","14.15555556","17.69444444"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00018","","","","20","2.37","16","16","24","2.57","1.1","5","26.8389662","4.3838234","1.8056889","1.1324735","98.0019531","131.1896515","56.8589554","56.6735878","2.7069387","5.4398408","17.3278294","0.1435738","3.67","6.04","40","0.160625","0.045833333","0.09175","2.5","2","1","0.8","0.229375","0.1835","0.148125","0.1185","40","60.7615894","80","0.98499006","5.711111111","7.138888889","8.155555556","10.19444444","5.266666667","6.583333333","2.188866799","2.736083499","13.42222222","16.77777778"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00019","","","","20","3.17","15","13","23","1.68","0.8","5","27.88844622","3.4422855","1.6312661","1.045938","127.3581543","131.1069336","54.311409","56.7380486","4.6047459","7.9469838","14.1566029","0.3556528","2.48","5.65","36","0.129230769","0.034782609","0.068888889","2.4","1.8","0.866666667","0.65","0.165333333","0.124","0.211333333","0.1585","36.11111111","43.89380531","75","0.691633466","3.733333333","4.977777778","5.511111111","7.348148148","7.044444444","9.392592593","1.536963258","2.049284344","12.55555556","16.74074074"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00020","","","","20","3.6","18","20","27","2.43","1.03","5","25.5489022","2.4623165","1.4932866","0.8903422","90.9089355","108.0087738","45.496521","52.1086121","6.2302179","9.7437038","13.6280174","0.0189476","3.46","7.06","47","0.1215","0.038148148","0.073617021","2.611111111","2.35","1.111111111","1","0.192222222","0.173","0.2","0.18","42.55319149","49.00849858","90","0.883992016","5.4","6","7.688888889","8.543209877","8","8.888888889","1.964426702","2.182696336","15.68888889","17.43209877"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00021","","","","20","2.4","19","27","39","4.18","1.77","5","30.95238095","3.1901493","1.5302763","1.1917081","113.0891113","105.293869","52.6520386","66.8519974","0.7084675","2.5919418","11.0967112","0","5.95","8.35","66","0.154814815","0.045384615","0.090151515","3.473684211","3.3","1.421052632","1.35","0.313157895","0.2975","0.126315789","0.12","40.90909091","71.25748503","95","1.841666667","9.288888889","9.777777778","13.22222222","13.91812865","5.333333333","5.614035088","4.092592592","4.307992202","18.55555556","19.53216374"
