"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00001","","","","30","19","12.78","0","0","0.52","121.11","18.7","6","","0.52","13.3","","0","0","0.027368421","0.017333333","0.672631579","0.426","3.909774436","63.33333333","15.44050863","0.080290645","0","0","0.77037037","1.216374269","18.93333333","29.89473684","0.118949104","0.187814374","19.7037037","31.11111111","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00002","","","","30","15","8.57","25","3.17","0.52","143.29","30.57","6","3","3.69","12.26","0.1268","1.666666667","0.833333333","0.246","0.123","0.571333333","0.285666667","30.09787928","50","21.3343569","0.78723777","4.696296296","9.392592593","5.466666667","10.93333333","12.6962963","25.39259259","1.166278177","2.332556354","18.16296296","36.32592593","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00003","","","","30","26","15.97","54","11.18","1.7","151.76","34.14","3","","12.88","28.85","0.207037037","2.076923077","1.8","0.495384615","0.429333333","0.614230769","0.532333333","44.64471404","86.66666667","22.49604639","2.897490775","16.56296296","19.11111111","19.08148148","22.01709402","23.65925926","27.2991453","4.292578926","4.952975684","42.74074074","49.31623932","0.69"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00004","","","","30","25","20.66","38","3.72","1.87","150.07","24.77","6","","5.59","26.25","0.097894737","1.52","1.266666667","0.2236","0.186333333","0.8264","0.688666667","21.2952381","83.33333333","16.50563071","0.922664756","5.511111111","6.613333333","8.281481481","9.937777778","30.60740741","36.72888889","1.36691075","1.6402929","38.88888889","46.66666667","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00005","","","","30","27","16.76","117","12.35","2.14","128.47","33.73","3","","14.49","31.25","0.105555556","4.333333333","3.9","0.536666667","0.483","0.620740741","0.558666667","46.368","90","26.25515685","3.804372227","18.2962963","20.32921811","21.46666667","23.85185185","24.82962963","27.58847737","5.636107003","6.262341114","46.2962963","51.44032922",""
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00006","","","","30","23","18.64","75","21.76","1.13","155.46","35.75","4","","22.89","41.53","0.290133333","3.260869565","2.5","0.995217391","0.763","0.810434783","0.621333333","55.11678305","76.66666667","22.99626914","5.263846005","32.23703704","42.04830918","33.91111111","44.23188406","27.61481481","36.01932367","7.798290378","10.1716831","61.52592593","80.25120773","4.41"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00007","","","","30","22","8.97","37","5.1","1.27","149.05","40.15","5","1","6.37","15.34","0.137837838","1.681818182","1.233333333","0.289545455","0.212333333","0.407727273","0.299","41.52542373","73.33333333","26.93726937","1.715904059","7.555555556","10.3030303","9.437037037","12.86868687","13.28888889","18.12121212","2.542080087","3.466472847","22.72592593","30.98989899","4.41"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00008","","","","30","23","18.89","115","17.33","1.96","152.57","30.45","3","1","19.29","38.18","0.150695652","5","3.833333333","0.838695652","0.643","0.821304348","0.629666667","50.52383447","76.66666667","19.95805204","3.849908239","25.67407407","33.48792271","28.57777778","37.27536232","27.98518519","36.50241546","5.703567761","7.43943621","56.56296296","73.77777778",""
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00009","","","","30","21","14.51","104","18.37","1.96","154.03","35.92","3","","20.33","34.84","0.176634615","4.952380952","3.466666667","0.968095238","0.677666667","0.690952381","0.483666667","58.35246843","70","23.32013244","4.740982925","27.21481481","38.87830688","30.11851852","43.02645503","21.4962963","30.70899471","7.023678408","10.0338263","51.61481481","73.73544974","11.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00010","","","","30","23","16.13","111","21.89","0.53","144.34","27.87","1","","22.42","38.55","0.197207207","4.826086957","3.7","0.974782609","0.747333333","0.701304348","0.537666667","58.15823606","76.66666667","19.30857697","4.328982957","32.42962963","42.29951691","33.21481481","43.3236715","23.8962963","31.16908213","6.413308084","8.365184458","57.11111111","74.49275362","14.37"
