"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00022","","","","120","120","35.37","304","854","47.63","25.36","21.23510421","11.2565155","53.1438446","2.8752842","1.8768649","226.2717285","145.7467804","40.3339081","4.3690491","7.5477395","23.4862309","0.9173956","72.99","108.36","1158","0.156677632","0.02969555","0.063031088","9.65","9.65","2.533333333","2.533333333","0.60825","0.60825","0.29475","0.29475","26.25215889","67.35880399","100","15.49950256","17.64074074","17.64074074","27.03333333","27.03333333","13.1","13.1","5.740556505","5.740556505","40.13333333","40.13333333","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00024","","","","120","116","25.4","278","878","44.11","35.81","22.9778672","11.542448","50.8743439","2.8729825","1.892416","176.2255859","137.096344","43.4850121","3.3840761","6.1371036","21.4085541","0.8409357","79.92","105.32","1156","0.158669065","0.040785877","0.069134948","9.965517241","9.633333333","2.396551724","2.316666667","0.688965517","0.666","0.218965517","0.211666667","24.04844291","75.88302317","96.66666667","18.36391147","16.33703704","16.90038314","29.6","30.62068966","9.407407407","9.731800766","6.801448691","7.035981405","39.00740741","40.35249042","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00026","","","","120","102","30.87","119","160","23.2","6.3","39.17973752","6.3708963","2.6148529","1.5588846","1.3377485","25.2186279","79.7652435","74.3390656","0.1461134","1.3300821","6.5521517","0.5120134","29.5","60.37","279","0.194957983","0.039375","0.105734767","2.735294118","2.325","1.166666667","0.991666667","0.289215686","0.245833333","0.302647059","0.25725","42.65232975","48.86533046","85","11.55802257","8.592592593","10.10893246","10.92592593","12.8540305","11.43333333","13.45098039","4.280749099","5.036175411","22.35925926","26.30501089","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00028","","","","120","107","43.66","153","68","34.59","2.62","42.03312007","6.638319","9.5230865","1.5401092","1.2896414","43.6848145","76.75914","74.9064484","0.148221","1.4007365","4.5106673","0.1565962","37.21","80.87","221","0.226078431","0.038529412","0.168371041","2.065420561","1.841666667","1.429906542","1.275","0.347757009","0.310083333","0.408037383","0.363833333","69.23076923","46.01211821","89.16666667","15.64052398","12.81111111","14.36760125","13.78148148","15.45586708","16.17037037","18.13499481","5.792786659","6.496583168","29.95185185","33.59086189","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00030","","","","120","113","50.61","174","118","48.95","4.28","34.7374543","7.2590885","0","1.7049351","1.4477239","88.2410889","106.4303436","68.3304749","1.1449728","2.6937156","8.5077438","0.6753597","53.23","103.84","292","0.281321839","0.036271186","0.182294521","2.584070796","2.433333333","1.539823009","1.45","0.471061947","0.443583333","0.447876106","0.42175","59.5890411","51.26155624","94.16666667","18.49074692","18.12962963","19.25270403","19.71481481","20.93608653","18.74444444","19.90560472","6.848424787","7.27266349","38.45925926","40.84169125","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00032","","","","120","116","47.92","223","108","63.08","4.85","36.75213675","6.9989424","0","1.611371","1.4056768","105.2875977","111.2281494","70.486824","1.0255823","2.2114863","7.9114685","0.7262383","67.93","115.85","331","0.282869955","0.044907407","0.205226586","2.853448276","2.758333333","1.922413793","1.858333333","0.585603448","0.566083333","0.413103448","0.399333333","67.37160121","58.63616746","96.66666667","24.96572649","23.36296296","24.16858238","25.15925926","26.02681992","17.74814815","18.36015326","9.246565368","9.56541245","42.90740741","44.38697318","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00034","","","","120","117","54.93","362","446","61.73","17.18","19.2043707","9.43682","22.5753479","2.6311214","1.6806841","260.5513306","155.3822327","36.0251389","5.2061501","8.7260447","30.6723156","1.3648424","78.91","133.84","808","0.170524862","0.038520179","0.097660891","6.905982906","6.733333333","3.094017094","3.016666667","0.674444444","0.657583333","0.469487179","0.45775","44.8019802","58.95845786","97.5","15.15416892","22.86296296","23.44919278","29.22592593","29.97530864","20.34444444","20.86609687","5.612655155","5.75656939","49.57037037","50.84140551","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00036","","","","120","115","52.92","246","396","42.8","17.35","21.52991782","7.8888273","28.632782","2.3284826","1.5523887","148.6322021","130.6380615","40.9768333","3.6655245","6.3964257","29.544075","1.1327829","60.15","113.07","642","0.17398374","0.043813131","0.093691589","5.582608696","5.35","2.139130435","2.05","0.523043478","0.50125","0.460173913","0.441","38.31775701","53.19713452","95.83333333","12.95024557","15.85185185","16.5410628","22.27777778","23.24637681","19.6","20.45217391","4.796387248","5.004925824","41.87777778","43.69855072","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00038","","","","120","115","37.04","347","283","66.94","11.21","31.24863805","7.9208822","0","2.0299172","1.4975739","57.46521","92.199707","66.2189407","0.7723827","2.0203748","10.5269041","0.4416828","78.15","115.19","630","0.192910663","0.039611307","0.124047619","5.47826087","5.25","3.017391304","2.891666667","0.679565217","0.65125","0.322086957","0.308666667","55.07936508","67.84443094","95.83333333","24.42081064","24.79259259","25.8705314","28.94444444","30.20289855","13.71851852","14.31497585","9.04474468","9.437994449","42.66296296","44.5178744","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00040","","","","120","119","30.33","387","351","78.72","15.92","35.38527143","7.4448481","0","1.7762575","1.4186573","45.7229004","88.7859802","70.1621017","0.4788389","1.9841071","7.4319401","0.1300297","94.64","124.97","738","0.203410853","0.045356125","0.128238482","6.201680672","6.15","3.25210084","3.225","0.795294118","0.788666667","0.25487395","0.25275","52.43902439","75.73017524","99.16666667","33.48862088","29.15555556","29.40056022","35.05185185","35.34640523","11.23333333","11.32773109","12.40319292","12.50742143","46.28518519","46.67413632","1"
