"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00001","","","","20","3.18","14","16","18","2.12","0.18","27.41617357","3.8254681","1.6035328","1.2527642","63.8568115","78.3074341","0","66.1784286","3.1241274","5.5179582","5.7836523","0.1062632","2.3","5.48","34","0.1325","0.01","0.067647059","2.428571429","1.7","1.142857143","0.8","0.164285714","0.115","0.227142857","0.159","47.05882353","41.97080292","70","0.630571992","4.711111111","6.73015873","5.111111111","7.301587302","7.066666667","10.0952381","1.401271094","2.001815848","12.17777778","17.3968254"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00002","","","","20","3.12","19","15","19","3.07","0.99","26.32612967","5.3684635","1.6742415","1.262506","31.3568115","97.9834442","0","61.3252144","5.0652676","7.9307485","7.5924892","0.397893","4.06","7.18","34","0.204666667","0.052105263","0.119411765","1.789473684","1.7","0.789473684","0.75","0.213684211","0.203","0.164210526","0.156","44.11764706","56.545961","95","1.068840865","6.822222222","7.18128655","9.022222222","9.497076023","6.933333333","7.298245614","2.375201921","2.500212549","15.95555556","16.79532164"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00003","","","","20","0.2","14","0","0","0","0","","","","","","","","","","","","","0","0.2","0","","","","0","0","0","0","0","0","0.014285714","0.01","","0","70","","0","0","0","0","0.444444444","0.634920635","","","0.444444444","0.634920635"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00004","","","","20","0.8","8","6","5","0.6","0.15","","","","","","","","","","","","","0.75","1.55","11","0.1","0.03","0.068181818","1.375","0.55","0.75","0.3","0.09375","0.0375","0.1","0.04","54.54545455","48.38709677","40","","1.333333333","3.333333333","1.666666667","4.166666667","1.777777778","4.444444444","","","3.444444444","8.611111111"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00005","","","","20","0.15","4","0","0","0","0","","","","","","","","","","","","","0","0.15","0","","","","0","0","0","0","0","0","0.0375","0.0075","","0","20","","0","0","0","0","0.333333333","1.666666667","","","0.333333333","1.666666667"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00006","","","","20","4.2","13","12","11","2.2","0.18","31.22529644","3.6335106","1.4948816","1.0078115","57.3446045","83.9733887","40.6070633","60.8770218","3.5910854","6.1961017","11.6939535","0.0222626","2.38","6.58","23","0.183333333","0.016363636","0.103478261","1.769230769","1.15","0.923076923","0.6","0.183076923","0.119","0.323076923","0.21","52.17391304","36.17021277","65","0.743162055","4.888888889","7.521367521","5.288888889","8.136752137","9.333333333","14.35897436","1.651471234","2.540724975","14.62222222","22.4957265"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00007","","","","20","1.19","9","0","4","0","0.11","","","","","","","","","","","","","0.11","1.3","4","","0.0275","0.0275","0.444444444","0.2","0","0","0.012222222","0.0055","0.132222222","0.0595","0","8.461538462","45","","0","0","0.244444444","0.543209877","2.644444444","5.87654321","","","2.888888889","6.419753086"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00008","","","","20","2.13","12","1","9","0.2","0.2","26.63316583","9.6449623","2.9773769","1.8224669","122.479248","144.4659119","13.8936768","49.4107513","2.785923","5.1372519","17.1181583","0.6680603","0.4","2.53","10","0.2","0.022222222","0.04","0.833333333","0.5","0.083333333","0.05","0.033333333","0.02","0.1775","0.1065","10","15.81027668","60","0.106532663","0.444444444","0.740740741","0.888888889","1.481481481","4.733333333","7.888888889","0.236739252","0.39456542","5.622222222","9.37037037"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00009","","","","20","0.07","2","0","0","0","0","","","","","","","","","","","","","0","0.07","0","","","","0","0","0","0","0","0","0.035","0.0035","","0","10","","0","0","0","0","0.155555556","1.555555556","","","0.155555556","1.555555556"
"","","PEP2013BEU-AT01","","","","","","","","","PEP2013BEU-AT01-00010","","","","20","1.8","10","8","5","2.8","0.12","30.37475345","6.1080112","2.0108509","1.301672","80.1953125","96.8891602","41.0233459","61.1519318","2.4964581","4.7630324","11.087141","0.3627176","2.92","4.72","13","0.35","0.024","0.224615385","1.3","0.65","0.8","0.4","0.292","0.146","0.18","0.09","61.53846154","61.86440678","50","0.886942801","6.222222222","12.44444444","6.488888889","12.97777778","4","8","1.970984002","3.941968003","10.48888889","20.97777778"
